chrom	start	end	min_p	n_probes	z_p	z_sidak_p	genes	genes_flanking	genes_type
chr8	125070494	125070496	0.03556	2	0.02911	1	WASHC5	WASHC5	HAVANA
chr17	41140247	41140248	0.03633	1	0.007898	1	KRTAP4-6	KRTAP4-6	HAVANA
chr14	24171974	24171994	0.03751	8	0.1254	1	REC8	REC8	HAVANA
chr15	30042695	30042697	0.0005305	2	2.497e-06	0.8772	AC111152.2	AC111152.2,AC111152.3	HAVANA,HAVANA
chr15	23073996	23074219	0.00495	23	0.0009058	0.9989	.	.	.
chr7	149771276	149771359	0.01498	9	0.0003298	0.9987	ZNF467	ZNF467,SSPO	HAVANA,HAVANA
chr17	57443313	57443427	0.0239	15	0.0007798	1	MSI2	MSI2,AC015883.1	HAVANA,HAVANA
chr11	111441606	111441781	2.809e-05	9	9.093e-08	0.0008724	POU2AF1	POU2AF1	HAVANA
chr12	130906371	130906372	0.003338	1	3.649e-05	1	.	RF00019	ENSEMBL
chr3	101677887	101677888	0.02592	1	0.04639	1	ZBTB11-AS1	ZBTB11,ZBTB11-AS1,RPL24	HAVANA,HAVANA,HAVANA
chr19	16197372	16197374	0.001638	2	1.311e-05	1	AC020911.3	AC020911.3,AP1M1	HAVANA,HAVANA
chr6	21523328	21523425	0.0353	11	0.00157	1	AL512380.1	LINC00581,AL512380.1	HAVANA,HAVANA
chr18	47100994	47101071	0.04388	3	0.001631	1	KATNAL2	KATNAL2,AC012254.3	HAVANA,HAVANA
chr7	73323210	73323296	0.02051	4	0.000524	1	TRIM50	TRIM50,FKBP6	HAVANA,HAVANA
chr16	87895797	87895824	0.03257	6	0.00103	1	CA5A	CA5A,AC133539.1	HAVANA,HAVANA
chr7	156475081	156475082	0.04071	1	0.06851	1	LINC01006	LINC01006	HAVANA
chr1	43893307	43893309	0.03294	2	0.001048	1	AL451062.3,ST3GAL3	AL451062.3,ST3GAL3	HAVANA,HAVANA
chr8	30575946	30576064	0.01148	6	0.0003788	0.9955	.	RBPMS,GTF2E2	HAVANA,HAVANA
chr14	73790404	73790473	0.000733	7	4.109e-06	0.09518	AC005520.2	ELMSAN1,AC005520.2	HAVANA,HAVANA
chr5	3854529	3854682	0.008279	22	0.0006113	0.9988	.	.	.
chr16	89402172	89402304	0.0005316	13	3.314e-06	0.0413	ANKRD11	ANKRD11	HAVANA
chr3	55615420	55615421	0.0336	1	0.001081	1	ERC2	ERC2,AC025572.1	HAVANA,HAVANA
chr19	39199206	39199305	0.0007857	6	4.555e-06	0.07438	NCCRP1	NCCRP1,SYCN	HAVANA,HAVANA
chr5	123182252	123182313	0.01894	2	0.0004655	1	PRDM6	PRDM6	HAVANA
chr8	29875059	29875060	0.04905	1	0.1025	1	.	AC131254.3	HAVANA
chr2	196336459	196336509	0.006797	4	0.0001035	0.9691	HECW2	HECW2	HAVANA
chr1	27667712	27667809	0.006766	6	0.0001028	0.8313	IFI6	LINC02574,IFI6,AL445490.1	HAVANA,HAVANA,HAVANA
chr5	151739684	151739686	0.001651	2	1.33e-05	1	.	ATOX1	HAVANA
chr3	150783115	150783116	0.006088	1	8.768e-05	1	SIAH2-AS1	SIAH2-AS1	HAVANA
chr18	501082	501251	0.008279	12	0.0005939	0.9973	.	COLEC12	HAVANA
chr15	27968054	27968082	0.03872	3	0.002826	1	OCA2	OCA2	HAVANA
chr19	46648513	46648546	0.01779	5	0.0004234	1	DACT3	DACT3	HAVANA
chr3	143786442	143786500	0.001389	3	1.037e-05	0.2593	SLC9A9	SLC9A9	HAVANA
chr17	60103057	60103059	0.03858	2	0.001336	1	.	AC025048.6	HAVANA
chr8	123503263	123503264	0.008031	1	0.0001319	1	FBXO32	FBXO32	HAVANA
chr20	13105052	13105140	0.002702	4	2.68e-05	0.4004	SPTLC3	SPTLC3	HAVANA
chr7	8752035	8752131	0.002468	6	2.353e-05	0.3375	NXPH1	NXPH1	HAVANA
chr3	124094740	124094764	0.0254	6	0.01877	1	KALRN	KALRN	HAVANA
chr3	116005640	116005722	0.01504	2	0.0003317	0.9989	LSAMP	LSAMP	HAVANA
chr8	122606321	122606481	0.002041	10	3.723e-05	0.3235	LINC01151	LINC01151	HAVANA
chr17	881189	881213	0.04744	3	0.001839	1	NXN	NXN,AC087392.2	HAVANA,HAVANA
chr15	93073801	93073826	0.02581	4	0.002411	1	RGMA	RGMA	HAVANA
chr8	60414060	60414093	0.03091	3	0.0009525	1	LINC01301	LINC01301	HAVANA
chr1	153550477	153550523	0.04617	4	0.001758	1	.	S100A4,S100A3	HAVANA,HAVANA
chr6	112216012	112216098	0.02412	3	0.0006609	1	LAMA4	LAMA4,Z99289.2	HAVANA,HAVANA
chr11	61557217	61557309	0.01174	3	0.0002296	0.9849	SYT7	SYT7	HAVANA
chr11	2868862	2868894	0.02263	2	0.01341	1	.	KCNQ1DN,AC013791.1	HAVANA,ENSEMBL
chr19	37892746	37892832	0.04074	11	0.001453	1	WDR87	WDR87	HAVANA
chr6	170445542	170445977	6.551e-05	36	1.135e-06	0.004374	.	.	.
chr19	940888	941049	0.005927	31	0.0001851	0.855	ARID3A	ARID3A	HAVANA
chr1	11925255	11925403	0.002295	7	6.706e-05	0.5329	KIAA2013	KIAA2013	HAVANA
chr12	131848932	131848949	0.0498	2	0.0368	1	MMP17	MMP17	HAVANA
chr5	135546019	135546026	0.01927	2	0.0004773	1	.	.	.
chr4	128371402	128371432	0.0001272	3	3.013e-07	0.01673	LINC02615	LINC02615	HAVANA
chr12	30170881	30170882	0.0007853	1	4.55e-06	0.9995	.	AC023511.2	HAVANA
chr15	67881623	67881718	0.02616	2	0.0007411	1	.	.	.
chr3	57595335	57595388	0.0007168	3	3.947e-06	0.1176	ARF4	ARF4,ARF4-AS1	HAVANA,HAVANA
chr3	188120582	188120659	0.008648	4	0.0001465	0.9591	AC022498.1	AC022498.1	HAVANA
chr11	124069972	124070075	0.02309	6	0.001913	1	.	.	.
chr1	41364489	41364544	0.004658	2	5.922e-05	0.8361	FOXO6	FOXO6	HAVANA
chr13	112240253	112240303	0.04989	3	0.001985	1	.	.	.
chr14	101705606	101705607	0.04514	1	0.0635	1	LINC02320	LINC02320	HAVANA
chr11	62764037	62764038	0.0464	1	0.12	1	POLR2G	POLR2G	HAVANA
chr15	22433492	22433600	0.04565	2	0.003356	1	GOLGA8DP	GOLGA8DP,RN7SL545P	HAVANA,ENSEMBL
chr1	85298236	85298458	0.0002943	5	1.24e-06	0.009342	AL078459.1	AL078459.1	HAVANA
chr7	36186084	36186131	0.002362	3	2.206e-05	0.5455	EEPD1	EEPD1	HAVANA
chr6	107824216	107824456	0.001728	12	2.165e-05	0.1406	SCML4	SCML4	HAVANA
chr5	1174259	1174409	0.0001995	8	8.382e-07	0.009342	AC114291.1	AC114291.1	HAVANA
chr22	41305703	41305761	0.008737	6	0.0001486	0.9865	ZC3H7B	ZC3H7B	HAVANA
chr7	28137067	28137182	0.003232	4	4.97e-05	0.5162	JAZF1	JAZF1	HAVANA
chr3	174330289	174330290	0.02777	1	0.0008102	1	.	.	.
chr16	1534499	1534602	0.01436	18	0.0005661	0.9999	IFT140,TMEM204	IFT140,TMEM204,AL031719.1	HAVANA,HAVANA,HAVANA
chr6	45816735	45816834	0.02458	7	0.0006788	1	.	.	.
chr12	94153092	94153159	0.006292	4	9.225e-05	0.901	PLXNC1	PLXNC1	HAVANA
chr2	505753	505754	0.02067	1	0.05801	1	.	LINC01874	HAVANA
chr22	43085870	43086014	0.002515	17	0.0001104	0.7242	TTLL1	TTLL1	HAVANA
chr19	49029942	49030053	0.006617	9	0.0001089	0.8075	AC008687.1,NTF6G	AC008687.1,NTF6A,NTF6G,CGB2	HAVANA,HAVANA,HAVANA,HAVANA
chr8	47133279	47133319	0.03812	3	0.0004664	1	AC120036.1	AC120036.1,AC120036.5,RNU6-819P	HAVANA,HAVANA,ENSEMBL
chr19	16279241	16279242	0.03195	1	0.001	1	.	AC020911.2	HAVANA
chr1	34795602	34795653	0.03066	4	0.0009414	1	SMIM12,GJA4	SMIM12,GJA4	HAVANA,HAVANA
chr11	88508501	88508513	0.02879	4	0.1278	1	GRM5-AS1,GRM5	GRM5-AS1,GRM5	HAVANA,HAVANA
chr2	208989543	208989545	0.03784	2	0.001297	1	.	.	.
chr1	110081267	110081318	0.0005121	6	2.362e-06	0.07485	.	LINC01397	HAVANA
chr8	121639031	121639132	0.01576	6	0.0003556	0.9973	HAS2	HAS2,HAS2-AS1	HAVANA,HAVANA
chr19	17405404	17405532	0.0009395	8	1.7e-05	0.2	BST2	BST2,BISPR,MVB12A	HAVANA,HAVANA,HAVANA
chr6	170074188	170074246	0.01839	2	0.0004442	1	.	.	.
chr9	129489930	129489954	0.01312	3	0.0002704	1	LINC00963	LINC00963	HAVANA
chr15	73682836	73682897	0.006623	5	9.972e-05	0.9358	.	CD276	HAVANA
chr2	72934920	72934922	0.04609	2	0.04416	1	EMX1	EMX1,AC012366.1	HAVANA,HAVANA
chr5	3870526	3870528	0.0415	2	0.02914	1	.	.	.
chr7	157579163	157579201	0.02756	2	0.0001885	0.9998	PTPRN2	PTPRN2,MIR153-2	HAVANA,ENSEMBL
chr4	73670787	73670791	0.002419	2	2.288e-05	0.9999	.	.	.
chr22	48504080	48504239	0.005878	11	0.0001626	0.8206	TAFA5	TAFA5	HAVANA
chr10	43342682	43342687	0.0483	2	0.261	1	AC068707.1	AC068707.1,RNU6ATAC11P	HAVANA,ENSEMBL
chr10	94088892	94089036	0.004535	8	9.002e-05	0.6501	PLCE1,PLCE1-AS2	PLCE1,PLCE1-AS2	HAVANA,HAVANA
chr16	49698493	49698626	0.001867	9	3.065e-05	0.321	ZNF423	ZNF423	HAVANA
chr6	33125332	33125334	0.04065	2	0.001448	1	HLA-DPB2	HLA-DPB2	HAVANA
chr7	76037372	76037452	0.02051	3	0.0005233	1	STYXL1	STYXL1	HAVANA
chr5	180027911	180027992	0.0008112	6	4.799e-06	0.09473	RNF130	RNF130	HAVANA
chr19	10517030	10517032	0.04851	2	0.005177	1	S1PR5	S1PR5	HAVANA
chr12	69469846	69469976	0.002601	4	4.669e-05	0.453	.	FRS2	HAVANA
chr14	24194997	24195012	0.03145	4	0.0009774	1	TM9SF1,AL136295.1	AL136295.4,AL136295.17,TM9SF1,AL136295.1,AL136295.6	HAVANA,HAVANA,HAVANA,HAVANA,HAVANA
chr1	184752076	184752090	0.04989	2	0.001985	1	EDEM3	EDEM3	HAVANA
chr3	11609993	11610146	0.0002867	8	7.014e-06	0.07412	VGLL4,AC022001.2	VGLL4,AC022001.2,AC022001.3	HAVANA,HAVANA,HAVANA
chr2	130872045	130872084	0.03038	5	0.0009284	1	ARHGEF4	ARHGEF4	HAVANA
chr11	58576772	58576773	0.02709	1	0.0007795	1	LPXN	LPXN,ZFP91,ZFP91-CNTF	HAVANA,HAVANA,HAVANA
chr16	26988115	26988157	0.02829	4	0.0008328	1	.	.	.
chr10	56586542	56586638	0.02178	10	0.0005706	1	.	.	.
chr2	3601729	3601819	0.0009209	7	5.788e-06	0.1024	COLEC11	COLEC11,AC010907.2	HAVANA,HAVANA
chr7	110591513	110591588	0.009924	2	0.0001795	0.9821	AC073326.2	AC073326.2	HAVANA
chr1	119327855	119327856	0.0472	1	0.1545	1	AL359915.1,LINC01780	AL359915.1,LINC01780,RNU1-75P	HAVANA,HAVANA,ENSEMBL
chr11	131370665	131370766	0.003463	2	4.441e-05	0.5222	NTM	NTM	HAVANA
chr2	118833142	118833183	0.0316	2	0.0009838	1	LINC01956	LINC01956	HAVANA
chr8	102727827	102727925	0.02921	5	0.0008747	1	.	.	.
chr10	70123982	70124068	0.03284	6	0.001043	1	AIFM2	AIFM2	HAVANA
chr18	79547488	79547607	0.02086	7	0.0005957	0.9998	.	.	.
chr4	184805605	184805684	0.01333	8	0.0002766	0.9972	ACSL1	ACSL1	HAVANA
chr12	29562217	29562287	0.01443	6	0.0003116	0.9994	TMTC1	TMTC1	HAVANA
chr13	26600762	26600802	0.003775	2	4.347e-05	0.8389	WASF3	WASF3	HAVANA
chr5	146641205	146641207	0.01231	2	0.0002457	1	PPP2R2B	PPP2R2B	HAVANA
chr5	56465391	56465449	0.0131	5	0.0002699	0.9996	LINC01948	LINC01948	HAVANA
chr11	129695958	129696056	0.01134	7	0.0002184	0.9763	.	.	.
chr3	35681064	35681145	0.02871	6	0.000851	1	ARPP21	ARPP21	HAVANA
chr12	131456909	131456953	0.04123	4	0.001211	1	.	AC073578.2,AC073578.5	HAVANA,HAVANA
chr5	57015152	57015162	0.01467	2	0.0003193	1	.	.	.
chr3	57094080	57094167	0.01699	5	0.0003963	0.9995	IL17RD	IL17RD	HAVANA
chr2	70905072	70905432	1.03e-06	15	1.117e-09	5.214e-06	VAX2	RF02272,VAX2	ENSEMBL,HAVANA
chr5	147877893	147877916	0.01345	4	0.0002804	1	SCGB3A2	SCGB3A2,C5orf46	HAVANA,HAVANA
chr17	82799714	82799724	0.04412	6	0.002624	1	TBCD	TBCD,AC068014.1	HAVANA,HAVANA
chr3	42266374	42266470	0.0004969	7	4.821e-06	0.08089	AC018358.1	CCK,AC018358.1	HAVANA,HAVANA
chr12	5185793	5185794	0.04437	1	0.001659	1	.	.	.
chr16	86151329	86151734	3.132e-08	38	2.872e-09	1.191e-05	.	.	.
chr6	169169589	169169747	7.413e-05	18	1.101e-06	0.01164	.	.	.
chr1	7491764	7491766	0.03951	2	0.0003928	1	CAMTA1	CAMTA1	HAVANA
chr5	160269312	160269413	0.0004329	5	1.849e-06	0.03028	CCNJL	CCNJL	HAVANA
chr11	1653504	1653542	0.02976	6	0.0009001	1	.	.	.
chr8	130296354	130296389	0.03509	4	0.001153	1	ASAP1	ASAP1	HAVANA
chr11	34302072	34302133	0.02848	2	0.0008412	1	ABTB2	ABTB2	HAVANA
chr14	99880181	99880194	0.001521	4	1.177e-05	0.7816	EML1	EML1	HAVANA
chr6	1392848	1392876	0.04973	4	4.231e-05	0.921	FOXF2	FOXF2,MIR6720	HAVANA,ENSEMBL
chr10	25179933	25179971	0.03235	2	0.00102	1	GPR158	GPR158-AS1,GPR158	HAVANA,HAVANA
chr5	159787712	159787762	0.009729	2	0.0001743	0.9971	AC008691.1,LINC01847	AC008691.1,LINC01847	HAVANA,HAVANA
chr16	634431	634706	0.005536	22	9.34e-05	0.4348	METTL26	WFIKKN1,METTL26,MCRIP2	HAVANA,HAVANA,HAVANA
chr9	94587221	94587256	0.02409	3	0.003436	1	PCAT7,FBP2	PCAT7,FBP2	HAVANA,HAVANA
chr11	353519	353971	0.0006779	14	3.925e-06	0.01448	.	.	.
chr8	141279683	141279779	0.004356	12	5.384e-05	0.6102	SLC45A4,AC011676.3	SLC45A4,AC011676.3	HAVANA,HAVANA
chr15	32732994	32733073	0.03597	4	0.001843	1	GREM1	GREM1	HAVANA
chr9	35649827	35650028	0.0005316	19	7.709e-06	0.0624	SIT1	CD72,AL357874.1,SIT1	HAVANA,HAVANA,HAVANA
chr1	157195382	157195441	0.0434	3	0.007259	1	.	AL357143.1	HAVANA
chr14	77710339	77710340	0.02998	1	0.0009107	1	SLIRP	ALKBH1,SLIRP	HAVANA,HAVANA
chr5	38317000	38317069	0.04697	5	0.0282	1	EGFLAM	EGFLAM	HAVANA
chr16	88235270	88235280	0.01381	3	0.2404	1	AC138512.1	AC138512.1	HAVANA
chr2	106160320	106160408	0.009171	7	0.002358	1	UXS1	UXS1	HAVANA
chr9	97877108	97877204	0.03057	3	0.001171	1	.	.	.
chr11	9065902	9066005	0.01229	7	0.0002452	0.9817	AC079296.1,SCUBE2	AC079296.1,SCUBE2	HAVANA,HAVANA
chr11	94957886	94957887	0.005443	1	7.451e-05	1	.	CWC15	HAVANA
chr10	122487692	122487694	0.04936	2	0.01772	1	HTRA1	HTRA1	HAVANA
chr3	8538837	8538934	0.02801	3	0.0008199	1	LMCD1-AS1,LMCD1	LMCD1-AS1,LMCD1	HAVANA,HAVANA
chr1	41023158	41023159	0.02258	1	0.0006007	1	SLFNL1-AS1,SLFNL1	SLFNL1-AS1,SLFNL1,SCMH1	HAVANA,HAVANA,HAVANA
chr15	73928415	73928457	0.03395	3	0.001098	1	LOXL1	LOXL1-AS1,LOXL1	HAVANA,HAVANA
chr17	57954186	57954282	0.006919	10	0.0001062	0.8442	CUEDC1	CUEDC1,AC015813.4	HAVANA,HAVANA
chr1	116383131	116383169	0.04203	4	0.001524	1	ATP1A1	ATP1A1	HAVANA
chr4	41698699	41698700	0.01199	1	0.05104	1	LIMCH1	LIMCH1	HAVANA
chr2	239578056	239578557	1.017e-05	30	2.412e-07	0.0008085	AC079612.1	AC079612.1	HAVANA
chr7	55364702	55364711	0.01283	2	0.0002617	1	.	LANCL2	HAVANA
chr11	119671771	119671915	0.001201	8	3.223e-05	0.3134	NECTIN1	NECTIN1	HAVANA
chr1	8373029	8373140	0.01036	6	0.0006511	0.9999	RERE	RERE	HAVANA
chr1	117211304	117211345	0.002204	4	1.989e-05	0.5572	.	VTCN1	HAVANA
chr14	36587210	36587255	0.01041	3	0.0001923	0.9992	AL132857.1	AL132857.1,NKX2-8	HAVANA,HAVANA
chr11	44607810	44607812	0.03978	2	0.02632	1	CD82,AC010768.2	CD82,AC010768.1,AC010768.2	HAVANA,HAVANA,HAVANA
chr9	126520230	126520426	0.0001638	7	1.416e-06	0.01206	AL356309.3	AL356309.2,AL356309.3	HAVANA,HAVANA
chr16	88111001	88111220	0.008089	17	0.000368	0.9406	.	.	.
chr11	44309291	44309292	0.04167	1	0.05289	1	ALX4	ALX4	HAVANA
chr6	7615873	7615878	0.01257	2	0.0002541	1	.	SNRNP48,AL390026.1	HAVANA,HAVANA
chr9	3741896	3741920	0.009364	4	0.0001643	1	.	.	.
chr14	90501153	90501154	0.0325	1	0.1527	1	.	.	.
chr8	48590150	48590155	0.0003723	4	1.471e-06	0.3899	AC022915.2	AC022915.2,LINC02599	HAVANA,HAVANA
chr13	32164801	32164818	0.03863	2	0.001338	1	FRY	FRY	HAVANA
chr19	53708736	53708738	0.04505	2	0.3597	1	MIR518C	MIR526A1,MIR520C,MIR518C,MIR524,MIR517A,MIR519D	ENSEMBL,ENSEMBL,ENSEMBL,ENSEMBL,ENSEMBL,ENSEMBL
chr1	85526478	85526484	0.01706	4	0.0003985	1	DDAH1,AC092807.3	DDAH1,AC092807.3	HAVANA,HAVANA
chr3	132656128	132656129	0.04495	1	0.001691	1	ACAD11,NPHP3-ACAD11,UBA5	ACAD11,NPHP3-ACAD11,UBA5	HAVANA,HAVANA,HAVANA
chr6	1521875	1521876	0.04369	1	0.004724	1	.	.	.
chr1	89943615	89943654	0.04664	4	0.001788	1	.	AL391497.1	HAVANA
chr6	149542467	149542469	0.0235	2	0.0006352	1	PPIL4	PPIL4	HAVANA
chr16	29140395	29140421	0.0203	2	0.2508	1	AC009093.8,AC009093.10,AC009093.2	AC009093.8,AC009093.10,AC009093.2	HAVANA,HAVANA,HAVANA
chr14	56797713	56797714	0.0364	1	0.004706	1	.	OTX2	HAVANA
chr1	143651779	143651915	0.03673	3	0.007878	1	.	RNU1-114P	ENSEMBL
chr19	31149670	31149844	0.00643	14	0.000237	0.8985	.	AC020912.1,TSHZ3	HAVANA,HAVANA
chr4	151121782	151121872	0.04492	3	0.001689	1	SH3D19	SH3D19	HAVANA
chr6	163334035	163334203	0.02894	14	0.002149	1	.	AL031121.2	HAVANA
chr17	37134023	37134108	0.02699	5	0.0007754	1	ACACA	ACACA	HAVANA
chr8	24294112	24294130	0.0243	4	0.0006671	1	ADAM28	ADAM28,AC120193.1	HAVANA,HAVANA
chr17	58487878	58487879	0.04242	1	0.01382	1	HSF5	HSF5,MTMR4	HAVANA,HAVANA
chr8	35544353	35544391	0.00231	2	2.137e-05	0.6112	UNC5D	UNC5D	HAVANA
chr3	23454912	23454948	0.003853	2	4.472e-05	0.8759	UBE2E2	UBE2E2	HAVANA
chr10	95907165	95907247	0.0295	13	0.001703	1	ENTPD1-AS1,AL365273.2	ENTPD1-AS1,AL365273.2,CC2D2B	HAVANA,HAVANA,HAVANA
chr6	28403255	28403303	0.001669	4	1.35e-05	0.3764	.	ZSCAN12	HAVANA
chr3	108887936	108887979	0.002311	4	2.141e-05	0.5666	.	.	.
chr12	124774764	124774901	0.00678	6	0.0002003	0.9142	.	SCARB1	HAVANA
chr11	121426793	121426901	0.02582	10	0.002142	1	AP002365.1	AP002365.1	HAVANA
chr4	2434217	2434300	0.0217	6	0.002355	1	CFAP99	CFAP99	HAVANA
chr2	240500768	240500854	0.02402	7	0.001183	1	ANKMY1	ANKMY1	HAVANA
chr2	102000062	102000164	0.02743	7	0.0007947	1	IL1R2	IL1R2	HAVANA
chr7	118224873	118224936	0.00714	3	9.728e-05	0.9253	ANKRD7	ANKRD7	HAVANA
chr12	131138698	131138745	0.03123	8	0.001767	1	ADGRD1	ADGRD1	HAVANA
chr12	46839405	46839431	0.01318	2	0.0002721	1	AC008014.1	AC008014.1	HAVANA
chr17	1730375	1730474	0.04141	10	0.001489	1	WDR81,AC130343.1	WDR81,AC130343.1	HAVANA,HAVANA
chr11	15074521	15074522	0.04636	1	0.07834	1	CALCB	CALCB	HAVANA
chr12	110224215	110224252	0.003028	2	3.166e-05	0.7624	.	.	.
chr19	17240402	17240528	0.04645	3	0.0007989	1	NR2F6,AC010646.1	NR2F6,AC010646.1	HAVANA,HAVANA
chr7	93921357	93921471	0.006825	4	0.0001422	0.877	.	GNG11	HAVANA
chr10	100731892	100731976	0.03364	6	0.001084	1	.	PAX2	HAVANA
chr19	48574726	48574969	0.0004666	8	1.559e-06	0.01072	AC008403.4,SULT2B1	AC008403.4,SULT2B1	HAVANA,HAVANA
chr12	40692058	40692117	0.002448	8	2.326e-05	0.4843	.	CNTN1	HAVANA
chr10	98038580	98038722	0.02921	12	0.001051	1	.	.	.
chr4	7885882	7885938	0.006691	5	0.0001012	0.9519	AFAP1	AFAP1	HAVANA
chr14	44896394	44896461	0.04716	6	0.00182	1	AL049870.2	AL049870.2,C14orf28,AL049870.3	HAVANA,HAVANA,HAVANA
chr5	150302602	150302625	0.0398	2	0.0014	1	ARSI	ARSI	HAVANA
chr21	8207560	8208993	0.0001725	431	4.241e-05	0.04849	FP671120.2,MIR3648-1,FP671120.1	FP671120.2,MIR6724-1,RF01518,MIR3648-1,FP671120.1,FP671120.4,RNA5-8SN2	HAVANA,ENSEMBL,ENSEMBL,ENSEMBL,ENSEMBL,HAVANA,ENSEMBL
chr10	33412688	33412787	0.03871	5	0.001344	1	.	.	.
