chrom	start	end	min_p	n_probes	z_p	z_sidak_p	genes	genes_flanking	genes_type
chr5	154493459	154493669	5.94e-06	36	9.95e-09	7.96e-05	AC026688.1	AC026688.1	HAVANA
chr10	117830939	117831099	9.64e-06	19	1.01e-08	0.0001055	AL513324.1	AL513324.1	HAVANA
chr9	35649887	35650028	2.04e-05	18	1.37e-08	0.0001628	SIT1	CD72,AL357874.1,SIT1	HAVANA,HAVANA,HAVANA
chr10	103660679	103661226	3.05e-05	23	5.49e-08	0.0001686	SH3PXD2A	SH3PXD2A	HAVANA
chr4	185638475	185638634	2.29e-05	13	1.93e-08	0.0002037	SORBS2	SORBS2	HAVANA
chr6	160275733	160275876	3.13e-05	14	1.9e-08	0.000223	SLC22A2,AL162582.1	SLC22A2,AL162582.1	HAVANA,HAVANA
chr6	100467503	100467977	0.00215	18	7.22e-08	0.0002559	.	SIM1	HAVANA
chr10	121593801	121594377	0.0003307	34	9.08e-08	0.0002649	FGFR2	FGFR2	HAVANA
chr10	129718981	129719222	1.58e-05	22	3.96e-08	0.0002758	MGMT	MGMT	HAVANA
chr11	2182495	2182625	3.3e-05	9	2.18e-08	0.0002817	.	.	.
chr8	51829342	51829373	1.94e-05	4	5.41e-09	0.0002932	PCMTD1	PCMTD1	HAVANA
chr2	233939004	233939264	8.24e-06	40	4.6e-08	0.0002971	TRPM8	TRPM8	HAVANA
chr12	111182392	111182570	2.04e-05	22	3.21e-08	0.000303	CUX2	CUX2	HAVANA
chr12	125016010	125016239	8.51e-05	26	4.65e-08	0.0003406	BRI3BP	BRI3BP	HAVANA
chr7	27141790	27141944	3.56e-05	18	3.2e-08	0.000349	HOXA3,AC004080.6,HOXA-AS3,HOXA5	HOXA3,AC004080.6,HOXA-AS3,HOXA5,HOXA6	HAVANA,HAVANA,HAVANA,HAVANA,HAVANA
chr12	132173213	132173342	6.08e-05	15	2.79e-08	0.0003631	.	AC138466.3	HAVANA
chr19	3655804	3655890	5.75e-05	7	2.19e-08	0.0004285	PIP5K1C	PIP5K1C	HAVANA
chr16	86198356	86198711	0.001973	16	9.83e-08	0.000465	AC135012.3,LINC01082	AC135012.3,LINC01082	HAVANA,HAVANA
chr11	65797792	65797985	6.63e-05	15	5.75e-08	5e-04	.	OVOL1,AP001266.1	HAVANA,HAVANA
chr6	156107880	156108121	0.0001216	20	7.36e-08	0.0005129	AL589693.1	AL589693.1	HAVANA
chr6	50836137	50836543	0.0006232	39	1.4e-07	0.0005791	TFAP2B	TFAP2B	HAVANA
chr14	36583463	36583658	0.0001165	25	6.85e-08	0.0005896	AL132857.1	AL132857.1,NKX2-8	HAVANA,HAVANA
chr6	163820268	163820425	8.52e-05	28	9.78e-08	0.001046	AL078602.1	AL078602.1	HAVANA
chr6	167324776	167324895	3.85e-05	8	7.8e-08	0.0011	.	TTLL2	HAVANA
chr7	36973774	36973937	4.4e-05	27	1.11e-07	0.001142	ELMO1	ELMO1	HAVANA
chr2	241901670	241901814	5.73e-05	10	9.98e-08	0.001164	LINC01237,FAM240C	LINC01237,FAM240C	HAVANA,HAVANA
chr1	228611582	228611696	0.0001509	15	8.32e-08	0.001226	.	RNA5S1,RNA5S2,RNA5S3	ENSEMBL,ENSEMBL,ENSEMBL
chr1	228636145	228636316	0.0001165	21	1.31e-07	0.001289	.	RNA5S11,RNA5S12,RNA5S13,RNA5S14	ENSEMBL,ENSEMBL,ENSEMBL,ENSEMBL
chr2	239274334	239274497	0.0002001	16	1.76e-07	0.001814	HDAC4	HDAC4	HAVANA
chr16	87604701	87604880	0.0002225	11	2.09e-07	0.001961	JPH3	AC092720.1,AC092720.2,JPH3	HAVANA,HAVANA,HAVANA
chr3	133778609	133778721	0.0001531	6	1.33e-07	0.001997	TF	TF	HAVANA
chr7	158741116	158741290	0.0002226	22	2.41e-07	0.002321	ESYT2	ESYT2	HAVANA
chr8	143586660	143586768	0.0002843	17	1.73e-07	0.00268	EEF1D	AC067930.5,EEF1D	HAVANA,HAVANA
chr16	84853345	84853427	0.0002456	7	1.34e-07	0.002732	AC025280.3,CRISPLD2	AC025280.3,CRISPLD2	HAVANA,HAVANA
chr3	195953764	195953900	0.0003109	9	2.29e-07	0.002825	AC124944.2	AC124944.2	HAVANA
chr10	95994606	95994669	0.000219	5	1.15e-07	0.003049	ENTPD1-AS1,CC2D2B	ENTPD1-AS1,CC2D2B	HAVANA,HAVANA
chr12	114697099	114697624	0.001892	51	1.01e-06	0.003231	AC026765.2	AC026765.2	HAVANA
chr3	11568664	11568896	0.0005524	39	4.53e-07	0.003276	VGLL4	VGLL4	HAVANA
chr10	76887389	76887498	0.0001466	8	2.19e-07	0.003371	KCNMA1	KCNMA1,KCNMA1-AS1	HAVANA,HAVANA
chr7	2221702	2221819	0.0002133	8	2.39e-07	0.003419	MAD1L1,AC069288.1	MAD1L1,AC069288.1	HAVANA,HAVANA
chr15	96346135	96346237	0.000344	11	2.14e-07	0.003519	.	AC103746.1	HAVANA
chr7	697221	697468	0.0002843	18	5.25e-07	0.003563	PRKAR1B	PRKAR1B	HAVANA
chr16	86300334	86300482	0.0001626	16	3.17e-07	0.003595	LINC01081	LINC01081	HAVANA
chr17	73028276	73028358	0.0003118	7	1.83e-07	0.003747	SLC39A11	SLC39A11	HAVANA
chr4	39480734	39480821	0.000335	12	2.05e-07	0.003946	LIAS,AC021148.1	LIAS,AC021148.1	HAVANA,HAVANA
chr8	30442606	30442800	0.000262	35	5e-07	0.004321	RBPMS	RBPMS	HAVANA
chr16	89518369	89518518	0.0001985	16	3.85e-07	0.004326	SPG7	SPG7	HAVANA
chr7	29563431	29563533	0.0004001	7	2.65e-07	0.004347	AC007255.1	AC007255.1,PRR15	HAVANA,HAVANA
chr1	58623734	58623828	0.0003901	18	2.52e-07	0.004484	.	.	.
chr8	140097952	140098094	0.0003288	11	3.99e-07	0.004704	TRAPPC9,PEG13	TRAPPC9,PEG13	HAVANA,HAVANA
chr6	79313440	79313476	0.0002001	6	1.03e-07	0.004777	.	LCAL1	HAVANA
chr6	100466243	100466367	0.0003775	7	3.59e-07	0.004847	.	SIM1	HAVANA
chr10	75397665	75397787	0.0001459	22	3.72e-07	0.005107	AC010997.3	AC010997.3,ZNF503,ZNF503-AS2	HAVANA,HAVANA,HAVANA
chr15	96343576	96343910	0.001447	18	1.03e-06	0.005151	AC103746.1	NR2F2,AC103746.1	HAVANA,HAVANA
chr12	47811663	47811764	0.0004782	9	3.31e-07	0.005493	HDAC7	HDAC7	HAVANA
chr6	20239049	20239183	0.0003576	24	4.71e-07	0.00589	AL158198.1	AL158198.1	HAVANA
chr6	10398355	10398457	0.0005176	9	3.64e-07	0.005975	TFAP2A	TFAP2A	HAVANA
chr14	103724286	103724436	0.0004325	21	5.46e-07	0.0061	ZFYVE21	ZFYVE21,RF00019	HAVANA,ENSEMBL
chr5	175698262	175698281	0.003933	3	7.21e-08	0.006355	HRH2	HRH2	HAVANA
chr6	151349242	151349339	0.0005266	5	3.72e-07	0.006412	AKAP12	AKAP12	HAVANA
chr11	2190903	2191076	2.2e-05	20	8.15e-07	0.007885	.	.	.
chr12	128947341	128947474	0.0006835	7	6.36e-07	0.007994	GLT1D1	GLT1D1,AC069262.1	HAVANA,HAVANA
chr10	590391	590537	0.000233	14	8.43e-07	0.009654	DIP2C	DIP2C	HAVANA
chr18	63476871	63477019	0.0005935	22	9.33e-07	0.01053	SERPINB5	SERPINB5	HAVANA
chr14	103519847	103520025	4.62e-06	20	1.14e-06	0.01068	CKB	CKB,AL133367.1	HAVANA,HAVANA
chr3	11609993	11610146	0.0003109	8	9.8e-07	0.0107	VGLL4,AC022001.2	VGLL4,AC022001.2,AC022001.3	HAVANA,HAVANA,HAVANA
chr16	90082305	90082589	0.001493	27	1.9e-06	0.01117	PRDM7	PRDM7	HAVANA
chr6	27553413	27553553	0.0001677	16	9.48e-07	0.01131	.	.	.
chr8	123653883	123653968	0.0007326	14	5.8e-07	0.01139	AC135166.1	AC135166.1,KLHL38	HAVANA,HAVANA
chr8	30541236	30541308	0.0006792	6	5.13e-07	0.01189	RBPMS	RBPMS	HAVANA
chr17	604210	604379	0.000197	11	1.21e-06	0.01197	VPS53	VPS53	HAVANA
chr8	144416629	144416861	0.0009183	26	1.71e-06	0.01231	SLC39A4	SLC39A4	HAVANA
chr13	75326304	75326438	0.0009313	15	1.12e-06	0.01388	TBC1D4	TBC1D4	HAVANA
chr16	55033669	55033811	0.0001691	17	1.22e-06	0.01427	.	.	.
chr10	413913	414118	0.0007144	30	1.78e-06	0.01446	DIP2C	DIP2C	HAVANA
chr15	66706552	66706662	0.0003608	11	9.83e-07	0.0149	SMAD6	SMAD6	HAVANA
chr7	130491634	130491727	0.006616	12	8.5e-07	0.01524	MEST	MESTIT1,MEST,RF02148,RF02149,RF02150,AC007938.2,MIR335	HAVANA,HAVANA,ENSEMBL,ENSEMBL,ENSEMBL,HAVANA,ENSEMBL
chr16	82062976	82063033	0.0006863	7	5.25e-07	0.01537	HSD17B2,AC092142.1	HSD17B2,AC092142.1	HAVANA,HAVANA
chr7	20745277	20745395	0.0007263	10	1.09e-06	0.01544	ABCB5	ABCB5	HAVANA
chr6	67031694	67031823	0.0001631	7	1.27e-06	0.01635	.	.	.
chr13	95641353	95641450	0.0003036	13	9.99e-07	0.01715	DZIP1	DZIP1	HAVANA
chr6	100448882	100449072	0.001123	18	2.04e-06	0.01789	SIM1	SIM1	HAVANA
chr13	112885971	112886199	0.001038	27	2.52e-06	0.0184	ATP11A	ATP11A	HAVANA
chr17	43280565	43280702	0.001095	10	1.67e-06	0.02026	CCDC200	CCDC200,RF00004,RF00004	HAVANA,ENSEMBL,ENSEMBL
chr6	5135510	5135651	0.001477	4	1.72e-06	0.02032	LYRM4	LYRM4	HAVANA
chr7	27131584	27131784	0.01568	12	2.48e-06	0.0206	HOXA3,HOXA-AS2,AC004080.6,HOXA-AS3	HOXA3,HOXA-AS2,HOXA4,AC004080.6,HOXA-AS3	HAVANA,HAVANA,HAVANA,HAVANA,HAVANA
chr7	157855944	157856064	0.000761	14	1.76e-06	0.02437	PTPRN2,AC011899.2	PTPRN2,AC011899.2	HAVANA,HAVANA
chr12	107774294	107774347	0.0007812	8	7.99e-07	0.02501	.	ASCL4	HAVANA
chr2	2961071	2961185	0.001556	20	1.83e-06	0.02657	LINC01250	LINC01250	HAVANA
chr19	685243	685345	0.00142	10	1.68e-06	0.0272	.	FSTL3,PRSS57	HAVANA,HAVANA
chr6	27545489	27545715	0.0003027	25	3.82e-06	0.02799	.	.	.
chr22	23457497	23457615	0.0002158	14	2e-06	0.02809	AP000344.1	AP000344.1,FAM230I	HAVANA,HAVANA
chr5	138875317	138875397	0.001479	12	1.45e-06	0.02994	CTNNA1,LRRTM2	CTNNA1,LRRTM2	HAVANA,HAVANA
chr6	27593328	27593416	0.001666	7	1.68e-06	0.03153	.	RNU6-471P	ENSEMBL
chr9	101026884	101026906	0.0005938	4	4.37e-07	0.03281	.	PLPPR1	HAVANA
chr5	9927581	9927644	0.001353	4	1.28e-06	0.03355	.	.	.
chr7	27141219	27141331	0.001666	12	2.44e-06	0.03597	HOXA3,AC004080.6,HOXA-AS3,HOXA5	HOXA3,AC004080.6,HOXA-AS3,HOXA5,HOXA6	HAVANA,HAVANA,HAVANA,HAVANA,HAVANA
chr2	63047355	63047546	0.0007316	17	4.22e-06	0.03641	AC007098.1	EHBP1,AC007098.1,OTX1	HAVANA,HAVANA,HAVANA
chr2	105399836	105399893	0.01622	10	1.36e-06	0.0394	FHL2	FHL2	HAVANA
chr17	41635380	41635519	0.0009282	17	3.41e-06	0.04034	KRT42P	KRT42P	HAVANA
chr7	150038585	150038666	0.00189	9	2e-06	0.0406	AC092666.1	AC092666.1	HAVANA
chr7	98682029	98682179	0.001456	13	3.76e-06	0.04126	.	.	.
chr17	79947599	79947692	0.02775	10	2.35e-06	0.04163	TBC1D16	TBC1D16,AC100791.3	HAVANA,HAVANA
chr1	19664275	19664354	0.001892	8	2.01e-06	0.04174	.	HTR6	HAVANA
chr2	74436311	74436484	0.000641	30	4.66e-06	0.04422	RTKN	RTKN	HAVANA
chr22	48743679	48743790	0.001893	11	2.99e-06	0.04429	TAFA5	TAFA5	HAVANA
chr7	2116214	2116296	0.002086	11	2.27e-06	0.04539	MAD1L1,AC069288.1	MAD1L1,AC069288.1	HAVANA,HAVANA
chr10	3099714	3099881	0.0002073	8	4.88e-06	0.0479	PFKP	PFKP	HAVANA
chr7	144407470	144407567	0.002476	5	2.85e-06	0.04807	NOBOX	NOBOX	HAVANA
chr16	4339323	4339421	0.002593	9	3.03e-06	0.05064	GLIS2,PAM16	GLIS2,PAM16,AC012676.1,CORO7-PAM16	HAVANA,HAVANA,HAVANA,HAVANA
chr9	136852264	136852350	0.002364	7	2.67e-06	0.05085	MAMDC4	AJM1,PHPT1,MAMDC4	HAVANA,HAVANA,HAVANA
chr17	19724613	19724750	0.001293	31	4.26e-06	0.05091	.	AC005722.2	HAVANA
chr4	52861548	52861710	0.0002414	20	5.12e-06	0.05173	LINC01618	LINC01618,RASL11B	HAVANA,HAVANA
chr12	203427	203519	0.00251	14	2.91e-06	0.05179	SLC6A12	SLC6A12,AC007406.4	HAVANA,HAVANA
chr17	48550911	48551077	0.001297	26	5.49e-06	0.05408	HOXB-AS1,HOXB3,HOXB-AS3	HOXB-AS1,HOXB3,HOXB-AS3	HAVANA,HAVANA,HAVANA
chr20	44524219	44524390	0.003295	13	5.86e-06	0.05597	.	SERINC3	HAVANA
chr3	185537374	185537487	0.001355	7	3.89e-06	0.05612	LIPH	LIPH	HAVANA
chr3	141312840	141312969	0.003005	4	4.49e-06	0.05674	PXYLP1,AC117383.1	PXYLP1,AC117383.1,AC117383.2	HAVANA,HAVANA,HAVANA
chr3	45594563	45594748	0.001404	13	6.61e-06	0.05823	LIMD1	LIMD1	HAVANA
chr6	169168390	169168498	0.002942	25	3.88e-06	0.05848	.	.	.
chr10	484774	484946	0.002476	36	6.18e-06	0.05854	DIP2C	DIP2C	HAVANA
chr7	5443763	5443957	0.001309	22	7.41e-06	0.06215	FBXL18	FBXL18	HAVANA
chr11	1036723	1036867	0.0006835	28	6.32e-06	0.07104	.	MUC6	HAVANA
chr7	6149150	6149337	0.002009	16	8.28e-06	0.07171	USP42	USP42	HAVANA
chr1	228629646	228629826	0.001334	23	8e-06	0.07189	.	RNA5S8,RNA5S9,RNA5S10,RNA5S11	ENSEMBL,ENSEMBL,ENSEMBL,ENSEMBL
chr8	143738660	143738740	0.02115	7	3.77e-06	0.07617	IQANK1	FAM83H,IQANK1	HAVANA,HAVANA
chr14	105392781	105392818	0.0003766	4	1.75e-06	0.07619	PACS2	PACS2	HAVANA
chr6	50846028	50846090	0.001195	4	2.96e-06	0.07701	TFAP2B	TFAP2B	HAVANA
chr2	15984769	15984931	0.002862	19	7.74e-06	0.07708	.	.	.
chr6	167141233	167141319	0.003254	7	4.15e-06	0.07787	.	Z94721.2,CCR6	HAVANA,HAVANA
chr5	146042093	146042143	0.002364	3	2.67e-06	0.08582	SH3RF2	SH3RF2	HAVANA
chr7	158317367	158317497	0.002148	27	7.04e-06	0.08695	PTPRN2	PTPRN2	HAVANA
chr8	140099078	140099174	0.01546	7	5.2e-06	0.08697	TRAPPC9,PEG13	TRAPPC9,PEG13	HAVANA,HAVANA
chr16	88524992	88525075	0.003697	8	4.83e-06	0.09317	ZFPM1,AC116552.1	ZFPM1,AC116552.1	HAVANA,HAVANA
chr1	1167453	1167554	0.01864	12	5.99e-06	0.09486	.	MIR200B,MIR200A,MIR429,AL390719.2	ENSEMBL,ENSEMBL,ENSEMBL,HAVANA
chr12	124713083	124713218	0.002114	9	8.07e-06	0.09558	.	.	.
chr12	121813197	121813286	0.003303	7	5.47e-06	0.09807	SETD1B	SETD1B	HAVANA
chr2	8857804	8857910	0.004409	8	6.53e-06	0.09828	MBOAT2	MBOAT2	HAVANA
chr7	101956238	101956329	0.004152	10	5.62e-06	0.09855	CUX1	CUX1,AC005072.1	HAVANA,HAVANA
chr17	36728752	36728911	0.0012	24	9.94e-06	0.09966	.	AC243830.1	HAVANA
chr9	136156630	136156773	0.004152	12	8.97e-06	0.1	.	.	.
chr4	185811683	185811806	0.0003311	16	7.77e-06	0.1006	SORBS2	SORBS2	HAVANA
chr12	114700714	114700815	0.00458	8	6.51e-06	0.1026	AC026765.2	AC026765.2	HAVANA
chr15	68230328	68230451	0.002423	11	8.49e-06	0.1095	CLN6	AC107871.1,CLN6	HAVANA,HAVANA
chr11	44304183	44304316	0.000912	19	9.36e-06	0.1115	ALX4	ALX4	HAVANA
chr9	6955559	6955598	0.002475	5	2.83e-06	0.1147	KDM4C,AL513412.1	KDM4C,AL513412.1	HAVANA,HAVANA
chr4	3441155	3441239	0.004465	4	6.26e-06	0.1176	.	RGS12,HGFAC	HAVANA,HAVANA
chr17	48607308	48607404	0.005049	11	7.49e-06	0.1228	HOXB7	HOXB3,HOXB-AS3,HOXB6,HOXB7,HOXB8	HAVANA,HAVANA,HAVANA,HAVANA,HAVANA
chr17	80826900	80827055	0.0005116	19	1.24e-05	0.1261	RPTOR,AC016245.2	RPTOR,AC016245.2	HAVANA,HAVANA
chr8	141300897	141301046	0.005387	22	1.2e-05	0.1263	SLC45A4	SLC45A4	HAVANA
chr10	98537631	98537716	0.004935	13	7.25e-06	0.1335	HPSE2	HPSE2	HAVANA
chr8	11710338	11710415	0.004611	11	6.63e-06	0.1346	GATA4	GATA4	HAVANA
chr1	31577269	31577396	0.005737	21	1.14e-05	0.1404	LINC01226,AC114488.1,TINAGL1	LINC01226,AC114488.1,TINAGL1	HAVANA,HAVANA,HAVANA
chr14	69055445	69055571	0.001598	15	1.14e-05	0.1414	DCAF5	DCAF5	HAVANA
chr14	99197906	99198042	0.006538	16	1.28e-05	0.1457	BCL11B	BCL11B	HAVANA
chr19	51002189	51002271	0.005186	5	7.73e-06	0.1464	AC011483.1,KLK8,AC011473.4	AC011483.1,KLK8,AC011473.4,KLK9	HAVANA,HAVANA,HAVANA,HAVANA
chr13	21872920	21873032	0.005003	8	1.1e-05	0.1518	LINC00424	LINC00424	HAVANA
chr9	136994639	136994740	0.006221	14	9.95e-06	0.1525	CLIC3	PAXX,CLIC3	HAVANA,HAVANA
chr13	25928850	25928943	0.006143	10	9.74e-06	0.1613	ATP8A2	ATP8A2	HAVANA
chr16	84836559	84836683	0.0006295	6	1.31e-05	0.163	AC025280.3,CRISPLD2	AC025280.3,CRISPLD2	HAVANA,HAVANA
chr19	39171615	39171805	0.006308	13	2.04e-05	0.1649	PAK4	PAK4	HAVANA
chr11	123475070	123475157	0.006078	5	9.53e-06	0.168	GRAMD1B	GRAMD1B	HAVANA
chr16	88263382	88263485	0.001421	13	1.17e-05	0.174	AC138512.1	AC138512.1	HAVANA
chr1	243421485	243421623	0.007257	13	1.6e-05	0.1774	SDCCAG8	SDCCAG8	HAVANA
chr8	7355003	7355139	0.001129	19	1.6e-05	0.1796	FAM66B	FAM66B,ZNF705G	HAVANA,HAVANA
chr7	2069607	2069777	0.001401	17	2.02e-05	0.1813	MAD1L1,AC069288.1	MAD1L1,AC069288.1	HAVANA,HAVANA
chr2	71071753	71071823	0.005625	10	8.62e-06	0.1868	NAGK	NAGK,AC007881.3	HAVANA,HAVANA
chr1	13820065	13820157	0.00698	7	1.17e-05	0.1928	PRDM2	PRDM2	HAVANA
chr1	170670148	170670284	0.007133	6	1.78e-05	0.1968	PRRX1	PRRX1,Z97200.1	HAVANA,HAVANA
chr16	3443316	3443447	0.008044	17	1.75e-05	0.2006	AC025283.3,ZNF597	AC025283.3,ZNF597,NAA60	HAVANA,HAVANA,HAVANA
chr17	76635884	76635947	0.005625	4	8.63e-06	0.2055	ST6GALNAC1	ST6GALNAC1	HAVANA
chr17	80380552	80380660	0.008018	9	1.48e-05	0.2059	AC124319.1,AC124319.3	AC124319.1,AC124319.3	HAVANA,HAVANA
chr2	43058594	43058681	0.00709	5	1.2e-05	0.2068	.	.	.
chr14	73790404	73790473	0.006143	7	9.74e-06	0.2111	AC005520.2	ELMSAN1,AC005520.2	HAVANA,HAVANA
chr1	3186405	3186544	0.00275	16	2.01e-05	0.2159	PRDM16	PRDM16	HAVANA
chr12	124392029	124392174	0.002729	22	2.11e-05	0.2172	NCOR2	NCOR2	HAVANA
chr3	88001015	88001141	0.004135	18	1.89e-05	0.2224	.	.	.
chr3	50275496	50275612	0.008126	10	1.74e-05	0.2226	SEMA3B	SEMA3B,MIR6872,LSMEM2	HAVANA,ENSEMBL,HAVANA
chr7	2822206	2822250	0.004611	10	6.64e-06	0.2239	GNA12	GNA12	HAVANA
chr21	46035834	46035950	0.009184	7	1.8e-05	0.229	.	AP001476.1	HAVANA
chr2	160920886	160920958	0.006723	5	1.12e-05	0.2295	.	.	.
chr10	73733561	73733683	0.009184	12	1.92e-05	0.2326	GLUD1P3,DUSP8P5	AC022400.3,AC022400.5,BMS1P4,GLUD1P3,DUSP8P5	HAVANA,HAVANA,HAVANA,HAVANA,HAVANA
chr15	23303401	23303606	0.003295	43	3.28e-05	0.2356	.	.	.
chr4	128553435	128553554	0.009626	11	1.93e-05	0.2387	.	AC110609.1	HAVANA
chr16	87834316	87834403	0.002148	5	1.42e-05	0.2401	SLC7A5	SLC7A5,MIR6775,AC126696.2	HAVANA,ENSEMBL,HAVANA
chr16	86151575	86151734	0.001551	12	2.76e-05	0.253	.	.	.
chr12	57232499	57232562	0.006633	6	1.1e-05	0.2532	SHMT2	AC137834.2,SHMT2,NDUFA4L2	HAVANA,HAVANA,HAVANA
chr9	69172244	69172336	0.009117	3	1.65e-05	0.2602	AL358113.1,TJP2	AL358113.1,TJP2	HAVANA,HAVANA
chr6	143753788	143753823	0.004485	4	6.34e-06	0.2623	PHACTR2	PHACTR2	HAVANA
chr6	170403620	170403698	0.008126	5	1.43e-05	0.2646	FAM120B	FAM120B	HAVANA
chr9	133739851	133739908	0.006573	6	1.08e-05	0.2726	SARDH	SARDH	HAVANA
chr1	247342831	247342939	0.00758	9	2.13e-05	0.2818	AC104335.1	AC104335.1	HAVANA
chr4	1789822	1789872	0.00623	8	9.99e-06	0.2851	.	FGFR3	HAVANA
chr15	29688622	29688733	0.002968	14	2.24e-05	0.288	.	.	.
chr6	163181826	163181951	0.0165	13	2.59e-05	0.2941	PACRG,PACRG-AS3	PACRG,PACRG-AS3	HAVANA,HAVANA
chr7	75559765	75559909	0.004766	23	2.99e-05	0.2946	HIP1	HIP1	HAVANA
chr2	160271885	160271937	0.004873	12	1.1e-05	0.2992	AC092153.1	AC092153.1,LINC02478,RBMS1	HAVANA,HAVANA,HAVANA
chr17	43253737	43253837	0.02393	6	2.12e-05	0.3	CCDC200	CCDC200,RF00004	HAVANA,ENSEMBL
chr19	55677093	55677167	0.008841	5	1.59e-05	0.3026	EPN1	U2AF2,AC008735.2,EPN1	HAVANA,HAVANA,HAVANA
chr4	76198030	76198109	0.009294	8	1.7e-05	0.3037	AC110795.1,SCARB2	AC110795.1,SCARB2	HAVANA,HAVANA
chr19	3672110	3672204	0.007002	7	2.04e-05	0.305	PIP5K1C	PIP5K1C,AC004637.1	HAVANA,HAVANA
chr6	10747331	10747364	0.005049	4	7.46e-06	0.3159	AL024498.1	AL024498.1,TMEM14B,AL024498.2	HAVANA,HAVANA,HAVANA
