chrom	start	end	min_p	n_probes	z_p	z_sidak_p	genes	genes_flanking	genes_type
chr19	15507748	15507809	0.01985	8	1.95e-05	0.4084	.	CYP4F22	HAVANA
chr5	127073489	127073574	0.01861	24	2.87e-05	0.4262	C5orf63	C5orf63,AC005915.1	HAVANA,HAVANA
chr14	101584408	101584619	0.01405	8	7.14e-05	0.427	.	.	.
chr6	156107964	156108037	0.01072	10	2.48e-05	0.4274	AL589693.1	AL589693.1	HAVANA
chr7	54833322	54833427	0.01642	25	3.58e-05	0.4296	.	.	.
chr4	1329645	1329729	0.004531	7	3.32e-05	0.478	MAEA	MAEA	HAVANA
chr16	48394079	48394144	0.02296	10	2.61e-05	0.4827	SIAH1	SIAH1	HAVANA
chr1	19357874	19357935	0.009092	5	2.46e-05	0.4844	CAPZB	CAPZB	HAVANA
chr3	105353916	105353941	0.01197	6	1.08e-05	0.5095	.	.	.
chr2	240701221	240701296	0.02707	6	3.45e-05	0.5306	AC011298.2	AQP12A,AC011298.2	HAVANA,HAVANA
chr10	96366680	96366734	0.02254	3	2.49e-05	0.5318	TLL2	TLL2	HAVANA
chr2	112622089	112622207	0.01233	15	5.49e-05	0.5348	AC079922.1	AC079922.1	HAVANA
chr19	13208913	13209017	0.02285	9	4.89e-05	0.5384	CACNA1A	CACNA1A	HAVANA
chr7	1026239	1026339	0.005571	9	4.98e-05	0.5591	C7orf50	C7orf50,MIR339,AC073957.1	HAVANA,ENSEMBL,HAVANA
chr3	195763288	195763348	0.01642	4	3.19e-05	0.5824	MUC4	MUC4	HAVANA
chr22	46374414	46374470	0.003613	6	3.03e-05	0.5892	CELSR1	CELSR1	HAVANA
chr4	7250655	7250749	0.01127	12	5.17e-05	0.5952	SORCS2	SORCS2	HAVANA
chr11	460628	460716	0.0334	17	4.94e-05	0.603	PTDSS2	PTDSS2,AC138230.1	HAVANA,HAVANA
chr16	89328693	89328760	0.01887	10	3.78e-05	0.6045	ANKRD11	ANKRD11,AC137932.2	HAVANA,HAVANA
chr3	49199844	49199913	0.02945	6	3.89e-05	0.6047	CCDC36	CCDC36	HAVANA
chr3	194204834	194204922	0.0124	12	5.19e-05	0.6207	LINC02036	LINC02036	HAVANA
chr1	1337128	1337255	0.002492	11	7.79e-05	0.6351	DVL1	TAS1R3,DVL1,MIR6808	HAVANA,HAVANA,ENSEMBL
chr12	120100827	120100902	0.03241	14	4.62e-05	0.6371	RAB35	RAB35	HAVANA
chr15	42036401	42036491	0.006423	8	5.56e-05	0.6377	PLA2G4E	PLA2G4E	HAVANA
chr17	4656773	4656879	0.02054	32	6.78e-05	0.6507	.	.	.
chr2	147826902	147826980	0.003791	15	5.16e-05	0.663	.	.	.
chr10	286254	286332	0.03541	3	5.19e-05	0.6652	DIP2C	DIP2C,RNA5SP298	HAVANA,ENSEMBL
chr7	133753762	133753806	0.02601	3	3.27e-05	0.705	EXOC4	EXOC4	HAVANA
chr4	96742804	96742846	0.03753	4	3.15e-05	0.7083	LINC02267	LINC02267	HAVANA
chr1	158177808	158177902	0.022	18	7.08e-05	0.7102	.	ELL2P1,CD1D	HAVANA,HAVANA
chr14	69652500	69652538	0.024	3	2.87e-05	0.7113	SUSD6	SUSD6	HAVANA
chr17	78224788	78224850	0.01426	10	4.7e-05	0.7126	BIRC5	BIRC5	HAVANA
chr6	10883907	10883971	0.008861	7	4.86e-05	0.7132	AL024498.2,AL357497.1	AL024498.2,GCM2,AL357497.1,SYCP2L	HAVANA,HAVANA,HAVANA,HAVANA
chr2	241759333	241759365	0.02316	4	2.65e-05	0.7435	D2HGDH	D2HGDH,AC114730.2	HAVANA,HAVANA
chr8	6152554	6152607	0.03221	7	4.42e-05	0.7464	AC009435.1	AC009435.1	HAVANA
chr1	240123120	240123186	0.03396	5	5.71e-05	0.7589	FMN2	FMN2	HAVANA
chr10	2501273	2501363	0.007276	10	7.84e-05	0.7614	LINC02645	LINC02645,AL713851.2,AL713851.1	HAVANA,HAVANA,HAVANA
chr9	123339662	123339729	0.01805	6	5.94e-05	0.7671	.	.	.
chr8	12488382	12488459	0.0124	8	6.89e-05	0.7704	ENPP7P6,AC068587.4	ENPP7P6,AC068587.4	HAVANA,HAVANA
chr8	41623078	41623159	0.008973	7	7.57e-05	0.785	GPAT4	GPAT4,AC009630.3	HAVANA,HAVANA
chr15	74368187	74368224	0.02767	2	3.57e-05	0.7952	AC090826.1	CYP11A1,PPIAP46,AC090826.1	HAVANA,HAVANA,HAVANA
chr3	58537586	58537648	0.04021	3	6.23e-05	0.8086	.	ACOX2	HAVANA
chr6	15505158	15505230	0.01366	7	7.34e-05	0.813	JARID2	JARID2	HAVANA
chr13	35476707	35476795	0.01656	14	9.01e-05	0.8143	NBEA,MAB21L1	NBEA,MAB21L1	HAVANA,HAVANA
chr10	127399288	127399387	0.02174	2	0.0001014	0.8144	DOCK1	DOCK1	HAVANA
chr12	12331746	12331790	0.03297	2	4.66e-05	0.8246	MANSC1	MANSC1	HAVANA
chr1	167553109	167553186	0.04897	4	8.29e-05	0.8299	CREG1	CREG1	HAVANA
chr6	31766076	31766138	0.008395	8	6.95e-05	0.8417	VWA7	MSH5,MSH5-SAPCD1,SAPCD1,SAPCD1-AS1,VWA7	HAVANA,HAVANA,HAVANA,HAVANA,HAVANA
chr3	197367267	197367332	0.009526	2	7.76e-05	0.8597	.	.	.
chr7	5230866	5230938	0.02964	10	9.9e-05	0.8959	WIPI2	WIPI2	HAVANA
chr2	127043568	127043647	0.01174	5	0.000113	0.9048	.	BIN1	HAVANA
chr20	31547409	31547490	0.02131	20	0.0001248	0.9207	HM13,MCTS2P	HM13,MCTS2P	HAVANA,HAVANA
chr15	96492101	96492162	0.03669	13	0.0001103	0.9489	.	RF00017	ENSEMBL
chr10	130191486	130191554	0.002241	4	0.0001247	0.951	.	.	.
chr7	4879167	4879244	0.01067	16	0.0001423	0.9521	RADIL	RADIL	HAVANA
chr5	91279545	91279552	0.01154	6	1.46e-05	0.9676	LUCAT1	LUCAT1,AC123595.1,AC123595.2	HAVANA,HAVANA,HAVANA
chr12	6362078	6362144	0.01422	7	0.0001425	0.9713	SCNN1A	SCNN1A	HAVANA
chr10	3781701	3781738	0.02367	6	8.18e-05	0.9736	KLF6	KLF6	HAVANA
chr17	82222184	82222259	0.02526	5	0.0001868	0.9834	.	AC132872.2	HAVANA
chr4	14863030	14863090	0.0219	24	0.0001589	0.9872	LINC00504	LINC00504	HAVANA
chr7	5491355	5491405	0.0336	5	0.0001578	0.9944	FBXL18	FBXL18,MIR589	HAVANA,ENSEMBL
chr2	9145935	9145998	0.0106	6	0.0002143	0.9963	AC093904.1	AC093904.1	HAVANA
chr1	228638821	228638833	0.03705	3	4.23e-05	0.997	.	RNA5S12,RNA5S13,RNA5S14,RNA5S15,RNA5S16	ENSEMBL,ENSEMBL,ENSEMBL,ENSEMBL,ENSEMBL
chr17	82332242	82332295	0.02124	8	0.0001978	0.9978	SECTM1	SECTM1	HAVANA
chr3	75396182	75396378	0.01857	4	0.0007377	0.998	.	AC139453.2,LSP1P2,AC139453.1	HAVANA,HAVANA,HAVANA
chr11	122977180	122977181	0.008457	1	4.57e-06	0.9995	.	BSX	HAVANA
chr6	31971605	31971621	0.004531	2	7.51e-05	0.9996	DXO,STK19	SKIV2L,DXO,STK19	HAVANA,HAVANA,HAVANA
chr19	36281999	36282072	0.01497	8	0.0004332	0.9999	.	.	.
chr6	10075174	10075205	0.01263	5	0.0001778	0.9999	OFCC1	OFCC1	HAVANA
chr21	8389514	8389569	0.02044	22	0.0003045	0.9999	FP236383.1	FP236383.1,MIR6724-3,RF01518,FP236383.2	HAVANA,ENSEMBL,ENSEMBL,HAVANA
chr18	37274667	37274687	0.002746	3	0.0001093	0.9999	CELF4,AC090386.1	CELF4,AC090386.1	HAVANA,HAVANA
chr20	17225701	17225702	0.0164	1	1.45e-05	1	AL359511.3	AL359511.2,AL359511.3,PCSK2	HAVANA,HAVANA,HAVANA
chr2	237739317	237739318	0.03596	1	0.3753	1	LRRFIP1	LRRFIP1	HAVANA
chr13	112968485	112968502	0.02473	8	0.001412	1	MCF2L,MCF2L-AS1	MCF2L,AL356740.1,MCF2L-AS1	HAVANA,HAVANA,HAVANA
chr14	97458827	97458829	0.006332	2	0.01071	1	LINC02325	LINC02325	HAVANA
chr15	26831214	26831217	0.01396	2	0.001037	1	GABRB3	GABRB3	HAVANA
chr8	56190982	56190996	0.01373	2	0.00155	1	PLAG1	PLAG1	HAVANA
chr9	91810702	91810726	0.01139	4	0.005502	1	ROR2	ROR2	HAVANA
chr15	99439085	99439087	0.03916	2	0.007902	1	.	AC015660.1	HAVANA
chr16	54288434	54288455	0.005493	4	0.04157	1	AC018553.2	IRX3,AC018553.2,AC018553.1	HAVANA,HAVANA,HAVANA
chr14	103552435	103552437	0.01868	2	0.0006599	1	.	RNU7-160P,AL139300.2,BAG5	ENSEMBL,HAVANA,HAVANA
chr16	28183511	28183513	0.02285	2	2.56e-05	1	XPO6	XPO6,RF00402,RNY1P10	HAVANA,ENSEMBL,ENSEMBL
chr21	8258024	8258025	0.04997	1	0.8467	1	.	FP671120.5,RF00002	HAVANA,ENSEMBL
chr17	78680221	78680243	0.03043	8	0.0005841	1	CYTH1	CYTH1	HAVANA
chr12	58243651	58243652	0.04721	1	7.74e-05	1	.	RPL21P103	HAVANA
chr19	48497487	48497536	0.006942	6	0.001648	1	LMTK3	LMTK3	HAVANA
chr1	19563888	19563923	0.02764	8	0.00186	1	MICOS10	MICOS10	HAVANA
chr19	51029324	51029325	0.04916	1	8.38e-05	1	KLK12	KLK11,KLK12,AC011473.3	HAVANA,HAVANA,HAVANA
chr6	138595874	138595875	0.01696	1	1.53e-05	1	NHSL1	NHSL1	HAVANA
chr10	647580	647581	0.03574	1	0.04489	1	DIP2C	DIP2C,PRR26	HAVANA,HAVANA
chr6	12514167	12514168	0.006057	1	0.02346	1	RPL15P3	RPL15P3	HAVANA
chr11	30336718	30336719	0.03599	1	0.0001937	1	ARL14EP	ARL14EP	HAVANA
chr16	3762728	3762729	0.01968	1	1.13e-05	1	CREBBP	CREBBP	HAVANA
chr1	1671238	1671240	0.04861	2	0.003031	1	SLC35E2B	SLC35E2B,AL691432.1	HAVANA,HAVANA
chr12	114403247	114403248	0.03688	1	0.106	1	TBX5	TBX5,TBX5-AS1	HAVANA,HAVANA
chr3	146161781	146161841	0.02159	6	0.0006103	1	PLOD2	PLOD2	HAVANA
chr2	131830008	131830012	0.04836	4	0.254	1	AC103564.1	AC103564.1,AC103564.2	HAVANA,HAVANA
chr5	154480347	154480348	0.02498	1	6.69e-05	1	.	HAND1,AC026688.2	HAVANA,HAVANA
chr5	156850481	156850512	0.02303	6	0.04854	1	.	PPP1R2B	HAVANA
chr19	57387484	57387485	0.02365	1	2.73e-05	1	AC003002.1	AC003002.1,ZNF548,AC003002.3	HAVANA,HAVANA,HAVANA
chr1	77531926	77531939	0.04868	6	0.0005786	1	AK5	AK5	HAVANA
chr12	123887113	123887139	0.02137	4	0.009483	1	DNAH10	DNAH10	HAVANA
chr11	26269751	26269769	0.01196	4	0.002442	1	.	AC021698.1	HAVANA
chr16	32116804	32116843	0.02617	4	0.004393	1	HERC2P4,AC142381.2	HERC2P4,AC142381.2	HAVANA,HAVANA
chr3	21387684	21387685	0.04718	1	0.005642	1	.	.	.
chr10	93087538	93087542	0.03659	2	5.44e-05	1	.	.	.
chr1	8496595	8496597	0.01642	2	0.001379	1	RERE	RERE	HAVANA
chr19	33250061	33250062	0.01836	1	1.71e-05	1	.	.	.
chr13	100521446	100521447	0.0373	1	0.07695	1	PCCA	PCCA	HAVANA
chr17	82887356	82887382	0.02471	2	0.004552	1	TBCD	TBCD	HAVANA
chr7	27124237	27124285	0.02382	16	0.009718	1	HOXA3,HOXA-AS2	HOXA3,HOXA-AS2,HOXA4,AC004080.6	HAVANA,HAVANA,HAVANA,HAVANA
chr3	42685947	42685980	0.01836	2	0.001193	1	KLHL40	AC006059.5,KLHL40	HAVANA,HAVANA
chr2	47108522	47108533	0.03514	2	0.007116	1	STPG4,AC073283.3	STPG4,AC073283.3	HAVANA,HAVANA
chr11	3989395	3989428	0.02447	8	0.0004701	1	STIM1,AC087441.1	STIM1,AC087441.1	HAVANA,HAVANA
chr10	103835320	103835322	0.04919	2	0.6511	1	SH3PXD2A	SH3PXD2A	HAVANA
chr4	162739849	162739864	0.01008	3	0.02666	1	AC021134.1	AC021134.1	HAVANA
chr7	130492664	130492665	0.03394	1	0.01228	1	MEST	MESTIT1,MEST,RF02149,RF02150,AC007938.2,MIR335	HAVANA,HAVANA,ENSEMBL,ENSEMBL,HAVANA,ENSEMBL
chr3	153285290	153285292	0.02701	2	3.44e-05	1	.	.	.
chr19	12865441	12865442	0.02093	1	0.005379	1	HOOK2,MAST1	HOOK2,MAST1	HAVANA,HAVANA
chr2	169109885	169109886	0.04035	1	6.26e-05	1	.	.	.
chr14	91155269	91155271	0.04166	2	0.1164	1	DGLUCY	DGLUCY	HAVANA
chr22	46621553	46621561	0.03061	2	0.02873	1	GRAMD4	GRAMD4	HAVANA
chr21	42838070	42838072	0.03449	2	0.0008636	1	.	AP001628.1	HAVANA
chr2	18976534	18976543	0.03874	4	0.007523	1	.	.	.
chr18	10726830	10726831	0.04806	1	0.07366	1	PIEZO2,KIAA0895LP1	PIEZO2,KIAA0895LP1	HAVANA,HAVANA
chr2	158886123	158886125	0.02844	2	0.002573	1	.	.	.
chr1	3663410	3663435	0.02398	3	0.001327	1	TP73,AL136528.1	TP73,AL136528.1	HAVANA,HAVANA
chr9	118809479	118809514	0.02083	14	0.0008517	1	.	.	.
chr13	32838430	32838446	0.044	2	0.05404	1	.	.	.
chr5	1272659	1272664	0.01854	2	0.07814	1	TERT	TERT	HAVANA
chr3	82715634	82715643	0.0345	2	0.03829	1	.	.	.
chr10	125756400	125756401	0.02863	1	0.0001844	1	EDRF1,MMP21	EDRF1,EDRF1-AS1,MMP21	HAVANA,HAVANA,HAVANA
chr7	99620021	99620031	0.04301	2	6.8e-05	1	ZSCAN25	ZSCAN25	HAVANA
