chrom	start	end	min_p	n_probes	z_p	z_sidak_p	genes	genes_flanking	genes_type
chr15	72902760	72902862	0.03161	14	0.0002512	0.984	.	NPM1P42	HAVANA
chr6	158322969	158323060	0.009664	4	3.461e-05	0.4721	TULP4,AL360169.2	TULP4,AL360169.2	HAVANA,HAVANA
chr19	18762315	18762397	0.04114	4	0.0004488	0.9999	CRTC1	CRTC1	HAVANA
chr17	21200051	21200144	0.02159	5	0.0001154	0.8757	TMEM11	TMEM11	HAVANA
chr6	39881988	39881990	0.03301	2	0.0005027	1	DAAM2,AL590999.1	DAAM2,AL590999.1	HAVANA,HAVANA
chr14	75430634	75430716	0.006712	11	8.498e-05	0.8246	JDP2	AF111167.2,JDP2	HAVANA,HAVANA
chr1	220093457	220093520	0.04165	6	0.0003295	0.9998	.	BPNT1,IARS2	HAVANA,HAVANA
chr5	141122202	141122216	0.02645	2	0.29	1	AC244517.2,PCDHB4	AC244517.2,AC244517.1,PCDHB4	HAVANA,HAVANA,HAVANA
chr14	76861794	76861870	0.04598	5	0.0003887	0.9998	LRRC74A	LRRC74A	HAVANA
chr8	143431810	143431812	0.008828	2	0.003634	1	.	MAFA	HAVANA
chr15	31305128	31305197	0.008618	6	2.89e-05	0.5052	.	.	.
chr2	61865953	61865954	0.04992	1	0.0004412	1	.	CCT4,AC107081.2	HAVANA,HAVANA
chr1	1294188	1294290	0.01168	16	5.94e-05	0.624	ACAP3	SCNN1D,ACAP3,MIR6726	HAVANA,HAVANA,ENSEMBL
chr12	6180670	6180719	0.001919	5	3.241e-06	0.1051	.	.	.
chr2	241901683	241902048	0.007815	24	1.949e-05	0.08577	LINC01237,FAM240C	LINC01237,FAM240C	HAVANA,HAVANA
chr7	98251536	98251537	0.01408	1	0.07431	1	TECPR1	TECPR1,BRI3	HAVANA,HAVANA
chr8	103268736	103268766	0.02068	4	0.0001081	0.9976	BAALC-AS1	BAALC-AS1	HAVANA
chr10	13464916	13465005	0.008216	8	2.678e-05	0.3968	BEND7	BEND7	HAVANA
chr10	607471	607501	0.03301	2	0.002748	1	DIP2C	DIP2C	HAVANA
chr2	235937876	235937944	0.04663	5	0.0004166	1	AGAP1	AGAP1	HAVANA
chr5	633838	633840	0.04741	2	0.2119	1	CEP72	CEP72	HAVANA
chr6	107820807	107820808	0.04328	1	0.03171	1	SCML4	SCML4	HAVANA
chr5	123098472	123098589	0.006493	15	7.599e-05	0.6641	PRDM6	PRDM6	HAVANA
chr5	179378485	179378559	0.02687	3	0.000163	0.9753	AC109479.3,AC109479.1	AC109479.3,AC109479.1	HAVANA,HAVANA
chr7	35261491	35261493	0.0492	2	0.09	1	.	AC009531.1	HAVANA
chr3	194203631	194203853	0.001789	8	5.285e-06	0.0392	LINC02036	LINC02036	HAVANA
chr17	74404032	74404136	0.004867	6	1.381e-05	0.2	.	.	.
chr7	5845732	5845733	0.04473	1	0.0003723	1	ZNF815P	ZNF815P	HAVANA
chr15	70474820	70475363	0.01243	32	1.875e-07	0.0005798	.	.	.
chr8	48428414	48428476	1.331e-06	17	1.046e-10	2.835e-06	AC041040.1	AC041040.1	HAVANA
chr14	67696208	67696333	1.24e-05	4	5.837e-09	7.843e-05	.	RDH11	HAVANA
chr4	25621691	25621781	0.007625	8	2.391e-05	0.3599	.	AC092436.2,AC092436.1	HAVANA,HAVANA
chr6	158663377	158663496	0.002181	5	3.607e-05	0.399	SYTL3	SYTL3	HAVANA
chr11	11156326	11156380	0.0113	4	0.000174	0.9955	AC111188.1	AC111188.1	HAVANA
chr10	413913	414038	0.007996	20	0.0001554	0.8761	DIP2C	DIP2C	HAVANA
chr4	3240012	3240031	0.04004	2	0.01979	1	HTT	HTT,MSANTD1	HAVANA,HAVANA
chr3	129548304	129548451	0.008699	6	3.625e-05	0.3391	H1FOO	H1FOO	HAVANA
chr16	50610412	50610465	0.01801	5	8.773e-05	0.938	NKD1,AC007608.1	NKD1,AC007608.1	HAVANA,HAVANA
chr12	57869379	57869494	0.004102	5	1.451e-05	0.191	.	AC083805.1	HAVANA
chr17	57662583	57662626	0.03927	8	0.0002977	1	MSI2	MSI2	HAVANA
chr17	74568049	74568141	0.003957	6	7.015e-05	0.7222	.	CD300H	HAVANA
chr4	3304967	3305046	0.03179	8	0.0003823	0.9997	RGS12	RGS12	HAVANA
chr19	1126307	1126426	0.0122	13	5.246e-05	0.5231	SBNO2	SBNO2	HAVANA
chr8	1958244	1958279	0.02617	6	0.02627	1	AC019257.8,ARHGEF10,AC019257.9	AC019257.8,ARHGEF10,AC019257.9	HAVANA,HAVANA,HAVANA
chr10	117536109	117536110	0.04444	1	0.02487	1	EMX2OS	EMX2OS	HAVANA
chr10	34116831	34116914	2.246e-06	7	2.139e-10	4.33e-06	PARD3	PARD3	HAVANA
chr17	12429261	12429291	0.04141	4	0.001643	1	.	.	.
chr11	75490641	75490691	0.02072	2	0.0003977	1	GDPD5	GDPD5	HAVANA
chr17	82243334	82243412	0.04154	6	0.01717	1	SLC16A3,CSNK1D	SLC16A3,CSNK1D,AC132872.3	HAVANA,HAVANA,HAVANA
chr3	122760187	122760195	0.04879	4	0.0004257	1	HSPBAP1	HSPBAP1	HAVANA
chr16	4000230	4000464	5.466e-07	19	2.298e-10	1.65e-06	ADCY9	ADCY9	HAVANA
chr8	123182760	123182820	0.01209	6	0.01867	1	FAM83A,AC068228.1	FAM83A,RF00012,AC068228.1	HAVANA,ENSEMBL,HAVANA
chr1	93447070	93447133	0.006979	4	2.075e-05	0.425	.	FNBP1L	HAVANA
chr12	132838680	132838773	0.0003109	7	1.53e-06	0.02726	CHFR	CHFR,RNU6-327P	HAVANA,ENSEMBL
chr7	33732248	33732298	0.00438	6	1.049e-05	0.2971	.	AC008080.1,AC008080.2	HAVANA,HAVANA
chr14	75579575	75579676	0.02113	4	0.0002977	0.9929	AC007182.1,FLVCR2	AC007182.1,FLVCR2	HAVANA,HAVANA
chr7	155741911	155742004	0.009403	10	3.322e-05	0.4512	RBM33	RBM33	HAVANA
chr16	89246854	89246954	0.01045	8	5.14e-05	0.5783	.	.	.
chr15	69557412	69557514	0.04645	3	0.0003947	0.9985	DRAIC	DRAIC	HAVANA
chr11	312740	312843	0.0002723	7	2.131e-07	0.00347	IFITM2	IFITM2,AC136475.2,IFITM1	HAVANA,HAVANA,HAVANA
chr9	87497307	87497308	0.04743	1	0.06101	1	DAPK1	DAPK1	HAVANA
chr3	156551578	156551594	0.0431	4	0.0003498	1	SSR3	SSR3	HAVANA
chr21	36246485	36246572	0.02948	14	0.0002591	0.9933	DOP1B	DOP1B	HAVANA
chr12	121444266	121444267	0.02689	1	0.08051	1	KDM2B	KDM2B,MIR7107	HAVANA,ENSEMBL
chr1	41342083	41342254	0.002864	15	2.13e-05	0.1888	.	AC093151.8	HAVANA
chr1	54352945	54353046	0.01604	16	0.0001825	0.952	SSBP3	SSBP3	HAVANA
chr7	50782804	50782940	0.01011	18	0.0003226	0.9814	GRB10	GRB10	HAVANA
chr11	698136	698152	0.007037	2	8.811e-05	0.9999	DEAF1,EPS8L2,TMEM80	DEAF1,EPS8L2,TMEM80	HAVANA,HAVANA,HAVANA
chr8	23064718	23064734	0.008184	2	0.0003032	1	TNFRSF10B	TNFRSF10B,AC107959.2	HAVANA,HAVANA
chr2	240921523	240921664	0.01148	12	0.0001145	0.7443	CROCC2	CROCC2	HAVANA
chr19	31353979	31354109	0.002413	16	9.66e-06	0.1173	AC025809.1	TSHZ3,AC025809.1	HAVANA,HAVANA
chr6	166541202	166541332	7.027e-05	6	5.046e-08	0.0006518	RPS6KA2	RPS6KA2	HAVANA
chr17	836136	836235	0.01135	9	0.0001148	0.8573	NXN	NXN	HAVANA
chr22	42770133	42770343	0.0004098	27	1.551e-06	0.01233	.	.	.
chr15	85749662	85749767	0.004573	7	1.361e-05	0.1956	AC021739.2	AKAP13,AC021739.2,AC021739.5	HAVANA,HAVANA,HAVANA
chr2	111239222	111239224	0.03309	2	0.004195	1	MIR4435-2HG	MIR4435-2HG	HAVANA
chr12	95700370	95700408	0.01769	5	8.564e-05	0.9773	NTN4	NTN4	HAVANA
chr1	236021410	236021491	0.03854	3	0.0003573	0.9994	NID1	NID1	HAVANA
chr8	133060220	133060319	0.008489	4	0.0004359	0.9994	TG,SLA	TG,SLA,AF305872.2	HAVANA,HAVANA,HAVANA
chr8	143891124	143891186	0.0006927	4	7.846e-07	0.02103	AC109322.2	AC109322.2	HAVANA
chr6	98788186	98788277	0.0007349	8	8.505e-07	0.01558	.	.	.
chr11	1924416	1924426	0.02482	6	0.007062	1	TNNT3	TNNT3	HAVANA
chr19	582976	583145	0.002761	14	1.067e-05	0.1006	BSG	BSG	HAVANA
chr17	6754879	6754880	0.01811	1	8.827e-05	1	.	AC004706.2,RPL23AP73,XAF1	HAVANA,HAVANA,HAVANA
chr12	3117279	3117280	0.03448	1	0.01681	1	TSPAN9	TSPAN9	HAVANA
chr14	69877017	69877107	0.01386	4	5.946e-05	0.6704	SMOC1	SMOC1	HAVANA
chr1	228637252	228637545	0.000207	68	9.145e-07	0.005229	.	RNA5S11,RNA5S12,RNA5S13,RNA5S14,RNA5S15	ENSEMBL,ENSEMBL,ENSEMBL,ENSEMBL,ENSEMBL
chr17	75646282	75646622	7.408e-05	20	9.607e-08	0.0004745	RECQL5,SMIM6	RECQL5,SMIM5,SMIM6	HAVANA,HAVANA,HAVANA
chr10	122307832	122307925	0.01025	10	0.0003089	0.9962	BTBD16	BTBD16	HAVANA
chr3	62587645	62587745	0.01253	14	5.158e-05	0.5795	CADPS	CADPS	HAVANA
chr9	41286103	41286130	0.03768	2	0.0002783	1	.	AL845472.1	HAVANA
chr4	47467628	47467675	0.008052	2	2.588e-05	0.6034	AC107398.4	COMMD8,AC107398.4	HAVANA,HAVANA
chr9	41234911	41234969	0.00947	5	3.374e-05	0.6236	.	MIR4477A,RNA5SP530	ENSEMBL,ENSEMBL
chr8	48399121	48399204	0.04919	3	0.0004306	0.9998	.	.	.
chr12	42288392	42288478	0.002449	9	4.572e-06	0.08543	PPHLN1,AC020629.1	PPHLN1,AC020629.1	HAVANA,HAVANA
chr2	193436	193511	0.02571	4	0.002479	1	.	AC079779.1	HAVANA
chr17	43661827	43661829	0.01144	2	0.001182	1	MEOX1	MEOX1	HAVANA
chr3	124593396	124593472	0.03056	3	2e-04	0.988	KALRN	KALRN	HAVANA
chr2	23620951	23620964	0.04172	2	0.01171	1	KLHL29	KLHL29,AC011239.2	HAVANA,HAVANA
chr1	10402441	10402442	0.04156	1	0.0003284	1	PGD	PGD	HAVANA
chr12	123007181	123007279	0.03544	7	0.0002518	0.9866	PITPNM2	PITPNM2,MIR4304	HAVANA,ENSEMBL
chr16	29159636	29159637	0.04228	1	0.001034	1	AC009093.8,AC009093.10,AC009093.2	AC009093.8,AC009093.10,AC009093.2	HAVANA,HAVANA,HAVANA
chr7	75189138	75189226	0.008415	12	2.78e-05	0.4118	GTF2IP1	GTF2IP1	HAVANA
chr10	114538625	114538649	0.04835	2	0.0541	1	ABLIM1	ABLIM1	HAVANA
chr7	1819453	1819516	0.01715	3	0.02655	1	MAD1L1,AC069288.1	MAD1L1,AC069288.1	HAVANA,HAVANA
chr9	127977559	127977647	0.0001875	5	1.277e-07	0.002435	FAM102A	FAM102A	HAVANA
chr5	142965357	142965489	0.03863	4	0.0005847	0.9994	ARHGAP26	ARHGAP26	HAVANA
chr1	84724660	84724802	0.01994	8	0.0001298	0.7847	.	.	.
chr10	484695	484946	1.771e-05	42	2.482e-08	0.0001661	DIP2C	DIP2C	HAVANA
chr17	511902	511955	0.02344	6	0.0001305	0.984	VPS53	AC015853.2,VPS53	HAVANA,HAVANA
chr3	5426333	5426391	0.01955	3	9.891e-05	0.943	.	.	.
chr8	98168423	98168614	0.0007844	23	3.08e-06	0.02673	.	.	.
chr4	1228050	1228153	0.01521	15	7.543e-05	0.7078	CTBP1	CTBP1	HAVANA
chr6	170445603	170445968	4.381e-06	25	3.552e-09	1.635e-05	.	.	.
chr3	42266374	42266470	0.02923	7	0.0002625	0.9899	AC018358.1	CCK,AC018358.1	HAVANA,HAVANA
chr10	3826245	3826363	0.0007979	13	7.61e-05	0.6615	.	.	.
chr2	203936855	203936856	0.04282	1	0.02091	1	ICOS	ICOS	HAVANA
chr6	3023693	3023826	0.0005831	7	1.001e-06	0.01257	NQO2,HTATSF1P2	NQO2,HTATSF1P2	HAVANA,HAVANA
chr5	139366584	139366586	0.04439	2	0.0003672	1	PAIP2,AC135457.1	PAIP2,AC135457.1,SLC23A1	HAVANA,HAVANA,HAVANA
chr12	130952467	130952492	0.04247	3	0.0003407	1	.	ADGRD1,AC073862.3	HAVANA,HAVANA
chr5	156326966	156327027	0.03082	5	0.000202	0.9962	SGCD	SGCD	HAVANA
chr18	45772289	45772358	0.02979	4	0.0001916	0.9906	.	.	.
chr12	2625164	2625165	0.03219	1	0.0001422	1	CACNA1C	CACNA1C	HAVANA
chr10	74854830	74854879	0.022	3	0.0001185	0.9828	KAT6B	KAT6B	HAVANA
chr6	30488030	30488171	0.002542	12	5.709e-06	0.06575	.	RANP1,HLA-E	HAVANA,HAVANA
chr16	2798408	2798528	0.01192	17	0.0001329	0.8444	PRSS41	SNORA3C,PRSS41	ENSEMBL,HAVANA
chr21	44976897	44976968	0.003825	5	8.464e-06	0.1815	FAM207A	FAM207A,AP001505.1	HAVANA,HAVANA
chr8	127993264	127993355	0.007817	5	5.668e-05	0.6488	PVT1	PVT1	HAVANA
chr17	73028276	73028358	7.281e-06	7	1.335e-09	2.736e-05	SLC39A11	SLC39A11	HAVANA
chr11	126406070	126406173	0.02731	7	0.000167	0.9344	ST3GAL4	ST3GAL4	HAVANA
chr18	8800226	8800317	1.507e-05	15	7.053e-08	0.001301	MTCL1	MTCL1,AP000864.1	HAVANA,HAVANA
chr16	84832495	84832604	0.001601	19	2.195e-05	0.287	AC025280.3,CRISPLD2	AC025280.3,CRISPLD2,AC025280.1	HAVANA,HAVANA,HAVANA
chr10	124999836	124999933	0.02995	6	0.0003278	0.9966	CTBP2,AL731571.1	CTBP2,AL731571.1	HAVANA,HAVANA
chr7	54757530	54757556	0.01742	3	8.376e-05	0.9955	SEC61G	SEC61G,AC074351.1	HAVANA,HAVANA
chr15	57533445	57533525	0.006796	4	2.004e-05	0.3435	CGNL1	CGNL1,AC025271.2	HAVANA,HAVANA
chr7	4729046	4729287	0.004315	21	1.624e-05	0.107	FOXK1	FOXK1,AC092428.1	HAVANA,HAVANA
chr10	21499206	21499274	0.02923	5	0.0001854	0.9897	.	MIR1915HG,MIR1915	HAVANA,ENSEMBL
chr17	77354815	77354950	0.0002466	12	3.936e-07	0.004885	SEPT9	SEPT9	HAVANA
chr8	12524013	12524015	0.04941	2	0.01289	1	AC068587.4	AC068587.4	HAVANA
chr6	33320784	33320824	0.02655	4	0.009589	1	DAXX	ZBTB22,DAXX,SMIM40,AL662820.1	HAVANA,HAVANA,HAVANA,HAVANA
chr2	66495820	66495893	0.03363	4	0.0002318	0.9952	MEIS1	MEIS1	HAVANA
chr10	44206437	44206565	1.695e-06	20	1.565e-08	0.0002054	.	.	.
chr17	65554625	65554711	0.04832	10	0.0004188	0.9997	AXIN2,AC004805.1	AXIN2,AC004805.1	HAVANA,HAVANA
chr10	133009819	133009874	0.02972	10	0.00221	1	.	.	.
chr7	139091880	139091979	7.027e-05	22	3.442e-08	0.0005838	ZC3HAV1	ZC3HAV1	HAVANA
chr12	8034574	8034649	0.01578	3	7.263e-05	0.8034	FOXJ2	FOXJ2	HAVANA
chr10	13930210	13930278	0.04168	5	0.0003302	0.9997	FRMD4A	FRMD4A	HAVANA
chr22	24948534	24948545	0.03768	2	0.003634	1	.	TMEM211,KIAA1671	HAVANA,HAVANA
chr13	46438082	46438305	5.365e-05	47	6.926e-07	0.005203	RUBCNL	RUBCNL,PPP1R2P4	HAVANA,HAVANA
chr7	29563431	29563533	0.005973	7	1.666e-05	0.24	AC007255.1	AC007255.1,PRR15	HAVANA,HAVANA
chr12	124391963	124391964	0.02287	1	0.5844	1	NCOR2	NCOR2	HAVANA
chr15	96321001	96321055	0.02436	7	0.006628	1	NR2F2-AS1	NR2F2-AS1,NR2F2	HAVANA,HAVANA
chr12	50925204	50925417	0.001314	8	4.786e-08	0.0003774	METTL7A	METTL7A	HAVANA
chr11	108474915	108474916	0.03813	1	0.0002833	1	POGLUT3	POGLUT3	HAVANA
chr16	2720374	2720376	0.0448	2	0.2066	1	PRSS27	PRSS27	HAVANA
chr7	47583842	47583873	0.02591	2	0.0001535	0.9998	.	TNS3	HAVANA
chr4	38070372	38070468	0.04415	11	0.0003639	0.9983	TBC1D1	TBC1D1	HAVANA
chr17	55422387	55422469	0.04823	3	0.0004175	0.9998	.	MMD	HAVANA
chr14	90739491	90739579	0.01203	3	0.0002139	0.9832	TTC7B	TTC7B	HAVANA
chr9	38319170	38319228	0.002009	10	3.457e-06	0.09528	.	.	.
chr1	71090236	71090299	0.01927	8	9.654e-05	0.9238	ZRANB2-AS2	ZRANB2-AS2	HAVANA
chr10	6088556	6088563	0.04601	3	0.008161	1	.	RBM17	HAVANA
chr5	178313037	178313139	0.02148	6	0.0001145	0.8483	COL23A1	COL23A1	HAVANA
chr16	67277750	67277803	0.02311	4	0.0001272	0.9822	PLEKHG4	PLEKHG4	HAVANA
chr3	78957566	78957567	0.04897	1	0.2586	1	ROBO1	ROBO1	HAVANA
chr7	149154128	149154179	0.03336	2	0.002382	1	ZNF398	ZNF398	HAVANA
chr16	85978493	85978495	0.0335	2	0.01023	1	AC092723.4	AC092723.4,AC092723.1	HAVANA,HAVANA
chr5	141772454	141772562	0.01074	6	0.000115	0.8327	AC005753.2	AC005753.2	HAVANA
chr12	65051331	65051430	0.001981	8	3.377e-06	0.05569	AC135895.1,WIF1	AC135895.1,WIF1	HAVANA,HAVANA
chr8	73328017	73328113	0.04004	6	0.0003078	0.9954	RDH10-AS1,AC111149.1	RDH10,RDH10-AS1,AC111149.1	HAVANA,HAVANA,HAVANA
chr2	241161796	241161892	0.004151	3	4.258e-05	0.5253	PPP1R7	PPP1R7	HAVANA
chr7	1946557	1946701	0.02112	18	0.0002791	0.9615	MAD1L1,AC069288.1	MAD1L1,AC069288.1	HAVANA,HAVANA
chr19	43802533	43802534	0.03906	1	0.2798	1	LYPD5	LYPD5	HAVANA
chr5	72014466	72014555	0.019	3	0.0001485	0.9394	.	.	.
chr20	13105052	13105140	0.02507	4	0.0001454	0.9376	SPTLC3	SPTLC3	HAVANA
chr4	980946	980958	0.02359	2	0.008434	1	DGKQ,SLC26A1	DGKQ,SLC26A1	HAVANA,HAVANA
chr5	123163374	123163462	0.02571	16	0.0001513	0.9443	PRDM6	PRDM6	HAVANA
chr15	40769784	40770004	3.324e-07	16	2.072e-10	1.582e-06	DNAJC17	GCHFR,DNAJC17,C15orf62	HAVANA,HAVANA,HAVANA
chr11	124172381	124172453	0.02571	6	0.02471	1	.	.	.
chr17	80456754	80456824	0.00425	8	9.954e-06	0.2125	.	AC120024.1	HAVANA
chr8	37546956	37547022	0.0249	3	0.0001437	0.9742	LINC01605	LINC01605	HAVANA
chr1	206588660	206588664	0.03256	3	0.008584	1	RASSF5,EIF2D	RASSF5,EIF2D	HAVANA,HAVANA
chr6	32815382	32815629	0.004291	4	2.651e-07	0.001801	HLA-DOB,AL669918.1	HLA-DOB,AL669918.1	HAVANA,HAVANA
chr3	146158121	146158122	0.02627	1	0.0001573	1	PLOD2	PLOD2	HAVANA
chr2	133317521	133317555	0.01447	4	0.0003882	1	NCKAP5	NCKAP5	HAVANA
chr8	120404942	120404944	0.04624	2	0.0003921	1	MRPL13	MRPL13	HAVANA
chr16	89658861	89658862	0.04533	1	0.036	1	SPATA33	CHMP1A,SPATA33	HAVANA,HAVANA
chr9	6955559	6955598	0.02972	5	0.0001904	0.9997	KDM4C,AL513412.1	KDM4C,AL513412.1	HAVANA,HAVANA
chr7	1568227	1568317	0.01466	7	0.0007423	1	PSMG3	PSMG3,PSMG3-AS1	HAVANA,HAVANA
chr11	130144039	130144041	0.02965	2	0.004472	1	APLP2	APLP2	HAVANA
chr12	57232499	57232562	0.002191	6	3.89e-06	0.09853	SHMT2	AC137834.2,SHMT2,NDUFA4L2	HAVANA,HAVANA,HAVANA
chr7	568889	568890	0.01696	1	0.0003551	1	PRKAR1B	PRKAR1B,AC147651.2	HAVANA,HAVANA
chr5	160193236	160193296	0.04504	8	0.0003776	1	FABP6	FABP6,AC008609.1	HAVANA,HAVANA
chr2	131802652	131802654	0.04921	2	0.01142	1	.	C2orf27B	HAVANA
chr10	12396732	12396799	0.009916	7	3.584e-05	0.5928	CAMK1D	CAMK1D	HAVANA
chr16	68406658	68406719	0.01719	8	0.0003114	0.9998	SMPD3	SMPD3	HAVANA
chr3	195625298	195625299	0.0493	1	0.0008453	1	.	.	.
chr3	196338418	196338459	0.02155	10	0.002489	1	TM4SF19	TM4SF19-TCTEX1D2,TM4SF19,RNU6-910P	HAVANA,HAVANA,ENSEMBL
chr17	82315775	82315962	0.001159	12	1.282e-05	0.1088	CD7	CD7	HAVANA
chr5	168992428	168992429	0.02817	1	0.01344	1	SLIT3	SLIT3,AC011389.2	HAVANA,HAVANA
chr13	43359945	43360032	0.001688	7	2.724e-06	0.05124	ENOX1	ENOX1	HAVANA
chr17	82840253	82840286	0.04333	6	0.2438	1	TBCD	TBCD,ZNF750	HAVANA,HAVANA
chr5	135040752	135040824	0.02463	12	0.002022	1	C5orf66	C5orf66,AC008406.3,C5orf66-AS1	HAVANA,HAVANA,HAVANA
