chrom	start	end	min_p	n_probes	z_p	z_sidak_p	genes	genes_flanking	genes_type
chr19	12873366	12873503	0.004528	36	6.99e-06	0.08048	MAST1	HOOK2,MAST1,DNASE2	HAVANA,HAVANA,HAVANA
chr5	107724699	107724790	0.004679	15	5.25e-06	0.09056	.	AC024587.1	HAVANA
chr14	24310801	24311189	0.0007404	12	2.3e-05	0.09282	CIDEB,LTB4R2	NOP9,CIDEB,LTB4R2,LTB4R	HAVANA,HAVANA,HAVANA,HAVANA
chr1	16535717	16535856	0.007184	18	8.34e-06	0.09398	LINC01783	LINC01783,RNU1-6P	HAVANA,ENSEMBL
chr12	63821798	63821914	0.005133	17	7.71e-06	0.1036	RXYLT1-AS1	RXYLT1-AS1,PABPC1P4	HAVANA,HAVANA
chr6	112367076	112367196	0.000625	24	8.29e-06	0.1073	FEM1AP3	KRT18P65,FEM1AP3	HAVANA,HAVANA
chr4	109046352	109046380	0.003805	3	1.96e-06	0.1085	COL25A1	COL25A1	HAVANA
chr8	673622	673690	0.02452	6	4.82e-06	0.1099	ERICH1	ERICH1	HAVANA
chr17	63437393	63437501	0.006633	19	8.29e-06	0.1186	CYB561	CYB561	HAVANA
chr11	1230952	1231043	0.004683	18	7e-06	0.1189	MUC5B	MUC5B	HAVANA
chr18	46963314	46963439	0.004528	18	1.04e-05	0.1282	KATNAL2,ELOA3	KATNAL2,ELOA3	HAVANA,HAVANA
chr8	12485147	12485184	0.004683	6	3.2e-06	0.1327	ENPP7P6,AC068587.4	ENPP7P6,AC068587.4	HAVANA,HAVANA
chr5	159096423	159096500	0.008559	5	6.91e-06	0.1372	EBF1	EBF1,LINC02202	HAVANA,HAVANA
chr9	97307680	97307825	0.002162	19	1.43e-05	0.1495	STRA6LP,CCDC180	STRA6LP,CCDC180	HAVANA,HAVANA
chr15	25597342	25597452	0.007146	15	1.16e-05	0.1593	.	.	.
chr3	196599300	196599391	0.004528	19	1.04e-05	0.171	AC092933.2	AC092933.2	HAVANA
chr2	74555912	74556002	0.003595	12	1.04e-05	0.1736	DOK1	LOXL3,DOK1,M1AP	HAVANA,HAVANA,HAVANA
chr1	201649160	201649265	0.001337	16	1.25e-05	0.1771	NAV1	NAV1	HAVANA
chr9	38488041	38488143	0.01051	22	1.32e-05	0.1913	AL390726.5,GAS2L1P1	AL390726.5,GAS2L1P1	HAVANA,HAVANA
chr10	122164355	122164505	0.01089	22	1.96e-05	0.1935	TACC2	TACC2	HAVANA
chr14	99215348	99215422	0.0131	12	1.01e-05	0.2003	BCL11B	BCL11B	HAVANA
chr6	125300538	125300616	0.01123	5	1.09e-05	0.2051	HDDC2	HDDC2	HAVANA
chr20	56468344	56468417	0.01098	9	1.03e-05	0.207	.	RTF2	HAVANA
chr11	130915630	130915700	0.005333	4	1e-05	0.2093	SNX19	SNX19	HAVANA
chr6	163972258	163972366	0.006633	12	1.57e-05	0.212	AL078602.1	AL078602.1	HAVANA
chr7	157291915	157291989	0.01067	6	1.09e-05	0.2144	.	.	.
chr18	46967089	46967261	0.01791	22	2.86e-05	0.2393	KATNAL2	KATNAL2,ELOA3,ELOA3C	HAVANA,HAVANA,HAVANA
chr19	523296	523401	0.007039	11	1.75e-05	0.2401	.	TPGS1	HAVANA
chr1	44721879	44721960	0.002511	4	1.38e-05	0.2442	ARMH1,RNU5F-1	ARMH1,RNU5F-1	HAVANA,ENSEMBL
chr15	70033866	70033968	0.006144	13	1.78e-05	0.2498	.	.	.
chr12	51721735	51721871	0.01171	31	2.59e-05	0.2693	SCN8A	SCN8A	HAVANA
chr19	58356822	58356927	0.008769	20	2.04e-05	0.273	AC012313.3,ZNF497	A1BG,AC012313.3,A1BG-AS1,ZNF497,AC012313.2	HAVANA,HAVANA,HAVANA,HAVANA,HAVANA
chr5	1857296	1857364	0.01368	5	1.45e-05	0.295	.	LINC02116,AC025183.4	HAVANA,HAVANA
chr17	20896067	20896159	0.003114	13	1.99e-05	0.2999	CCDC144NL,CCDC144NL-AS1	CCDC144NL,CCDC144NL-AS1,RNU6-1178P	HAVANA,HAVANA,ENSEMBL
chr1	217133402	217133464	0.009346	12	1.38e-05	0.3068	ESRRG	ESRRG	HAVANA
chr8	144416718	144416805	0.003271	14	1.95e-05	0.3081	SLC39A4	SLC39A4	HAVANA
chr5	141374341	141374439	0.0009809	14	2.22e-05	0.3107	PCDHGA1,PCDHGA2,PCDHGA3,PCDHGB1,PCDHGA4,PCDHGB2,PCDHGA5,PCDHGB3,PCDHGA6	PCDHGA1,PCDHGA2,PCDHGA3,PCDHGB1,PCDHGA4,PCDHGB2,PCDHGA5,PCDHGB3,PCDHGA6	HAVANA,HAVANA,HAVANA,HAVANA,HAVANA,HAVANA,HAVANA,HAVANA,HAVANA
chr13	22927245	22927329	0.001471	12	1.93e-05	0.3142	.	AL157931.1,AL157931.2	HAVANA,HAVANA
chr16	88437774	88437892	0.00749	12	2.82e-05	0.3251	ZNF469	ZNF469	HAVANA
chr5	138875382	138875468	0.003945	10	2.08e-05	0.3286	CTNNA1	CTNNA1,LRRTM2	HAVANA,HAVANA
chr1	234356739	234356792	0.02676	12	1.3e-05	0.3322	AL355472.1	AL355472.1,AL355472.2	HAVANA,HAVANA
chr16	2798408	2798528	0.008714	17	2.95e-05	0.3328	PRSS41	SNORA3C,PRSS41	ENSEMBL,HAVANA
chr11	122977180	122977181	0.0008614	1	2.53e-07	0.3403	.	BSX	HAVANA
chr16	30012164	30012299	0.0065	6	3.54e-05	0.3501	DOC2A	DOC2A	HAVANA
chr6	150849592	150849638	0.01237	7	1.25e-05	0.361	.	.	.
chr16	56625872	56625897	0.009139	4	7.65e-06	0.3955	MT1E	MT1E	HAVANA
chr5	159207189	159207190	0.0009809	1	3.06e-07	0.3958	RNF145	RNF145,AC134043.1	HAVANA,HAVANA
chr1	107480744	107480821	0.005966	18	2.62e-05	0.4281	NTNG1	NTNG1	HAVANA
chr2	91590089	91590120	0.01108	5	1.06e-05	0.4301	AC116050.1	AC116050.1	HAVANA
chr7	123763667	123763707	0.032	7	1.39e-05	0.4354	.	.	.
chr4	128553460	128553554	0.00717	9	3.32e-05	0.4405	.	AC110609.1	HAVANA
chr20	46210317	46210400	0.02013	10	2.96e-05	0.4439	CDH22	CDH22	HAVANA
chr2	197255731	197255806	0.004142	8	2.71e-05	0.4485	ANKRD44,ANKRD44-IT1	ANKRD44,ANKRD44-IT1	HAVANA,HAVANA
chr1	112705619	112705686	0.02151	3	2.73e-05	0.4881	RHOC,AL603832.3	MOV10,RHOC,AL603832.3,PPM1J	HAVANA,HAVANA,HAVANA,HAVANA
chr18	30175237	30175346	0.01327	10	4.54e-05	0.4957	.	.	.
chr18	47031342	47031394	0.007904	10	2.21e-05	0.5031	KATNAL2	KATNAL2,ELOA3D,ELOA2	HAVANA,HAVANA,HAVANA
chr14	103718814	103718896	0.01908	6	3.56e-05	0.5102	ZFYVE21	KLC1,XRCC3,ZFYVE21	HAVANA,HAVANA,HAVANA
chr11	504873	504970	0.02791	20	4.23e-05	0.5121	RNH1	RNH1	HAVANA
chr3	48656971	48657051	0.00516	23	3.58e-05	0.5206	CELSR3	CELSR3	HAVANA
chr17	77285969	77286040	0.009346	5	3.42e-05	0.5468	SEPT9	AC068594.1,SEPT9	HAVANA,HAVANA
chr17	42040035	42040130	0.003175	15	5.01e-05	0.5796	ZNF385C,C17orf113	ZNF385C,C17orf113	HAVANA,HAVANA
chr2	74344087	74344117	0.01467	2	1.58e-05	0.5797	AC006030.1	AC006030.1,SLC4A5	HAVANA,HAVANA
chr11	3516162	3516225	0.0183	16	3.39e-05	0.5869	AC127526.1,AC127526.2,AC127526.4	AC127526.1,AC127526.2,AC127526.4	HAVANA,HAVANA,HAVANA
chr5	178165780	178165868	0.01354	20	4.95e-05	0.6033	AC136632.2	AC136632.2	HAVANA
chr17	81285402	81285555	0.002195	7	8.65e-05	0.6053	SLC38A10	SLC38A10	HAVANA
chr22	23895101	23895178	0.01066	9	4.38e-05	0.6073	AP000350.4,MIF,MIF-AS1	AP000350.4,MIF,MIF-AS1	HAVANA,HAVANA,HAVANA
chr4	154740606	154740686	0.008587	16	4.68e-05	0.6178	LRAT	LRAT	HAVANA
chr20	37520651	37520721	0.006509	14	4.1e-05	0.618	BLCAP	BLCAP,NNAT	HAVANA,HAVANA
chr19	19537497	19537558	0.02581	10	3.63e-05	0.6245	YJEFN3	AC011448.1,YJEFN3,CILP2	HAVANA,HAVANA,HAVANA
chr11	59102029	59102064	0.01826	5	2.14e-05	0.6347	.	.	.
chr5	159095399	159095502	0.01128	14	6.36e-05	0.6377	EBF1	EBF1,LINC02202	HAVANA,HAVANA
chr10	74257264	74257342	0.032	3	4.88e-05	0.6422	ADK	ADK	HAVANA
chr1	17010817	17010863	0.02248	5	2.9e-05	0.6456	ATP13A2	ATP13A2	HAVANA
chr1	21944258	21944331	0.03199	2	4.86e-05	0.6651	.	.	.
chr16	1531052	1531130	0.01058	17	5.37e-05	0.6778	IFT140,TMEM204,AL031719.1	IFT140,TMEM204,AL031719.1	HAVANA,HAVANA,HAVANA
chr14	93956838	93956847	0.00796	3	6.33e-06	0.6852	ASB2	ASB2	HAVANA
chr17	48554712	48554821	0.01334	10	8.42e-05	0.7192	HOXB3,HOXB-AS3	HOXB-AS1,HOXB3,HOXB-AS3,HOXB-AS2	HAVANA,HAVANA,HAVANA,HAVANA
chr7	226540	226614	0.00233	6	5.72e-05	0.7193	FAM20C	FAM20C,AC145676.1	HAVANA,HAVANA
chr1	15837575	15837616	0.00877	12	3.22e-05	0.725	AL450998.2	AL450998.2	HAVANA
chr1	143667528	143667610	0.03866	15	6.49e-05	0.7277	.	.	.
chr11	35525250	35525299	0.02791	6	4.02e-05	0.7406	PAMR1	PAMR1	HAVANA
chr11	2700072	2700154	0.002318	12	6.86e-05	0.7472	KCNQ1	KCNQ1,KCNQ1OT1,RF01950	HAVANA,HAVANA,ENSEMBL
chr5	14440965	14441075	0.02456	14	9.37e-05	0.7536	TRIO	TRIO	HAVANA
chr22	50314584	50314673	0.007098	8	7.82e-05	0.7644	DENND6B,CR559946.1	DENND6B,CR559946.1,CR559946.2	HAVANA,HAVANA,HAVANA
chr6	1200782	1200863	0.0181	16	7.33e-05	0.7743	.	.	.
chr13	45391207	45391282	0.01108	22	6.93e-05	0.7811	TPT1-AS1,RCN1P2	TPT1-AS1,RCN1P2,SLC25A30	HAVANA,HAVANA,HAVANA
chr3	85134087	85134167	0.01113	12	7.52e-05	0.7868	CADM2	CADM2	HAVANA
chr17	45241205	45241261	0.01103	8	5.37e-05	0.7935	FMNL1,AC008105.1	FMNL1,AC008105.1,AC008105.2	HAVANA,HAVANA,HAVANA
chr19	40624081	40624175	0.004398	12	9.23e-05	0.8009	LTBP4	LTBP4	HAVANA
chr12	55935512	55935564	0.02456	8	5.17e-05	0.8052	DGKA	PYM1,DGKA	HAVANA,HAVANA
chr12	54052235	54052318	0.04139	8	8.49e-05	0.8139	HOXC4	HOXC4	HAVANA
chr14	67799061	67799132	0.02552	4	7.32e-05	0.8163	ZFYVE26,AL049779.2	ZFYVE26,AL049779.2	HAVANA,HAVANA
chr2	232352226	232352368	0.0193	8	0.0001485	0.8208	.	ECEL1P3	HAVANA
chr1	121010255	121010330	0.01567	14	8e-05	0.8268	AC241377.2	LINC00623,AC241377.2,RF00003	HAVANA,HAVANA,ENSEMBL
chr12	54078222	54078291	0.03401	6	7.4e-05	0.8287	AC023794.1,AC023794.4	AC023794.1,AC023794.4,AC023794.3	HAVANA,HAVANA,HAVANA
chr11	281627	281700	0.008918	9	7.93e-05	0.8323	NLRP6	NLRP6	HAVANA
chr11	119116057	119116163	0.00723	8	0.0001219	0.8491	C2CD2L	C2CD2L	HAVANA
chr3	124791802	124791832	0.02552	6	3.55e-05	0.8568	ITGB5,AC022336.3	ITGB5,ITGB5-AS1,AC022336.3,RF00100	HAVANA,HAVANA,HAVANA,ENSEMBL
chr5	179765521	179765580	0.03091	3	7.17e-05	0.8645	MAML1	MAML1	HAVANA
chr16	1510773	1510827	0.03501	9	6.69e-05	0.8697	IFT140	TELO2,IFT140,AL031705.1	HAVANA,HAVANA,HAVANA
chr6	117547865	117547968	6.29e-05	9	0.000132	0.8785	AL132671.2,DCBLD1	AL132671.2,DCBLD1	HAVANA,HAVANA
chr13	100521342	100521447	0.01323	17	0.0001365	0.8821	PCCA	PCCA	HAVANA
chr2	138671117	138671118	0.002774	1	1.3e-06	0.8829	NXPH2	NXPH2	HAVANA
chr8	143297030	143297068	0.03237	4	4.99e-05	0.8848	ZNF696	ZNF696	HAVANA
chr18	12093791	12093843	0.04144	7	7.14e-05	0.8953	.	AP002414.3,ANKRD62,RNU6-324P	HAVANA,HAVANA,ENSEMBL
chr20	62875629	62875698	0.01734	11	9.51e-05	0.8964	.	ARF4P2,DIDO1	HAVANA,HAVANA
chr6	165572949	165572957	0.01155	4	1.14e-05	0.9037	PDE10A	PDE10A	HAVANA
chr3	13042477	13042528	0.01203	5	7.42e-05	0.9087	IQSEC1	IQSEC1	HAVANA
chr22	46053847	46053896	0.04279	7	7.58e-05	0.9214	PRR34,PRR34-AS1,MIRLET7BHG	PRR34,AL121672.3,PRR34-AS1,MIRLET7BHG,AL121672.1	HAVANA,HAVANA,HAVANA,HAVANA,HAVANA
chr14	64913859	64913910	0.04561	4	8.31e-05	0.9315	.	RPPH1-2P,CHURC1,CHURC1-FNTB	ENSEMBL,HAVANA,HAVANA
chr2	25915743	25915792	0.03777	14	8.34e-05	0.9391	.	.	.
chr10	132965316	132965433	0.01339	7	2e-04	0.9399	.	LINC01166,LINC01167,LINC01168	HAVANA,HAVANA,HAVANA
chr2	176132979	176133023	0.0434	6	7.72e-05	0.9442	HOXD-AS2	HOXD-AS2,HOXD8,HOXD3	HAVANA,HAVANA,HAVANA
chr7	129859358	129859395	0.04164	2	7.2e-05	0.9592	UBE2H	UBE2H	HAVANA
chr7	6849858	6849859	0.003961	1	2.06e-06	0.9663	.	.	.
chr19	1496349	1496406	0.02867	8	0.0001228	0.9711	REEP6	REEP6	HAVANA
chr8	117811893	117811906	0.0222	3	2.84e-05	0.9724	EXT1	EXT1	HAVANA
chr18	46964992	46965070	0.0105	3	0.0001746	0.9748	KATNAL2	KATNAL2,ELOA3,ELOA3C	HAVANA,HAVANA,HAVANA
chr6	71421314	71421349	0.03503	8	8.22e-05	0.979	.	AL136164.2,LINC00472	HAVANA,HAVANA
chr14	101233724	101233755	0.04359	2	7.78e-05	0.9839	.	.	.
chr6	7468809	7468812	0.04605	2	7.72e-06	0.9855	.	.	.
chr10	63628809	63628846	0.04996	5	9.53e-05	0.9856	.	REEP3,AC022387.2	HAVANA,HAVANA
chr7	40834354	40834355	0.004542	1	2.61e-06	0.9864	SUGCT	SUGCT	HAVANA
chr2	86134882	86134884	0.007184	2	5.3e-06	0.9871	PTCD3	PTCD3,SNORD94	HAVANA,ENSEMBL
chr21	42108604	42108646	0.02327	10	0.0001168	0.9897	UMODL1	UMODL1,UMODL1-AS1	HAVANA,HAVANA
chr2	39438045	39438056	0.02344	4	3.08e-05	0.99	MAP4K3-DT	MAP4K3,MAP4K3-DT	HAVANA,HAVANA
chr8	143991204	143991212	0.02064	3	2.55e-05	0.9947	PARP10,GRINA	PARP10,GRINA	HAVANA,HAVANA
chr4	11368729	11368806	0.007847	9	0.0002587	0.996	.	MIR572,RNPS1P1	ENSEMBL,HAVANA
chr20	56625304	56625426	0.02385	16	0.0004252	0.9968	.	TFAP2C	HAVANA
chr15	47812930	47812954	0.04641	6	8.58e-05	0.9972	LINC01491,AC092078.2	LINC01491,AC092078.2	HAVANA,HAVANA
chr15	100902564	100902635	0.01791	6	0.000255	0.9973	ALDH1A3,AC015712.2	ALDH1A3,AC015712.2	HAVANA,HAVANA
chr6	27146675	27146756	0.02647	16	0.0003819	0.9996	HIST1H2BK	HIST1H2BK,HIST1H2AH,MIR3143	HAVANA,HAVANA,ENSEMBL
chr2	199603979	199604030	0.02396	7	0.0002415	0.9996	.	LINC01877	HAVANA
chr20	41315785	41315786	0.01805	1	2.1e-05	1	ZHX3	ZHX3	HAVANA
chr16	84390365	84390389	0.02969	4	0.00707	1	ATP2C2	ATP2C2	HAVANA
chr7	768344	768378	0.008668	3	0.0005895	1	DNAAF5	DNAAF5	HAVANA
chr11	131663293	131663307	0.03642	3	0.0003994	1	NTM,NTM-AS1	NTM,NTM-AS1	HAVANA,HAVANA
chr2	172108023	172108030	0.04237	4	0.0001197	1	DLX2-DT	DLX2-DT	HAVANA
chr8	23714146	23714212	0.01623	4	0.000797	1	AC012574.1,AC012574.2	AC012574.1,AC012574.2	HAVANA,HAVANA
chr7	1513403	1513406	0.02973	2	0.022	1	.	AC093734.1	HAVANA
chr19	35759144	35759146	0.001094	2	0.1463	1	PROSER3	AD000671.1,LIN37,AC002398.2,HSPB6,PROSER3	HAVANA,HAVANA,HAVANA,HAVANA,HAVANA
chr19	49719834	49719836	0.03545	2	0.01117	1	AC011495.1	AC011495.1	HAVANA
chr10	132503168	132503223	0.02898	5	0.01645	1	.	.	.
chr1	16648421	16648450	0.03195	5	0.1052	1	CROCCP2,MST1P2	CROCCP2,MST1P2	HAVANA,HAVANA
chr10	65053938	65053978	0.01266	6	0.0007979	1	.	NEK4P3	HAVANA
chr13	24932071	24932141	0.006378	13	0.0004579	1	TPTE2P1	TPTE2P1,AL354798.1	HAVANA,HAVANA
chr6	28693634	28693635	0.02122	1	0.0005834	1	.	.	.
chr12	9876281	9876340	0.006633	10	0.001581	1	.	.	.
chr19	6768240	6768296	0.01997	2	0.0007574	1	.	SH2D3A,VAV1	HAVANA,HAVANA
chr1	148246550	148246555	0.04742	2	0.00672	1	AC239809.3,AC239809.2	AC239809.3,AC239809.2	HAVANA,HAVANA
chr2	8359922	8359923	0.02289	1	0.1548	1	LINC00299	LINC00299	HAVANA
chr14	67056985	67056986	0.03887	1	0.6037	1	GPHN	GPHN	HAVANA
chr3	112185777	112185813	0.02457	5	0.001804	1	SLC9C1,AC128688.1	SLC9C1,AC128688.1	HAVANA,HAVANA
chr11	117989543	117989574	0.02419	4	0.00586	1	IL10RA	IL10RA	HAVANA
chr12	6132708	6132728	0.04378	8	0.00377	1	.	.	.
chr19	45091144	45091145	0.03762	1	0.00286	1	GEMIN7-AS1,GEMIN7,MARK4	GEMIN7-AS1,GEMIN7,MARK4,PPP1R37	HAVANA,HAVANA,HAVANA,HAVANA
chr19	4945129	4945138	0.02373	2	0.000528	1	UHRF1	UHRF1	HAVANA
chr17	81992185	81992211	0.01568	2	0.002783	1	ASPSCR1	ASPSCR1	HAVANA
chr12	3839236	3839246	0.03823	3	0.005865	1	PARP11	PARP11,OTUD4P1	HAVANA,HAVANA
chr9	133358845	133358846	0.03167	1	0.01257	1	SURF2	SURF1,SURF2,SURF4	HAVANA,HAVANA,HAVANA
chr7	151567568	151567569	0.02791	1	0.01757	1	PRKAG2	PRKAG2	HAVANA
chr7	2607405	2607407	0.03033	2	0.0006339	1	IQCE	IQCE	HAVANA
chr5	141223784	141223803	0.02216	2	0.0001652	1	AC244517.11,PCDHB14,AC244517.10	AC244517.11,PCDHB13,PCDHB14,AC244517.10	HAVANA,HAVANA,HAVANA,HAVANA
chr2	112622191	112622192	0.04378	1	0.01191	1	.	AC079922.1	HAVANA
chr19	56839880	56839918	0.03886	3	0.02199	1	ZIM2,PEG3	ZIM2,PEG3,MIMT1	HAVANA,HAVANA,HAVANA
chr4	183014035	183014064	0.03952	4	0.0005242	1	.	AC019193.4	HAVANA
chr15	28789493	28789534	0.0231	5	0.008713	1	AC055876.1	AC055876.1,AC055876.3,PDCD6IPP2	HAVANA,HAVANA,HAVANA
