methyl	methyl.p	arm2.p	arm3.p	BMI.p	age.p	expose.p	PC1.p	methyl.beta	arm2.beta	arm3.beta	BMI.beta	age.beta	expose.beta	PC1.beta	NAs	outliers	total.NAs	zeros	non.zeros	ones	non.ones	diff.miss	ME	genes	genes_flanking	genes_type	methyl.fdr
chr1.116986849	1.58030810854084e-05	0.421448877972094	0.126411862650836	0.465385899031545	0.0442708523885928	0.0164228227537983	0.0179174469956718	2.7469011595153	-0.146091033311776	-0.292938587649741	-0.0145903102957015	0.0319010651108055	-0.401695376176356	2.16060257831453	15	0	15	0	68	8	60	0.376137937995856	.	PTGFRN	PTGFRN	HAVANA	0.150891578642487
chr1.156248218	1.89902341260149e-05	0.865615574075576	0.935770128015298	0.322924985659904	0.0276080730592613	0.101887321184757	0.000600128601873723	-4.7950268840353	-0.0297351745745943	0.0138197915050161	-0.0182423761903287	0.0334494154964474	-0.261346487223791	2.76230878817177	0	2	2	11	70	0	81	0.206288568909783	.	.	PMF1-BGLAP,BGLAP,PAQR6,SMG5	HAVANA,HAVANA,HAVANA,HAVANA	0.151920511935905
chr1.246200418	2.43279386904762e-05	0.97703064193367	0.790059083871539	0.229135926257972	0.0436304438043448	0.00968888517028751	0.000940192817107306	5.3078159145855	0.00558199395157273	-0.0521517830774115	-0.0234535403534174	0.0331419291962799	-0.431041599125501	2.82883630009622	0	7	7	0	76	5	71	0.0149668251157246	.	SMYD3	SMYD3	HAVANA	0.161340012436237
chr1.218383719	4.45834283372136e-05	0.311495249177609	0.805543452067262	0.83547399945095	0.222174367738565	0.00512971958855136	0.0106049818813239	3.3524797490238	-0.195045738472725	-0.0476728031304576	0.0045243144769495	0.0205664587382604	-0.477583675967148	2.33666302354977	15	0	15	0	68	19	49	0.93638278705122	.	TGFB2	TGFB2	HAVANA	0.175926068727191
chr1.1069637	0.000120375355019257	0.562156691338944	0.33449290278627	0.149416119239908	0.00635968715834794	0.00219637440507031	0.0188551583307354	-9.29546252609221	0.112556334331048	-0.18721426056113	-0.0284492623035515	0.0450819462910993	-0.533146519285921	2.19130725875452	14	0	14	37	32	0	69	0.160606345621213	.	.	AL390719.1,RNF223	HAVANA,HAVANA	0.202649122338553
chr1.160945171	4.0004229046776e-05	0.77825877967667	0.499482509793429	0.0703522884351968	0.0121904873472484	0.0178722525056804	0.0144114324772095	2.89735933396858	-0.0509967829426196	-0.127382970713671	-0.0351713876205119	0.0404699565033759	-0.383492947478667	2.06793603584173	4	0	4	0	79	5	74	0.210299735527475	.	AL354714.1,ITLN2	AL354714.1,ITLN2	HAVANA,HAVANA	0.174018122461361
chr1.245363786	6.24741506992583e-05	0.0689817597817831	0.153806895675413	0.249437772168372	0.0138645415237391	0.0413698767920003	0.0001845965447008	2.17449391788548	-0.331176570779501	-0.26125050125476	-0.0215890477619421	0.0377370157471469	-0.316816905326982	3.21537669001929	0	2	2	0	81	1	80	0.999999999999975	.	KIF26B	KIF26B	HAVANA	0.180498091393139
chr1.204997099	1.44864064331015e-05	0.250411096415942	0.419963525747742	0.211574275343126	0.0297259966964555	0.0501907104339229	0.00158828508481897	2.01001948813931	-0.202478731584033	-0.143437026703738	-0.0229939132332061	0.0333200149044389	-0.304438028698152	2.5472555502519	0	0	0	0	83	0	83	1	.	NFASC	NFASC	HAVANA	0.149103322323107
chr1.245607777	3.7655271065141e-05	0.687472091804493	0.462046887863407	0.153570729520805	0.095284898178531	0.00439355543655461	0.00723355209577202	-2.19754511010919	0.0790732269307648	-0.14455507837566	-0.0282457412459187	0.0277234347790063	-0.499688187618566	2.56220940359692	15	0	15	0	68	0	68	0.724325410555107	.	KIF26B	KIF26B	HAVANA	0.171903679874501
chr1.20411237	7.70565635401495e-05	0.332484636556832	0.592964280910139	0.0862216294062347	0.11718307573152	0.0918144085061866	0.0140656467820853	1.88308803822472	-0.188199662745012	-0.105933228722528	-0.0339399815423398	0.0258800615193729	-0.295973121096106	2.25638434602778	12	0	12	0	71	2	69	0.79858095342848	.	LINC01141	LINC01141,AL139254.1	HAVANA,HAVANA	0.187318038121407
chr1.215005874	9.16047413387447e-05	0.245804382052978	0.340432148442602	0.0722309195714923	0.0564303717843018	0.0052920778247192	0.0123473034649844	2.144454057418	-0.215870258653329	-0.180049438724518	-0.0351853517819284	0.0302659881679551	-0.450873178390987	2.06924727793222	1	1	2	0	81	7	74	0.32559506317954	.	KCNK2	KCNK2	HAVANA	0.189882742993435
chr1.7941193	6.17711057995508e-05	0.422230307468848	0.388195756843937	0.567977619089464	0.0385074556180403	0.00313019230410767	0.00224011984922915	5.74500765887912	-0.161394864189882	-0.175507484292959	-0.0120096596710045	0.0354667563351757	-0.514514405710461	2.67797366303211	0	10	10	0	73	6	67	0.0694165970794187	.	TNFRSF9	TNFRSF9,AL009183.1	HAVANA,HAVANA	0.180498091393139
chr1.202193022	8.04228187553584e-05	0.383302221365804	0.638198462850195	0.0968581994117569	0.0145258532258576	0.00321286478223032	0.00198861773823751	-21.7536113514149	-0.157657397816058	-0.0850329046067502	-0.0315651283195917	0.038952364977094	-0.470126202945395	2.56269035441948	0	1	1	50	32	0	82	0.65060240963856	.	.	PTPRVP,LGR6	HAVANA,HAVANA	0.18743336442522
chr1.3403895	0.000104616408919282	0.312160048227429	0.217568127499701	0.244587517602231	0.069559302178504	0.0104657331596044	0.0462348436952786	1.75344065461371	-0.190941046578428	-0.236517097252324	-0.0220736034697703	0.0289783745847628	-0.423574259810095	1.80785792429692	6	0	6	0	77	1	76	0.683988811063932	.	PRDM16	PRDM16	HAVANA	0.196815021162021
chr1.6471140	9.03466451091685e-05	0.515134365178992	0.86882439003277	0.157759100092462	0.00976965479846852	0.00680823920947849	0.0120251732044407	-2.99500458879688	0.127431995156767	0.0323140969742056	-0.0277621510564046	0.0431633168024087	-0.48759876086994	2.33441853546594	11	1	12	10	61	0	71	0.399074021440215	.	PLEKHG5	TNFRSF25,PLEKHG5	HAVANA,HAVANA	0.189627869644506
chr1.36393710	3.32632058615106e-06	0.782161896315296	0.415913310407231	0.0349150414677843	0.032867297655636	8.52952999815667e-05	0.000842332303302166	6.43417954368825	-0.0478209091669177	0.143102920582613	-0.0388870728831221	0.0322607576996479	-0.635186102688348	2.68066890810856	1	0	1	0	82	21	61	0.65060240963856	.	LSM10	LSM10	HAVANA	0.124105022256462
chr1.99969657	1.16461671840753e-05	0.669550450128941	0.64049298593302	0.108949150114839	0.00456905920077078	0.0025810385335692	0.000890568312263303	-13.4891166765842	-0.0740902104694888	-0.0809986000083428	-0.0307760798690926	0.0443574298004163	-0.464445367548094	3.00335639985887	0	2	2	45	36	0	81	0.206288568909783	.	AC118553.1,SLC35A3	AC118553.1,SLC35A3,AC118553.2	HAVANA,HAVANA,HAVANA	0.144389801343304
chr1.1293695	2.10477327765672e-05	0.856852810491152	0.790032970955657	0.389232779643281	0.0184893715376174	0.00954083099435294	0.00186768139613773	2.50082517551551	-0.0324059999636571	0.0497359951863169	-0.0164758697540587	0.037045101176645	-0.418549536355513	2.60173890254976	6	0	6	0	77	7	70	0.237641210101282	.	ACAP3	SCNN1D,ACAP3,MIR6726	HAVANA,HAVANA,ENSEMBL	0.152501939492513
chr1.113975413	8.63369992389253e-05	0.576999813170975	0.575380917067255	0.276182446448701	0.0580067756621961	0.0012530704714487	0.000658043321010202	-2.91539191475234	-0.101225223929473	-0.102518159275976	-0.0208207143072435	0.0298247794651438	-0.534938583719822	2.86909015799321	3	0	3	10	70	0	80	0.999999999999993	.	HIPK1	HIPK1,OLFML3	HAVANA,HAVANA	0.18900289620935
chr1.223080873	0.000114433190554536	0.573236056544731	0.887900610977638	0.0593173159410583	0.00582849028630254	0.0032804156566452	0.0038620041547388	-6.90130845863928	-0.100515998106141	-0.0253589812901577	-0.0360129212357415	0.0437792437158687	-0.467540117436281	2.37695238508915	0	0	0	0	83	27	56	1	.	.	.	.	0.200647849128872
chr1.3423623	3.90059634174759e-05	0.834351735474869	0.832002896960224	0.392824031879114	0.000471662243807458	0.0389303331466877	0.000113331001783336	-3.4294452214116	0.0403195649201705	0.0421821220839436	-0.016707756064683	0.0620788258190746	-0.343056523793372	3.52199147853524	16	1	17	11	55	0	66	0.0872898179898757	.	PRDM16	PRDM16	HAVANA	0.173795156838275
chr1.39387783	8.89180073558461e-05	0.211891444283656	0.442125532189383	0.409817087247286	0.092888567038663	0.044695345642316	0.0580046745744679	2.02454260047071	-0.230584379053781	-0.143424731550786	-0.0159953596182902	0.0269130206085667	-0.322494716937055	1.73547919067968	3	0	3	0	80	1	79	0.999999999999993	.	MACF1	MACF1	HAVANA	0.189293832741352
chr1.1728321	2.09502172721796e-05	0.144856065785778	0.336678759301111	0.124815234809974	0.459307140276371	0.0143266645688219	0.00247316260098766	2.21367653060425	-0.263695192385788	-0.174772519313403	-0.0285919758348105	0.0121464713117362	-0.381895183352895	2.45652656409252	1	0	1	0	82	3	79	0.65060240963856	.	AL031282.2,AL031282.1,SLC35E2A	CDK11A,AL031282.2,AL031282.1,SLC35E2A	HAVANA,HAVANA,HAVANA,HAVANA	0.152501939492513
chr1.3423609	3.57890623551781e-06	0.913839019734773	0.740191575799536	0.661060345426763	0.00765885670807906	0.0383685932882349	6.6005258279914e-05	-2.96920201359487	0.018814592765047	0.0617551792516161	-0.00833174037121058	0.0431757803807324	-0.326180549408561	3.43729714078669	10	0	10	7	66	0	73	0.114075628388354	.	PRDM16	PRDM16	HAVANA	0.124105022256462
chr1.42818192	3.41837495518444e-05	0.252224190995082	0.881702007648195	0.41170221571826	0.0681329878830251	0.00979772258179755	0.000292856518065432	9.98144139055464	-0.204796909285341	-0.0265860760207943	-0.0156623933712233	0.0284774841595548	-0.406039537791304	3.04482068281261	0	1	1	0	82	30	52	0.65060240963856	.	ERMAP	TMEM269,SVBP,ERMAP	HAVANA,HAVANA,HAVANA	0.170387530262477
chr1.225484253	8.36134345383742e-05	0.0581200256826569	0.242994104560088	0.0643157357829245	0.0200178980597566	0.03053735995351	0.00242833361851627	2.08552946843347	-0.365085369356879	-0.218940722984458	-0.0356089106714952	0.0365942169494008	-0.345726852647347	2.50305660468425	1	0	1	0	82	0	82	0.65060240963856	.	.	ENAH	HAVANA	0.188812397875814
chr1.3071097	1.08605069117617e-05	0.54272255633122	0.274285602772338	0.126600652574518	0.0147789919202339	0.00641209622656829	0.00329541271470409	-14.5560135769288	-0.116599427080984	-0.209326906612445	-0.0301018807137482	0.0397448173263007	-0.448309534437481	2.54042141002292	0	10	10	50	23	0	73	0.0694165970794187	.	PRDM16	PRDM16-DT,PRDM16	HAVANA,HAVANA	0.14433214150678
chr1.6881398	2.58899453772422e-05	0.515584633811462	0.339769324377551	0.0879724734628029	0.010107563030993	0.00211345930551036	0.00112399916393771	4.94335903491659	-0.114071017352447	-0.170495718920816	-0.031676568513463	0.0396584353076458	-0.484268157641016	2.62392640421511	2	0	2	0	81	6	75	0.539817807816624	.	CAMTA1	CAMTA1	HAVANA	0.162633642764902
chr1.1721626	0.000119845400288028	0.8202023756744	0.858498611579638	0.360243099765174	0.00719407684347359	0.0182125384320102	0.00869558382180493	3.91355499866843	0.0466226147952406	0.0353894835681371	-0.0192962952968918	0.0459675427065708	-0.420656881825555	2.30227265130032	13	0	13	0	70	12	58	0.803616429592791	.	CDK11A,AL031282.2	CDK11A,AL031282.2,AL031282.1,SLC35E2A	HAVANA,HAVANA,HAVANA,HAVANA	0.20252703131189
chr1.63074024	8.95065985342099e-05	0.932292202704914	0.661476333682087	0.581307992466397	0.167889317071763	0.0123439348509639	0.00239841806946008	-18.0406111875725	-0.0165912210894495	-0.0867918454471549	-0.0110011985572591	0.0235629086339729	-0.423118640772414	2.58369835103472	0	9	9	56	18	0	74	0.135379507188981	.	.	AL162400.2	HAVANA	0.189293832741352
chr1.35577411	4.14372309894837e-05	0.944386237892664	0.764921564581636	0.182835290036082	0.0283517317567833	0.00707000548449588	0.0262300593368494	-12.5492169262804	-0.0140530061483315	-0.0600176479727884	-0.0283158099740217	0.0376894283350905	-0.465716040641099	1.94877582246434	2	9	11	46	26	0	72	0.0715985000256735	.	AC004865.2,TFAP2E	AC004865.2,TFAP2E	HAVANA,HAVANA	0.174018122461361
chr1.2290823	0.000103347843791658	0.428330780823038	0.521291139806371	0.568967301939332	0.0352082033361069	0.00699324023110494	0.000635739902180812	1.9322606738365	-0.145082954580374	-0.117843784024999	-0.0110815126537585	0.0334357446211442	-0.43531563012557	2.87922640294732	1	1	2	0	81	1	80	0.999999999999975	.	SKI	SKI	HAVANA	0.196630334217404
chr1.243488693	3.71032948934026e-05	0.923227690190674	0.762870354097986	0.378640219932625	0.0630022314074954	0.0215686883286934	0.091862776879662	3.02893244818625	-0.0180608462986939	-0.0553632740260913	-0.0166899560315849	0.0294926155166077	-0.377637210745345	1.8108437691871	10	1	11	0	72	5	67	1	.	SDCCAG8,AKT3	SDCCAG8,AKT3	HAVANA,HAVANA	0.171903679874501
chr1.54353045	9.58376308147945e-05	0.549912411815006	0.727613141640481	0.812063188826291	0.0264167333193042	0.0167324879058226	0.00400717434362388	2.02383003179026	0.119598616911825	0.0712543235881056	-0.00494450543123945	0.038444213001757	-0.418576167817309	2.98202584357385	15	0	15	0	68	1	67	0.93638278705122	.	SSBP3	SSBP3	HAVANA	0.192505140167541
chr1.197222341	6.73224873444673e-05	0.451999337693966	0.629117850562828	0.190979437830161	0.0420399830255623	0.0423052475774971	0.000842777126915852	-2.25369472814557	-0.139065354515144	-0.0887976601815416	-0.0246589768796275	0.032261990739395	-0.333178514679458	2.78522532818166	4	1	5	6	72	0	78	0.734958357666533	.	AL513325.1	AL513325.1	HAVANA	0.183580881995462
chr1.228630646	6.30430926191364e-05	0.468494724955917	0.33400742195581	0.434416154358235	0.0404891181517414	0.0209973929951	0.0203567645411176	2.02033530132711	-0.129365244880165	-0.179620146501831	-0.0148935878106499	0.0322672611446962	-0.365042954454157	1.94037900239995	1	0	1	1	81	1	81	0.65060240963856	.	.	RNA5S8,RNA5S9,RNA5S10,RNA5S11,RNA5S12	ENSEMBL,ENSEMBL,ENSEMBL,ENSEMBL,ENSEMBL	0.180498091393139
chr1.154969961	5.86220376619028e-05	0.50225402209018	0.656117362553528	0.336503162407885	0.0363958588660179	0.00160925949353681	0.00806411993743276	1.96069781646476	-0.115689169870352	-0.0811866885648842	-0.0177876606700697	0.0321777999531526	-0.49394186910899	2.35395137994739	5	0	5	0	78	4	74	0.0422917356365867	.	SHC1	SHC1,CKS1B	HAVANA,HAVANA	0.180418865637997
chr1.6071339	5.10173662445491e-05	0.184090668422772	0.527171282594608	0.0387760745758418	0.0012280313356785	0.00920535070209696	0.0165279447829206	2.31679452402085	-0.260378100513372	-0.120969837902638	-0.0409934186205474	0.0549298602296799	-0.429236850282018	2.02872532070746	7	0	7	0	76	3	73	0.492018228686701	.	KCNAB2	KCNAB2	HAVANA	0.178628083792608
chr1.53893181	5.33439112592846e-05	0.992935121135365	0.270829287880726	0.241097311273442	0.0147561050901475	0.188235770228278	0.0051162653037063	2.64936357081855	0.00162367589380604	-0.203817512193994	-0.0216059307687038	0.0377285724760097	-0.221027344565274	2.47647438831396	9	1	10	0	73	5	68	0.916456872728902	.	DIO1	YIPF1,DIO1	HAVANA,HAVANA	0.180418865637997
chr1.2305128	9.87871657817142e-05	0.913035185447531	0.796719789913299	0.657113111081522	0.0409486908298565	0.0211278292849546	0.000918705091218339	2.20353815065974	-0.0213999489822397	0.0502637443990664	-0.00874963718039317	0.0323171794380632	-0.394222473433334	2.92916071609436	11	1	12	0	71	3	68	0.399074021440215	.	SKI	SKI	HAVANA	0.193402128152669
chr1.1658431	0.000101694303504657	0.403818693987426	0.324984489393327	0.215504822054998	0.0134321149175191	0.00041221616264356	0.000404244655599049	-4.64155147772271	0.156790994070879	0.183704799200526	-0.0233068340160843	0.039777554856231	-0.583480354336328	2.99470865774555	2	0	2	13	68	0	81	0.32559506317954	.	CDK11B	CDK11B,FO704657.1,SLC35E2B	HAVANA,HAVANA,HAVANA	0.195001612550061
chr1.228208346	4.90279900945598e-05	0.171198151757808	0.373948083502102	0.136940520958895	0.0610274922951452	0.0448062618415149	0.00271534774588344	-2.38234633522175	-0.252327508751838	-0.163284254038568	-0.0283526622596055	0.0299941117656288	-0.319637742910669	2.50818488660789	2	1	3	3	77	0	80	0.309726711724947	.	OBSCN-AS1,OBSCN	OBSCN-AS1,OBSCN	HAVANA,HAVANA	0.178628083792608
chr1.23904864	0.000109976006672641	0.427031830418512	0.39642793414085	0.281860994150848	0.00416974705448171	0.00555841618478678	0.00957298057676748	-5.53073152276469	-0.153132249075086	-0.168484070155859	-0.0216803018567838	0.0488128867390458	-0.483171818764775	2.22985174750824	9	0	9	29	45	0	74	0.378230061071335	.	CNR2	CNR2,BTBD6P1,AL590609.3	HAVANA,HAVANA,HAVANA	0.199277555226579
