methyl	methyl.p	arm2.p	arm3.p	BMI.p	age.p	expose.p	PC1.p	methyl.beta	arm2.beta	arm3.beta	BMI.beta	age.beta	expose.beta	PC1.beta	NAs	zeros	non.zeros	ones	non.ones	outliers	diff.miss	ME	Chr	pos	genes	genes_flanking	genes_type	total.NAs	methyl.fdr
chr1.62441940	3.55260185606246e-05	0.852882695194575	0.183887380541037	0.221195121000675	0.0598997437576658	0.17463059546582	0.695548358704887	-6.20720846225214	0.0460890504552614	-0.338364259872516	-0.030931650736672	0.0398653485972131	-0.294773536293615	0.495657713215044	19	0	64	16	48	0	0.94649907514831	.	chr1	62441940	USP1	USP1	HAVANA	19	0.112382846545104
chr1.19682462	6.96343298334371e-05	0.997965844467723	0.138476618603032	0.177153197614998	0.0497908581298934	0.000271914616969342	0.0271830013571434	1.99123683609139	-0.000497587664555383	-0.304123448041427	-0.0280381262979729	0.0339586003975539	-0.651569296747917	1.99857368222341	5	0	78	0	78	0	0.0773501539346616	.	chr1	19682462	TMCO4	HTR6,TMCO4	HAVANA,HAVANA	5	0.122723473859433
chr1.214272316	6.63612992627079e-05	0.672783368086408	0.839651723982258	0.351997049239215	0.335351725813781	0.036813724716363	0.056971961551267	2.83742961783176	-0.0883056962985338	-0.0422498348840435	-0.020334025592431	0.017770884009076	-0.380846010874998	1.79861150038962	0	0	83	0	83	0	1	.	chr1	214272316	.	.	.	0	0.121830869376625
chr1.1128464	6.25273175527524e-05	0.607636858122966	0.13625770393133	0.488189894203958	0.0870220525357603	0.00780780814966271	0.374598863202956	2.08211464418859	-0.107885646869802	-0.317581213395252	-0.0148754319419297	0.0304992980190333	-0.483920316020136	0.90264383075138	5	0	78	0	78	0	0.734958357666533	.	chr1	1128464	.	.	.	5	0.121190119664852
chr1.36387390	2.60093527337859e-05	0.872089322753494	0.131692600500617	0.463878598833746	0.0700212690811642	0.0129762323344595	0.0393746576615417	2.59786821354002	-0.0333712428350957	-0.331778374166957	-0.0161346436926519	0.0327350151994677	-0.456447261470998	1.99337979635583	3	2	78	0	80	0	0.531295915368786	.	chr1	36387390	.	STK40,LSM10	HAVANA,HAVANA	3	0.10711115383109
chr1.158103122	6.26763023980761e-05	0.663181772557416	0.484594940000019	0.469376517172967	0.0919061265384458	0.0323965929308998	0.093881631183685	2.3575573604346	-0.0945694635741405	-0.152462833189844	-0.0161806404659895	0.03142992521254	-0.401874660810253	1.63120963511937	4	0	79	0	79	0	1	.	chr1	158103122	.	KIRREL1	HAVANA	4	0.121190119664852
chr1.1218279	3.71465208233089e-05	0.945369233821846	0.678035580618792	0.329234140163696	0.10238334966237	0.10989088571353	0.311221782519388	4.36070308282515	0.0142785959753394	-0.0874032436385764	-0.0212652033323366	0.0295949670886037	-0.294899342912928	0.948344668929418	1	0	82	18	64	0	0.999999999999994	.	chr1	1218279	SDF4	TNFRSF4,SDF4	HAVANA,HAVANA	1	0.114280863109384
chr1.19260899	6.63732125370948e-05	0.194329264543056	0.122490396884421	0.853030032956604	0.0636104974934051	0.0169267061433525	0.0506801478452356	2.20079214102219	-0.282253025785763	-0.34025978178057	-0.00407838666717072	0.0333381166043107	-0.433854307209052	1.83407492241442	1	0	82	1	81	0	0.65060240963856	.	chr1	19260899	AL035413.2	MRTO4,AL035413.2	HAVANA,HAVANA	1	0.121830869376625
chr1.110396390	3.64966121072311e-05	0.470207926479058	0.500326707566809	0.433158984369212	0.131931586284276	0.00146711824574206	0.068992992531123	-5.66856749353471	0.164170835864744	-0.158313347237952	-0.0185809324880533	0.0290884431213019	-0.665574453921315	2.09498435237024	16	0	67	26	41	0	0.30689391269501	.	chr1	110396390	LAMTOR5-AS1	LAMTOR5-AS1,LAMTOR5	HAVANA,HAVANA	16	0.113528997487183
chr1.43980307	4.04921198596752e-05	0.672278846210702	0.998764461253711	0.971413186706636	0.0733522044631331	0.00947712849304596	0.0485129928720874	2.96218398756257	0.0871601182683849	-0.000321678199408759	0.000797138997590291	0.0322479582101281	-0.472899506024846	1.85650926236032	0	0	83	0	83	0	1	.	chr1	43980307	B4GALT2	ATP6V0B,B4GALT2	HAVANA,HAVANA	0	0.116302095999514
chr1.109613489	3.2537316748207e-05	0.64360822079712	0.845424003113465	0.458981392209729	0.0566288329070874	0.0348231402171097	0.113032690532172	2.30894303545077	-0.0959213676449208	-0.0403415913139662	-0.0160403900266803	0.0342595977364355	-0.381500472675444	1.47056435875192	0	0	83	0	83	0	1	.	chr1	109613489	GNAI3,GNAT2	GNAI3,GNAT2,AMPD2	HAVANA,HAVANA,HAVANA	0	0.110809966919343
chr1.53678670	3.04821836250839e-05	0.285707160735193	0.32437587476913	0.437332887941016	0.0796860226687557	0.0249307634093697	0.0670107220549492	2.05610497350444	-0.228678581138715	-0.207559874201017	-0.0168058884562801	0.0314462681615636	-0.405065271457827	1.70796493688663	0	0	83	0	83	0	1	.	chr1	53678670	GLIS1	GLIS1	HAVANA	0	0.108795199804182
chr1.204997099	1.97721080417879e-06	0.58000540176203	0.296666139808036	0.468389428233185	0.108862907343268	0.137322693139018	0.0761129429884206	2.54528859992341	-0.110689211494023	-0.211777942120671	-0.0151527333146982	0.027797050670029	-0.261719050734207	1.59253028362157	0	0	83	0	83	0	1	.	chr1	204997099	NFASC	NFASC	HAVANA	0	0.0761992082777729
chr1.236739482	5.02734952769591e-05	0.742232392091962	0.456761872361838	0.272572039274136	0.146717191848839	0.066860451441249	0.267541349959409	6.29629359760366	-0.0692765697049984	-0.159880549580633	-0.0244009837057149	0.0267812345253029	-0.340916933051315	1.04424740040553	0	0	81	21	60	2	0.999999999999975	.	chr1	236739482	ACTN2	ACTN2	HAVANA	2	0.117235485771465
chr1.20411237	1.06773660270998e-05	0.419092240045822	0.442192646443861	0.234491306648748	0.456713745724301	0.288215573757983	0.230418835455712	2.52980907665385	-0.186110782980645	-0.18106624307996	-0.0277561780485736	0.0144882450472337	-0.219882865800955	1.2845585030875	12	0	71	2	69	0	0.79858095342848	.	chr1	20411237	LINC01141	LINC01141,AL139254.1	HAVANA,HAVANA	12	0.096971837492501
chr1.215005874	6.1987036014582e-06	0.639356481963476	0.275441144582487	0.228485527230643	0.182279913591941	0.0156587408583872	0.259389339850346	2.83391666108835	-0.0974998961773525	-0.231543490629714	-0.0263076228531205	0.0236106601022665	-0.435843661525099	1.02947821037483	1	0	81	7	74	1	0.32559506317954	.	chr1	215005874	KCNK2	KCNK2	HAVANA	2	0.0881020935593221
chr1.23869177	6.33057941772966e-05	0.692099145159001	0.273874843062961	0.235125146685528	0.0529676956516696	0.236412516880639	0.254100661513191	2.0674596716757	-0.0858354372558007	-0.24382175880014	-0.0266484104797596	0.0360923424730602	-0.225946592784061	1.10872440550335	4	2	77	0	79	0	1	.	chr1	23869177	.	FUCA1,CNR2	HAVANA,HAVANA	4	0.121190119664852
chr1.21537884	4.08886954406675e-05	0.644048263744521	0.925167100050761	0.0272620677470512	0.030939634285055	0.00602934434881895	0.0753189033899142	2.73392185935242	-0.095573237031218	-0.0198908808131622	-0.0510208388584361	0.0408733204728277	-0.50195035778815	1.71459408625259	6	0	77	0	77	0	0.0764124729854856	.	chr1	21537884	ALPL	ALPL	HAVANA	6	0.116302095999514
chr1.31591815	2.66003920384052e-05	0.654819599190713	0.673457525113659	0.9757787623609	0.218900371832896	0.0381569512470033	0.139480477050018	3.46276858986922	-0.0923796659547183	-0.0871013935974007	-0.000668855221913674	0.0221785191029305	-0.37387926380828	1.36601413621904	0	0	83	0	83	0	1	.	chr1	31591815	.	TINAGL1	HAVANA	0	0.107151928852776
chr1.41632122	8.5309185918114e-06	0.493236782741763	0.190301339930151	0.704495102813346	0.125661965464729	0.072557508178059	0.346975354462227	2.52091831380324	-0.140615779373173	-0.275317647913928	-0.0081215111489447	0.0270676972268626	-0.320197283491354	0.859503210391387	0	0	83	0	83	0	1	.	chr1	41632122	HIVEP3	HIVEP3,AC119676.1	HAVANA,HAVANA	0	0.0952975719837888
chr1.55670070	1.40808216345293e-05	0.442850607056158	0.200723888589841	0.351385594605321	0.164286397518263	0.176113392170224	0.423986744607679	2.36811050007951	-0.168474023000394	-0.289205112708085	-0.0208211731820759	0.0269167870350822	-0.261842986344553	0.776306013080818	9	1	73	1	73	0	1	.	chr1	55670070	AL603840.1	AL603840.1	HAVANA	9	0.0981404330277979
chr1.154207452	1.85541062467911e-05	0.71890324773184	0.546003802355495	0.0852322993216637	0.494541427182622	0.0167991888791954	0.6373244729646	7.40348377802315	0.0787256534507116	-0.135828958961981	-0.0401412333859681	0.0128314640264443	-0.475606737346868	0.453854650523989	9	0	74	29	45	0	0.756516768765477	.	chr1	154207452	C1orf43	C1orf189,C1orf43	HAVANA,HAVANA	9	0.0992540947175544
chr1.20411222	6.25075932737205e-07	0.394729827923421	0.38562387524799	0.416011399892165	0.477148047695093	0.170656574016154	0.107916459080406	2.48855562087404	-0.185557754122495	-0.200072318832695	-0.0186151499616877	0.0129425770434699	-0.271433941367408	1.60819336529004	18	0	65	1	64	0	0.146520698727097	.	chr1	20411222	LINC01141	LINC01141,AL139254.1	HAVANA,HAVANA	18	0.0761992082777729
chr1.147052248	3.11238933300113e-05	0.909004969189224	0.363700344628784	0.599042700421927	0.282443354426088	0.0178450132659711	0.0881967683413321	4.8763551925236	-0.0242597947808054	-0.20108728926476	-0.0117782979484728	0.0198014040521321	-0.45366699227288	1.8292408044489	6	0	77	20	57	0	0.114167692691104	.	chr1	147052248	NBPF13P,AC244394.1	NBPF13P,AC244394.1	HAVANA,HAVANA	6	0.108795199804182
chr1.53135183	1.59989119817393e-05	0.933158199790452	0.18173808821432	0.470630952426544	0.113691861323727	0.0601857558275284	0.0606240470896222	4.07748109617484	-0.0170445747472471	-0.277905652646308	-0.0154037694400894	0.0277203899889852	-0.332332044853211	1.79738385929466	0	0	82	1	81	1	0.999999999999994	.	chr1	53135183	SLC1A7	SLC1A7	HAVANA	1	0.0992540947175544
chr1.96560508	4.51017412918934e-05	0.642282596014498	0.602710311399007	0.40860323659739	0.253020335543181	0.00577872721378912	0.407848948998019	2.39960015503678	0.102653290084231	-0.1136942996196	-0.0191837036395802	0.0212894826021469	-0.542150980068599	0.873967443157099	8	0	75	1	74	0	1	.	chr1	96560508	.	.	.	8	0.116758630384538
chr1.225484253	2.77046685377448e-05	0.164702190368583	0.138053468788515	0.122663001108671	0.0783879377517126	0.0654981772752206	0.0899519665450196	2.55158451080218	-0.303410566998927	-0.317895933001604	-0.0337468094164797	0.0313128694405258	-0.334063581438992	1.56111422864814	1	0	82	0	82	0	0.65060240963856	.	chr1	225484253	.	ENAH	HAVANA	1	0.108731955927495
chr1.248837748	3.5887282161921e-05	0.82387564970741	0.766563634444235	0.495132409865468	0.0148966578353573	0.00920170261081484	0.0289098057924682	-9.68191383851304	-0.0472514464359677	0.0634141661403956	-0.0149120801672247	0.0451689211962323	-0.484820630005412	2.09324266395081	0	22	59	0	81	2	0.32559506317954	.	chr1	248837748	.	ZNF672	HAVANA	2	0.112860578042721
chr1.171248417	1.21216254710972e-05	0.605414892433642	0.313669491761505	0.357097734317229	0.174645868689857	0.00994456716550552	0.163696890136957	2.65357889151674	-0.107312279957389	-0.21333591556363	-0.0201689631140393	0.0247516475868633	-0.467859794282569	1.40256575293169	2	0	81	4	77	0	0.539817807816624	.	chr1	171248417	BX284613.2	BX284613.2,FMO1	HAVANA,HAVANA	2	0.096971837492501
chr1.144456771	4.60422036079308e-05	0.926730266631956	0.377643896164806	0.342458742941754	0.00190211864835202	5.65151538333191e-05	0.0809541128812837	4.23765207844168	0.0190574034339842	-0.187828813175163	-0.0204982302519706	0.0577825426539211	-0.803194504178906	1.76877496779577	8	0	74	17	57	1	0.756516768765477	.	chr1	144456771	NBPF15	NBPF15	HAVANA	9	0.116758630384538
chr1.6071339	1.04871345692128e-05	0.179299952456661	0.199633880167686	0.204814739901986	0.00767368796512544	0.0750402258904503	0.501238860559983	2.87873014560173	-0.297247348404406	-0.27830138489804	-0.0281156695468222	0.0505104626464596	-0.326802417888819	0.630064459223617	7	0	76	3	73	0	0.492018228686701	.	chr1	6071339	KCNAB2	KCNAB2	HAVANA	7	0.0967906627768385
chr1.240139737	6.72859946385743e-07	0.378242033375249	0.0824948081773204	0.728025339387701	0.518747024185762	0.841792957744989	0.0929728351704444	3.28485455310886	-0.177737653270438	-0.3711437629938	-0.00728024132140536	0.0114398585264012	-0.0371335738818242	1.49819142344742	4	0	79	0	79	0	0.210299735527475	.	chr1	240139737	FMN2	FMN2,AL359918.1	HAVANA,HAVANA	4	0.0761992082777729
chr1.1166991	1.1826126616813e-05	0.349260427864344	0.162822617736638	0.451413534648886	0.118612976644341	0.0296052190255731	0.887989188281355	6.60371198596277	-0.210321456912369	-0.313679593843273	-0.0161683121533531	0.0285815508202495	-0.396516243864594	0.134532152176413	7	0	75	15	60	1	0.520712840830806	.	chr1	1166991	.	MIR200B,MIR200A,MIR429,AL390719.2	ENSEMBL,ENSEMBL,ENSEMBL,HAVANA	8	0.096971837492501
chr1.23904864	1.65039253976707e-06	0.756784366876879	0.30920792286608	0.495601657762423	0.00762931288910912	0.00593406856512945	0.191212559237496	-7.7176493389966	-0.0649932100675268	-0.220627838384996	-0.014933907490709	0.0493710656322929	-0.522705909791533	1.20349148348748	9	29	45	0	74	0	0.378230061071335	.	chr1	23904864	CNR2	CNR2,BTBD6P1,AL590609.3	HAVANA,HAVANA,HAVANA	9	0.0761992082777729
chr1.24319532	2.19029601038228e-05	0.787212554425055	0.379322195000783	0.40385472672759	0.0622957641091396	0.0891061794188943	0.310450915770639	-26.1296314311522	0.0572403103093745	-0.189565110354061	-0.01859417018329	0.0337982390418721	-0.318814781031426	0.954835624696437	0	58	22	0	80	3	0.769908903908311	.	chr1	24319532	AL138902.1,GRHL3	AL138902.1,GRHL3	HAVANA,HAVANA	3	0.103942939279043
chr1.161201593	1.75771834070184e-05	0.417821737893662	0.359988207670112	0.538442598188949	0.0622572970689133	0.0774038699920687	0.0140706853648098	3.33762582686385	-0.17016792591083	-0.184039130485683	-0.0130584361867034	0.0325515789874237	-0.317581196232364	2.35873045697878	0	0	80	0	80	3	0.531295915368786	.	chr1	161201593	NDUFS2	ADAMTS4,NDUFS2	HAVANA,HAVANA	3	0.0992540947175544
chr1.9735954	2.84062992495121e-05	0.398224413764483	0.859610084907099	0.805005297240709	0.042822774126333	0.00319646373868858	0.0500604682225755	5.86678681322349	0.176212299316026	-0.0371311889080851	0.005562926442454	0.03671586947884	-0.545795987647954	1.88939049304684	1	0	82	8	74	0	0.65060240963856	.	chr1	9735954	CLSTN1	CLSTN1	HAVANA	1	0.108795199804182
chr1.234564998	3.96319636852891e-06	0.194266861540605	0.380494605381899	0.897654959405654	0.0109742947962154	0.0583798679365022	0.0292331099109767	-3.60260401878827	0.269759750752826	-0.184816923027079	-0.00271255727938428	0.045112004446777	-0.337382613190178	2.57327468198202	13	12	57	0	69	1	0.0652675240960154	.	chr1	234564998	.	AL161640.1	HAVANA	14	0.0829296178117843
chr1.54118672	5.08326316538078e-05	0.759448843760086	0.273667039871353	0.271801258826478	0.0632407905651486	0.0346007735937627	0.0706272147444148	2.21434988369919	-0.0634787333297365	-0.238670589582575	-0.0242226146679029	0.0335577612050788	-0.39508836476419	1.69376434671274	3	0	80	0	80	0	0.0636693113919087	.	chr1	54118672	.	.	.	3	0.117422669024358
chr1.8333999	1.13456017436361e-05	0.492267460869161	0.267685371177707	0.191847742154612	0.00736027084040543	0.0397874749771557	0.15180865312498	4.57620364933024	-0.140118034656506	-0.229170870885709	-0.0276976820912004	0.0480964928127531	-0.365716240744543	1.30637345486112	0	0	82	1	81	1	0.65060240963856	.	chr1	8333999	SLC45A1	SLC45A1	HAVANA	1	0.096971837492501
chr1.16396692	6.47598805571851e-05	0.646306460872405	0.426153816135577	0.797714400927713	0.0756964528571818	0.0707782439362621	0.17097422322782	1.68832995188961	-0.100301706737977	-0.176821544855294	-0.00573458360182019	0.0333993174591907	-0.342769777258385	1.33169862919969	4	1	78	5	74	0	0.31767558037026	.	chr1	16396692	SZRD1,SPATA21	SZRD1,SPATA21	HAVANA,HAVANA	4	0.121272297931303
chr1.224873691	2.33766199323509e-05	0.732405583010762	0.0295387252520374	0.25009462134704	0.248363648276107	0.00369911798765046	0.155978604576222	2.40813368882906	-0.0749178852463972	-0.477713206659889	-0.0246492556984799	0.0209376531937238	-0.54734839504646	1.29562152083206	16	1	66	0	67	0	0.537526389358093	.	chr1	224873691	AL391811.2	AL391811.2	HAVANA	16	0.105462732496346
chr1.27111888	1.40572719656967e-05	0.746626288966753	0.649512713521878	0.835215695726135	0.158955935677868	0.0158852858783107	0.295191314525735	4.94584424217968	0.0662754681326354	-0.0925693551912262	-0.00445432227634579	0.0247887571162715	-0.430139565917864	0.95994744493008	0	0	81	2	79	2	0.999999999999975	.	chr1	27111888	SLC9A1	SLC9A1	HAVANA	2	0.0981404330277979
chr1.203289781	1.50295062903852e-05	0.686981358252378	0.0194596094077279	0.441093188481986	0.0163881975063371	0.00484845009573371	0.0980721835010781	2.44447734618504	-0.0806628675127513	-0.51299275393149	-0.0159281245917086	0.0416018838653783	-0.498731459615394	1.49518402104334	6	2	75	0	77	0	0.683988811063932	.	chr1	203289781	.	LINC01353	HAVANA	6	0.0981404330277979
chr1.93589298	4.21098507197322e-05	0.802445115256663	0.475700372367746	0.787043416025809	0.15793117031195	0.0167087948135831	0.165317004830786	4.75342319860079	-0.053308925417432	-0.155604023209195	-0.00602205752862826	0.0263169986731482	-0.442453481503816	1.32851335025681	1	0	80	13	67	2	0.769908903908311	.	chr1	93589298	BCAR3	BCAR3,AL109613.1	HAVANA,HAVANA	3	0.116758630384538
chr1.54352981	3.95687275587457e-05	0.92560257687742	0.112196262507091	0.614774273254214	0.0582549184179513	0.0127536851774881	0.240312530535918	2.06059758448183	-0.0192535183492692	-0.363399567200654	-0.0107576905935145	0.0339674858902834	-0.46796141268789	1.16143670919979	14	0	69	0	69	0	0.036039855263741	.	chr1	54352981	SSBP3	SSBP3	HAVANA	14	0.115598208041038
chr1.13895837	1.27336424375043e-05	0.668693693736308	0.299725069820355	0.663253405992844	0.210707664041494	0.279224786516378	0.578268774675032	6.19433621756523	-0.0934179897308803	-0.229602223258556	-0.00963325177070424	0.023451032731037	-0.207926124267517	0.563708609631315	7	0	76	14	62	0	0.204867718086683	.	chr1	13895837	KAZN	KAZN	HAVANA	7	0.0972250064624979
chr1.225817104	6.62696489460388e-05	0.7227041155635	0.08418507365806	0.576761958867579	0.912041150354471	0.00102043216415433	0.0411847344412803	3.78004252308738	0.0777567405613382	-0.386547051944854	-0.0122416671143664	-0.00213000508717617	-0.654785902731233	2.12837515975627	16	0	66	8	58	1	0.551817871698228	.	chr1	225817104	EPHX1	EPHX1	HAVANA	17	0.121830869376625
chr1.227139800	3.08239377678867e-05	0.781935577062147	0.236393994561112	0.29621924997398	0.0304261177659903	0.0225751466895468	0.463936759055441	2.21199407458523	-0.0559802778933682	-0.25469110376666	-0.0235606277780349	0.0385412574314789	-0.422752424127255	0.803508656678269	9	0	74	0	74	0	0.107987643675091	.	chr1	227139800	CDC42BPA	CDC42BPA	HAVANA	9	0.108795199804182
chr1.229597547	7.16268626245002e-05	0.545188933616052	0.232040452377677	0.425744734835463	0.0295653980129632	0.0804016648849046	0.114806947155164	2.30110732383511	-0.127264619258279	-0.25647013060556	-0.0176092549741262	0.0397520117124626	-0.32325920522548	1.4716142926671	2	0	81	0	81	0	0.999999999999975	.	chr1	229597547	TAF5L	TAF5L	HAVANA	2	0.123401183223301
chr1.230869806	9.52314904838613e-06	0.370215534573235	0.192297244986485	0.956962894936108	0.245282190016451	0.268486498127264	0.158502872991212	2.65512610791564	-0.186155740992676	-0.274469364535475	0.00117543735917852	0.0207099233624835	-0.202193649521585	1.28601567412262	0	0	83	0	83	0	1	.	chr1	230869806	AL118511.1	C1orf198,AL118511.1	HAVANA,HAVANA	0	0.0967906627768385
chr1.28862894	3.42372071738786e-06	0.499054306489971	0.256328939396014	0.41923970959467	0.0691267410934722	0.162165046763758	0.116132344016539	8.09905177897908	-0.150936079951704	-0.256579334320462	0.0187593782172996	0.0337292744508811	-0.269188215970397	1.49691152510929	7	0	75	28	47	1	0.262323136591204	.	chr1	28862894	OPRD1	OPRD1	HAVANA	8	0.0829296178117843
chr1.32765788	4.76673818535858e-06	0.338032201722196	0.128245599668959	0.912961115928908	0.706942796325923	0.138116737631295	0.0311592372217683	-6.03777506925024	-0.227706827467609	-0.36240124879506	0.00259955717647795	0.00726727149805057	-0.290808699210228	2.11339892739746	4	6	63	0	69	10	0.00937349200825301	.	chr1	32765788	KIAA1522	KIAA1522	HAVANA	14	0.0829296178117843
chr1.226547360	6.91603251264284e-05	0.717275265731829	0.546783075279964	0.0441501972285719	0.0436197763525115	0.00400051701559288	0.174322363066452	2.30421803905063	-0.0755963129566481	-0.126558568580256	-0.046039331149453	0.0366722826843482	-0.534582251702496	1.27024355681282	0	0	83	1	82	0	1	.	chr1	226547360	.	AL359704.3,STUM	HAVANA,HAVANA	0	0.122723473859433
chr1.245711301	2.80295246492633e-05	0.765758681797476	0.0678499635701542	0.24429539557216	0.131485657033159	0.0745507453580615	0.0235361676135604	4.88076208057121	-0.0643926777421437	-0.435500186703396	0.0284360696248884	0.0285642253331229	-0.340487714050854	2.11875276671518	14	0	68	13	55	1	0.246143625363486	.	chr1	245711301	.	KIF26B	HAVANA	15	0.108795199804182
chr1.155859807	2.41042172438544e-05	0.902117471548736	0.132177646497424	0.841952411390687	0.0884312853078863	0.00145872580788141	0.102230550924872	4.79968628406255	0.0252231797892839	-0.326345620960895	-0.00423211988520241	0.0304808344694604	-0.603955997875208	1.46027424707839	14	28	41	0	69	0	0.376416628467417	.	chr1	155859807	SYT11	GON4L,SYT11	HAVANA,HAVANA	14	0.1055099476516
