methyl	BMI.p	arm.p	int.p	BMI.p2	arm.p2	arm2.beta1	arm3.beta1	BMI.beta1	arm2xbmi.beta1	arm3xbmi.beta1	arm2.beta2	arm3.beta2	BMI.beta2	NAs	zeros	non.zeros	ones	non.ones	outliers	diff.miss	ME	Chr	pos	genes	genes_flanking	genes_type	total.NAs	BMI.fdr	arm.fdr	int.fdr	BMI.fdr2	arm.fdr2
chr1.204618818	2.77591277855916e-06	3.5899454025225e-05	3.21635773416381e-05	0.0123272320558379	0.134542677233606	-0.160638776691569	-0.310753598268445	-0.00972135212400632	0.00694184714277069	0.0126082262699337	0.0230659052491394	0.0234478503270727	-0.00318039470207826	15	0	83	50	33	1	0.0729901725838086	.	chr1	204618818	LRRN2	AL512306.3,LRRN2	HAVANA,HAVANA	16	0.0361909056551717	0.0721690059670695	0.211563391914568	0.895099006105784	0.783028740345049
chr1.5859633	0.000106483605802223	8.00050219850688e-05	2.80432863870578e-05	0.919331679949846	0.291813302999488	0.416003120004075	0.593801018536172	0.0114712998972585	-0.0148349706253309	-0.0215277277943816	0.0312559351635537	0.0304384521561134	-0.000223644281074801	6	0	92	24	68	1	0.617968363727177	.	chr1	5859633	.	MIR4689,NPHP4	ENSEMBL,HAVANA	7	0.188640153256951	0.106788066816536	0.200501328536211	0.999952590254861	0.872260609032522
chr1.228457113	2.67195231118515e-06	9.61978047167376e-06	4.41614172132438e-05	0.00768650090999492	0.0296009763518593	0.195788219587006	0.217704617598643	0.00826252365747871	-0.00797424298930384	-0.00937570406524508	-0.0101249724294775	-0.0273801238956549	0.00275498086803051	1	37	60	0	97	1	0.747680890538036	.	chr1	228457113	HIST3H2A	HIST3H2A,HIST3H2BB,MIR4666A	HAVANA,HAVANA,ENSEMBL	2	0.0361909056551717	0.0394490884298651	0.232014350773885	0.865418671728272	0.589331226941704
chr1.16724172	0.000169750449725343	0.000396129221565014	5.65581687061023e-05	0.553957799988949	0.685175862033149	0.0998295404231042	0.46703857334407	0.00586641443091127	-0.00422736884747817	-0.0185459681591615	-0.0119409807981324	-0.0182081361292266	-0.00122195900278344	19	0	79	32	47	1	0.138091475303975	.	chr1	16724172	.	ESPNP	HAVANA	20	0.225858903849035	0.191983369327306	0.252734019130114	0.999952590254861	0.962762071903461
chr1.180508945	0.000139719165612636	0.000224411357683359	0.000153067753721651	0.125241136765256	0.176868108912595	0.0664203437603197	0.293714183675873	0.00244621931764457	-0.00203743982139536	-0.0118094025342584	0.0103646168223773	-0.0160899686028877	-0.00217923157604735	10	0	85	48	37	4	0.0379628798961627	.	chr1	180508945	.	.	.	14	0.209207413059054	0.157113118841876	0.338355494143374	0.985103197375559	0.814952017946711
chr1.11937140	0.000522158784234553	0.00194520749813124	0.000209455893801927	0.446998753992563	0.981955031397549	0.0940529564938065	0.446830414299094	0.00544720793296669	-0.00360144994365755	-0.0169826818292307	-0.00373079102367773	-0.00246837022100053	-0.0015259612868109	16	0	83	33	50	0	0.427243070206589	.	chr1	11937140	PLOD1	PLOD1	HAVANA	16	0.328106662604195	0.326138193492501	0.364206649488747	0.999490217788451	0.998358977331114
chr1.64087381	0.000702915888614468	0.000104060056164458	0.000208114871989116	0.828778929606376	0.0690594255876997	0.145446729205421	-0.252835944240858	-0.00161799516076829	-0.00656996271185174	0.00825723015234366	-0.0197924833326459	-0.0382466759951605	-0.000357507908178354	15	0	81	37	44	3	0.0505910002595071	.	chr1	64087381	ROR1	ROR1	HAVANA	18	0.356404924567923	0.119110696434101	0.364206649488747	0.999952590254861	0.700117479670244
chr1.2418115	0.000179621105833176	3.79871878406309e-06	4.91047740733643e-05	0.858727282317802	0.0120264289784258	0.137306580811689	0.709608849858449	0.0092239358383016	-0.0023972248798369	-0.0278577668429941	0.0691280708794783	-0.014423155590252	-0.000556901700870477	3	0	95	4	91	1	0.834984603025867	.	chr1	2418115	.	PEX10	HAVANA	4	0.2289860403664	0.0246906661115938	0.238633902134131	0.999952590254861	0.483112223480265
chr1.1110158	0.000592166393619489	4.76715137193757e-05	0.000171555792970416	0.869629385899704	0.0383108651260808	-0.603119567662615	-0.184581519609665	-0.0109597482842941	0.0261357928683922	0.00848421097416343	0.0684301476937566	0.0414384703603127	-0.000460717483423718	9	0	90	8	82	0	0.909811013238729	.	chr1	1110158	C1orf159	C1orf159	HAVANA	9	0.340847213225664	0.0832467436661653	0.350014897396675	0.999952590254861	0.622742946626795
chr1.5875036	9.715594742543e-05	0.000811013133724237	0.000191390438960553	0.0638508185484059	0.464152702526281	-0.00884467431617002	0.188114094216348	0.000737313355417922	7.39426098972777e-05	-0.00762930353777069	-0.00914993166742797	-0.0114216006613426	-0.0017939123073535	3	0	95	42	53	1	0.20332931673139	.	chr1	5875036	NPHP4	NPHP4	HAVANA	4	0.180731273860455	0.244662770231067	0.35592359228725	0.968905093799748	0.922710035297143
chr1.50430556	0.000212969787135022	0.000909581751024408	9.08133236567163e-05	0.383171518036305	0.973893470352342	0.118676828483481	0.102884650945303	0.00321637532017495	-0.00458260600144397	-0.0039444790295546	0.000103798471542262	-0.000957365795801302	0.000460562415283319	1	63	31	0	94	4	0.372155703893557	.	chr1	50430556	.	.	.	5	0.243790583731264	0.252994728642902	0.286770442609105	0.998713746285202	0.997504707101228
chr1.230752885	1.67198699282439e-06	3.0846288102905e-06	3.72962383269702e-07	0.991136044921837	0.595759722290506	-0.927527227927334	0.250339434631638	-0.00824427825620081	0.0381916366194815	-0.00902106376088432	0.0418979136868657	0.0197564841992573	-4.79704870656407e-05	6	0	93	0	93	0	0.582749421760761	.	chr1	230752885	AL512328.1,CAPN9	AL512328.1,CAPN9	HAVANA,HAVANA	6	0.0316526120801069	0.0218119322185132	0.0391587751920183	0.999952590254861	0.948530392357774
chr1.11923020	0.000444882411847706	0.000164257279898168	0.000147950557652665	0.593048351674733	0.132406847267244	0.228376253982788	-0.235581589872872	-0.000476213339574489	-0.00966722206006187	0.00749163973594709	-0.0166164908679491	-0.0382285589927441	-0.000969136532422893	4	0	94	23	71	1	0.0340669168570107	.	chr1	11923020	KIAA2013	KIAA2013	HAVANA	5	0.31417799116964	0.140739142940696	0.334290259160495	0.999952590254861	0.781103616188862
chr1.3426140	1.02947145013082e-05	2.1046997286762e-06	4.49966608431656e-05	0.0296265181904079	0.00835874791094456	-0.406249382243277	0.111972314221429	-0.00857228994674655	0.0180621326321643	-0.00406024142623563	0.0630536668941149	0.0107079709215861	-0.00495974875871219	9	0	88	10	78	2	0.999999999999993	.	chr1	3426140	PRDM16	PRDM16	HAVANA	11	0.0707357488709931	0.0177620467266673	0.23397556903621	0.940420335869929	0.446590379780302
chr1.148992288	0.000130348841864535	1.8224855664731e-05	3.50986540096692e-05	0.86153033019332	0.0709377825520603	-0.467902501002149	-0.652903758100835	-0.0126655635477563	0.0159030774515243	0.0246286825902664	-0.0515233537796296	-0.00276006678854002	0.000457980629882324	17	16	65	0	81	1	0.946977635778349	.	chr1	148992288	PDE4DIP	PDE4DIP	HAVANA	18	0.203262339001284	0.0514940791672175	0.216469549695035	0.999952590254861	0.703434460986938
chr1.212546401	0.00011930651149039	0.000195035666628369	3.32369224785995e-05	0.758198306057094	0.552315040878838	-0.842412209067505	-0.885485948965801	-0.0197818029596159	0.0333238397733775	0.0329363337205045	0.0156330049899491	-0.0245458221094282	0.00118295294146792	0	0	99	2	97	0	1	.	chr1	212546401	LINC01740	LINC01740	HAVANA	0	0.19972356051223	0.149215032105698	0.213523532484036	0.999952590254861	0.940693030459952
chr1.2383320	2.06409567266871e-06	0.000270873497683071	0.000104457405673157	0.00276108344821493	0.288292485871384	-0.42852664595774	0.0529012303678482	-0.0103243530820102	0.0164806804758786	-0.00346238165518247	-0.00500655605925406	-0.0345678341514163	-0.00666941274254969	10	0	88	32	56	1	0.377554869827924	.	chr1	2383320	MORN1	MORN1	HAVANA	11	0.0339426703929362	0.169257530495243	0.301079834033644	0.802079786270131	0.870990917661865
chr1.228425034	5.26721399752099e-05	6.75538953373592e-05	1.42330150142202e-05	0.748738097692562	0.436123309902138	0.335875820430404	0.270277828982191	0.0066041799537047	-0.0126286153318764	-0.00972406916901307	0.0113785848135293	0.0157314537201668	-0.000410975210816843	1	0	98	30	68	0	0.292929292929288	.	chr1	228425034	HIST3H3	HIST3H3	HAVANA	1	0.136346170201013	0.0985695250854478	0.170841164809337	0.999952590254861	0.916328594866186
chr1.167439845	9.83230165761953e-05	0.000150514573586062	2.57010603031113e-05	0.949551763663153	0.545980997847876	-0.411641246247823	-0.240986212113062	-0.00802658570031004	0.0166422096605752	0.00977526157925027	0.0152188966162807	0.0160590363632486	0.000104325159325377	2	19	75	0	94	3	0.856697155259278	.	chr1	167439845	CD247	CD247	HAVANA	5	0.181465334587478	0.136289923159677	0.194231792871873	0.999952590254861	0.939491491360883
chr1.151717500	0.000558539158627971	0.000187026690111567	0.00017295967102984	0.706058401059788	0.135470618473359	-0.513620613277775	0.144148287807555	-0.00449287395467783	0.0216429120178199	-0.00353003982614267	0.045624037185702	0.0582306601791346	0.00110285883577483	15	14	70	0	84	0	0.462288612049361	.	chr1	151717500	RIIAD1	CELF3,RIIAD1	HAVANA,HAVANA	15	0.334049970087789	0.146968716937181	0.350294432726485	0.999952590254861	0.783672305022741
chr1.43338646	0.000124889923806918	0.000411829959672676	6.81586099928738e-05	0.280421904868275	0.609619830043193	-0.171114823812331	0.281830589800324	-0.000376606946204179	0.00627711999213699	-0.0108332161361601	-0.0169274703787657	-0.0076648069807862	-0.00194233959902398	18	0	79	34	45	2	0.227442405575393	.	chr1	43338646	MPL	MPL	HAVANA	20	0.201715101691709	0.194484910739779	0.268139395948353	0.996567763705048	0.950952552853598
chr1.1218954	5.96581502335897e-05	5.88791705152605e-05	7.60977429651894e-05	0.10604192890972	0.0992893506071568	-0.0422586160210946	0.328433145953305	0.000969142006697514	0.00230843237982532	-0.013419380855572	0.0144705815272569	-0.0228572090329607	-0.00286718174849235	15	0	83	37	46	1	1	.	chr1	1218954	SDF4	TNFRSF4,SDF4	HAVANA,HAVANA	16	0.146423628303093	0.092476457505178	0.276300853014194	0.981143592333022	0.745714738240637
chr1.165941698	0.000388799331836998	0.000395642793961292	0.000211939617559507	0.290728666399618	0.22419470403336	0.540951873596039	0.196905827132547	0.00982740080015409	-0.0194176330317517	-0.00700399562815543	0.031582271638759	0.00581268243127572	0.00222013064873855	14	0	84	15	69	1	0.732180996124786	.	chr1	165941698	AL606495.2	AL606495.2	HAVANA	15	0.3016797366564	0.191921687338734	0.365708815448303	0.996567763705048	0.843041518451323
chr1.38047952	7.38622107507394e-05	8.8409511768167e-05	3.52680476084009e-05	0.312803704413003	0.259176006055301	0.199993780387233	0.142168719934572	0.00481576899071511	-0.00737240236842654	-0.0054154938525208	0.0102547213735369	-8.38999615102789e-05	0.000770817839679431	0	42	55	0	97	2	0.999999999999994	.	chr1	38047952	AL139158.2	POU3F1,AL139158.2	HAVANA,HAVANA	2	0.161732965128456	0.110910703859878	0.216469549695035	0.997174858538169	0.858988427142867
chr1.1114672	0.000210125494860395	0.000173270945863898	8.41132051060703e-05	0.418303145107838	0.227649314584348	0.395473065281754	0.971081363055003	0.0184509581179195	-0.0128760258504626	-0.0351671229149361	0.0557753536794121	0.0548044208945525	0.00302999948837266	5	0	94	3	91	0	0.999999999999976	.	chr1	1114672	C1orf159	C1orf159	HAVANA	5	0.243196342051221	0.142966613808233	0.282991534771899	0.999427098918151	0.844762700056011
chr1.5833401	2.85719781381677e-05	6.38109384673273e-06	9.09013768708137e-06	0.533404737309734	0.0913202451007125	0.124685569937188	0.893266465478969	0.0134185558973899	-0.0026112440339341	-0.0350391490395096	0.0434396219693726	-0.0394449563877364	0.00227934488424218	17	0	81	8	73	1	0.277897468502245	.	chr1	5833401	.	.	.	18	0.105816821116273	0.0321879794406879	0.134667769253876	0.999952590254861	0.734986563276614
chr1.2150876	0.000268302976928947	0.000168329297316794	7.38520288427605e-05	0.918921745337719	0.252503209410467	0.311015385460561	0.326454035231743	0.00733817437988621	-0.0113360244023395	-0.0125525538323553	0.0182239341752562	-0.00286582236108677	-0.000149620964651802	8	0	88	46	42	3	0.263405003575437	.	chr1	2150876	PRKCZ	PRKCZ	HAVANA	11	0.265786909192891	0.142316838752981	0.276300853014194	0.999952590254861	0.856126155991461
chr1.68163450	0.000429136488920399	0.00034769622921013	0.000122561102346702	0.857994764453543	0.310984720363144	0.345796535979772	0.48892201949905	0.00925644170610631	-0.0129350588207622	-0.0176417734492242	0.0110010797689986	0.029675981370734	-0.000351293831831896	5	0	94	36	58	0	0.999999999999976	.	chr1	68163450	GNG12-AS1,WLS	GNG12-AS1,WLS,CTBP2P8	HAVANA,HAVANA,HAVANA	5	0.310191737971358	0.183511301917132	0.318897976606478	0.999952590254861	0.8791904621472
chr1.59969744	0.000375335645182498	0.000467258702325963	0.00012497886392069	0.584688353534709	0.405288514697731	0.0295818703743213	0.43604567686737	0.00386369954238307	-0.000665887924171328	-0.0175892871462733	0.00641139870238953	-0.0190239904758995	-0.00110438186452028	9	0	89	20	69	1	0.839664023535588	.	chr1	59969744	.	.	.	10	0.297816558196294	0.204396755288471	0.319587961376271	0.999952590254861	0.908574500426044
chr1.90729644	6.67692556983366e-07	9.53921686394551e-06	1.80939124720418e-05	0.00564979421540486	0.0692429926925799	0.0726542002685451	0.0564064806486791	0.00237671595339515	-0.00294898156245021	-0.0024209147644754	-0.00284922047166007	-0.00729071942558135	0.00089711538744409	1	65	21	0	86	12	0.139601965642544	.	chr1	90729644	.	AC092805.1	HAVANA	13	0.0211228074059076	0.0394399209262986	0.179717652074776	0.841413718630151	0.700369326936388
chr1.121048556	3.86067500012254e-05	0.000731454854660462	0.000123458537800367	0.0393554738785158	0.616836437765873	-0.180683410780703	-0.281791702235936	-0.00299884205632871	0.00661413360650654	0.0108469207458597	-0.00990375430746884	6.15653079982403e-05	0.00246227427595662	7	50	40	0	90	2	0.337082657983858	.	chr1	121048556	AC241377.2	AC241377.2	HAVANA	9	0.120328324947999	0.236915137506271	0.319587961376271	0.952083410890896	0.952028845241622
chr1.28863668	0.000137696775401518	0.000319131189247011	4.56128887526033e-05	0.551273147912958	0.674638656667489	-0.0119885622426777	0.358367655867579	0.00518643198004896	0.00120351525673877	-0.0135793930979768	0.0149868346812197	0.00504146183149129	0.00102208330115172	18	0	79	37	42	2	1	.	chr1	28863668	OPRD1	OPRD1	HAVANA	20	0.208886643416831	0.179784124332658	0.234097378537239	0.999952590254861	0.961322708304087
chr1.237004165	0.00024453818818643	0.000144107503604416	7.81527069722045e-05	0.606575421362997	0.207240263025267	-0.508421746432237	0.036932213393648	-0.00365257232678454	0.0184435971221073	-0.00223122430840765	-0.0402583416481012	-0.0214333553079529	0.0012044029580353	6	0	91	22	69	2	0.420237340617482	.	chr1	237004165	MT1HL1	MT1HL1	HAVANA	8	0.258066031473841	0.133406998102782	0.276300853014194	0.999952590254861	0.833823725617884
chr1.4170720	0.000193797547892217	0.000766682043303112	7.71359185431078e-05	0.418842255616984	0.953113473361308	0.474374881872441	0.0856188430157155	0.00796725736291189	-0.0184315619842854	-0.00295365628468956	5.54274110954229e-05	0.00528700496159969	0.00159594613097518	0	0	96	17	79	3	0.194977334888971	.	chr1	4170720	.	EEF1DP6	HAVANA	3	0.236130711839554	0.240144238574298	0.276300853014194	0.999427098918151	0.99533760237202
chr1.204214528	0.000221209537167274	0.000467610423236125	6.29569674684076e-05	0.774579624427415	0.717307950094199	-0.380850338411182	-0.111561099820972	-0.00649551517369306	0.0151763697352562	0.00474029479640426	0.00759485517502941	0.0126238597029815	-0.000452987780509921	2	10	86	0	96	1	0.999999999999975	.	chr1	204214528	.	GOLT1A,PLEKHA6	HAVANA,HAVANA	3	0.246854515326599	0.204396755288471	0.263403663618453	0.999952590254861	0.967402898229894
chr1.159780653	3.62270926188919e-08	4.04786222098061e-07	1.00307259487714e-05	0.000722717699990176	0.0078580896883795	-0.00784122892543476	-0.0980783898073993	8.29162285740429e-05	1.32987082418864e-05	0.00405387232441359	-0.00660001895028044	0.00748254006521791	0.00159856538710283	3	72	17	0	89	7	0.00385805978327889	.	chr1	159780653	.	DUSP23	HAVANA	10	0.00350429568215072	0.00860867659979362	0.145138869167785	0.703365444217873	0.439551924412379
chr1.3718385	0.000257648874065419	0.000186940204673271	0.000147527003858412	0.265609208288718	0.151721273886309	0.399263366660583	0.288158463397683	0.0102026358046601	-0.0148955960618569	-0.0115974979452594	0.0168217575010479	-0.0157354726136195	0.00186686830156239	8	37	53	0	90	1	0.563087227277358	.	chr1	3718385	TP73	TP73,AL136528.2	HAVANA,HAVANA	9	0.262462201699044	0.146968716937181	0.334290259160495	0.996172939040771	0.797187709567831
chr1.245673058	8.72426056526672e-05	0.0016444351563458	0.000206001940858746	0.0522168720244893	0.848297204597906	-0.288710862539905	-0.104191182450832	-0.00219178223773802	0.0111832051224287	0.0036870183196641	-0.00273296314886855	-0.00693287489916356	0.00236309883850144	1	0	97	26	71	1	0.532467532467543	.	chr1	245673058	KIF26B	KIF26B,AC104462.1	HAVANA,HAVANA	2	0.173482809305811	0.310268290850934	0.364206649488747	0.962829977249757	0.983675494085721
chr1.1485110	6.32990721275885e-05	4.91444517272731e-05	1.687318784095e-05	0.795927088057357	0.290925331488919	0.287530842311315	0.121875406927219	0.00468913097526361	-0.0114901390608303	-0.00424371243992955	-0.00922185303041408	0.00807490925540498	-0.000291136158071837	6	0	92	41	51	1	1	.	chr1	1485110	ATAD3B	ATAD3B	HAVANA	7	0.150124862796622	0.0847114865694286	0.17551723142345	0.999952590254861	0.871918060127366
chr1.2405771	3.51663169651266e-05	5.45819746165775e-06	1.99993963163914e-05	0.247718621633686	0.0371134815501613	0.224645157946742	0.838271494723484	0.00984411292384027	-0.00780417128978796	-0.0348749284226282	0.0116489896994267	-0.0716716772890956	-0.00420533659426725	5	0	94	4	90	0	0.999999999999976	.	chr1	2405771	PEX10	RER1,PEX10	HAVANA,HAVANA	5	0.115196518139271	0.0301195974042491	0.18686174592473	0.995113378016833	0.618138148399992
chr1.15521813	4.59843579212905e-05	8.90225583935396e-05	1.19806166702314e-05	0.822380903340218	0.652099829720794	-0.450627195258142	-0.438824459164704	-0.0114543094143396	0.018151083518755	0.017611983190268	0.0140994492590339	0.0188410243641003	0.000459772550158796	17	0	82	30	52	0	0.21062543573859	.	chr1	15521813	CASP9	CASP9,DNAJC16	HAVANA,HAVANA	17	0.131032262055196	0.111095106873095	0.157610571303029	0.999952590254861	0.95787237209108
chr1.74248193	0.000243394708717894	0.000757389198181861	0.000100887422802675	0.40248659565674	0.753657841571195	0.0433116879198985	0.346526077353936	0.00340342119772936	-0.00110770573500812	-0.0130737701666541	0.011131813301824	0.00669245554163334	-0.00127956796346786	7	0	92	44	48	0	0.617968363727177	.	chr1	74248193	FPGT-TNNI3K,TNNI3K	FPGT-TNNI3K,TNNI3K	HAVANA,HAVANA	7	0.257438574573945	0.239762365478709	0.297316882338525	0.999146461463369	0.972068410228258
chr1.243332660	0.000108880330612778	0.00018909561028555	7.07348355755656e-05	0.217940149928083	0.283886646546573	-0.041262711380409	0.154871612721936	0.0003074507476951	0.00212640087126819	-0.00590527578514644	0.0118587800428987	0.00117117127774305	-0.00106160058187538	0	0	97	7	90	2	0.199340342197489	.	chr1	243332660	SDCCAG8	SDCCAG8	HAVANA	2	0.190474902883577	0.147581899244755	0.272578807844912	0.994346480695932	0.869161426692751
chr1.204380759	0.000313528704665331	0.000324440796104861	8.6836370756533e-05	0.931108876997295	0.404211506903707	-0.179422546020715	-0.807130058119408	-0.0136552498676249	0.00708158218795239	0.0324790215361315	0.01659996788295	0.0504421668782004	0.000328265389230512	15	3	77	0	80	4	0.769805478622552	.	chr1	204380759	AL606489.1	PLEKHA6,AL606489.1	HAVANA,HAVANA	19	0.280357231320785	0.180791016180653	0.283681932054943	0.999952590254861	0.908292031243062
chr1.18917557	0.0007496225841194	0.00112352280634319	0.000226488886974092	0.784458842606985	0.553439961459506	0.651829155024116	0.866639479712736	0.0175526092641876	-0.0237015258518052	-0.0309505738181647	0.019401657899653	0.0400145637507775	-0.000962755509474418	14	0	83	3	80	2	0.0929394420357788	.	chr1	18917557	IFFO2	IFFO2	HAVANA	16	0.363733029631848	0.271011245112431	0.375449395033737	0.999952590254861	0.940983875068183
chr1.216836721	0.000142169145829148	0.000115105508917385	4.93049057847004e-05	0.512051931710905	0.258875892693534	0.59281230611654	0.438537699017157	0.0134768871415838	-0.0219930224321712	-0.0150857409897555	0.0243794456374607	0.0392405465514229	0.00149056673363913	16	0	82	29	53	1	0.263351519232954	.	chr1	216836721	ESRRG	ESRRG	HAVANA	17	0.209863227094491	0.123863800938241	0.238633902134131	0.999952590254861	0.858825903203985
chr1.155211904	0.000320481970635056	0.00118729919726712	0.00015716023932156	0.330202051281418	0.790734191521104	-0.324441902329185	-0.36887975621249	-0.010368589439102	0.0129911319826008	0.014216917491247	0.0117008081602047	0.00548579237063235	-0.00168302432695882	16	0	83	46	37	0	0.888032907295785	.	chr1	155211904	MTX1,AC234582.2	THBS3,MTX1,AC234582.2,GBAP1	HAVANA,HAVANA,HAVANA,HAVANA	16	0.282883053364099	0.276671774401012	0.34005195240562	0.998053682692889	0.9768265757423
chr1.175922113	9.16278412717471e-05	0.000325370698647587	3.89126774922995e-05	0.367766247926107	0.770159054398518	-0.448907888233189	-0.821622488947334	-0.0189193574020102	0.0179705934714301	0.0313903456688151	0.0187481980678707	-0.000290086854242909	-0.00289540947300879	2	0	97	3	94	0	0.747680890538036	.	chr1	175922113	RPS29P5	AL513329.1,RPS29P5	HAVANA,HAVANA	2	0.176217265755762	0.1808699856675	0.224710471010367	0.998476120342644	0.97402396651654
chr1.214318218	2.87223588824617e-07	3.00816439985996e-05	0.000129706875912684	0.000375006579548957	0.0338310950208717	-0.306115369848121	-0.289682079274081	-0.0133176756678472	0.0121321130066513	0.0124692063209274	0.00636899689783523	0.0380162823755554	-0.00538549310769436	13	0	85	40	45	1	0.0347854748566069	.	chr1	214318218	SMYD2	SMYD2	HAVANA	14	0.013423983308998	0.0665665971518389	0.321100791914333	0.653261493345108	0.606068143241415
chr1.95511893	0.00013940581013515	0.000779646759963801	8.43073790052827e-05	0.246056457518428	0.901010312296921	-0.12769242336172	0.462592132139357	0.00152803812161738	0.00581175807494524	-0.0174774946894223	0.0113008042733623	0.00438238042513871	-0.00295737965156802	11	0	84	15	69	4	0.826447945425639	.	chr1	95511893	LINC02607	LINC02607	HAVANA	15	0.209207413059054	0.24154933900726	0.282991534771899	0.995113378016833	0.990041492250588
