methyl	BMI.p	arm.p	int.p	BMI.p2	arm.p2	arm2.beta1	arm3.beta1	BMI.beta1	arm2xbmi.beta1	arm3xbmi.beta1	arm2.beta2	arm3.beta2	BMI.beta2	NAs	outliers	total.NAs	zeros	non.zeros	ones	non.ones	diff.miss	ME	genes	genes_flanking	genes_type	BMI.fdr	arm.fdr	int.fdr	BMI.fdr2	arm.fdr2
chr1.236146652	0.000902130808752318	0.507913646805041	0.549145149759547	8.45971776017813e-05	0.344604147500798	-0.0805344687012783	-0.0651615015208876	-0.0072079663344319	0.00310006415648938	0.00307866736725071	0.00144790547614997	0.0177497077833841	-0.00520966450228178	14	1	15	0	84	46	38	0.434740666878828	.	GPR137B	GPR137B	HAVANA	0.38522702349195	0.962984713908977	0.999989862604799	0.506947550464482	0.890433974957583
chr1.5712201	0.00461292601003997	0.818464607194702	0.811014279763181	0.000342974392331391	0.563426669597124	0.00916642506204148	-0.0268478741653683	-0.00407549129401103	-0.000763384328232135	0.000996686737893524	-0.0100683797742273	-0.000938078200411402	-0.003969745725434	0	0	0	0	99	34	65	1	.	.	.	.	0.591888869964736	0.991958408249342	0.999989862604799	0.641792910983539	0.942646926954027
chr1.6424000	0.00321089025935763	0.622603439163181	0.596622102277234	0.000329152975048224	0.447357705133436	-0.145577396459703	-0.163536849711088	-0.0141667391640429	0.00648954924054075	0.00574948196161499	0.021358004080271	-0.0130107408402241	-0.0102936136004009	1	1	2	1	96	0	97	0.747680890538036	.	HES2	HES2,ESPN	HAVANA,HAVANA	0.545881402411246	0.976858990322935	0.999989862604799	0.639021568773426	0.918740444553283
chr1.43008373	0.000963596432263718	0.130794327520336	0.302986338968386	0.000193581284756654	0.0959289085017055	-0.0350356504159109	-0.182859108600156	-0.0126212153777804	0.000708074706326868	0.00847094883919331	-0.0136648080054476	0.0378156052496308	-0.00955097085257796	2	3	5	17	77	0	94	0.735106862752017	.	.	.	.	0.393976566336828	0.826604840702999	0.999989862604799	0.587327403756898	0.741364033387493
chr1.16686111	0.00203251754926776	0.274046516852829	0.588962559986263	0.000197187898334577	0.127511571271967	-0.144248238678224	-0.144527758188343	-0.0116705371801807	0.00412092022142672	0.00560525814153307	-0.0372419387341934	0.00233213459726481	-0.00861851990798342	5	0	5	11	83	0	94	0.0340669168570107	.	AL021920.2	AL021920.2,EIF1AXP1,ESPNP	HAVANA,HAVANA,HAVANA	0.486331584807485	0.909476202725855	0.999989862604799	0.589567794949134	0.776575047690285
chr1.24669485	1.08009057881899e-06	0.000945862827077025	0.000432094881280272	0.000305604037864332	0.260700036606512	-0.00260524241538965	0.177341558898371	-0.000979097315837725	-8.59598584098084e-05	-0.00740432603145392	-0.0065796529253229	-0.0156058087259198	-0.00348247791578175	0	0	0	0	99	43	56	1	.	SRRM1	SRRM1	HAVANA	0.0246685637610979	0.255529496684533	0.44562729720588	0.626500027122414	0.859759018323185
chr1.76257504	2.14665702444063e-05	0.0152325661228054	0.0103469913013857	0.000206792688970931	0.238290040926578	-0.101736136738902	0.405196242132672	-0.00767244925920417	0.00472809936559611	-0.0170354751093187	0.0120088983205776	-0.0402278344010443	-0.0120033268966835	19	0	19	0	80	6	74	0.152419979298008	.	ST6GALNAC3	ST6GALNAC3	HAVANA	0.0933399939901157	0.554905489958432	0.804866438491779	0.590037874650319	0.849545812433441
chr1.209898240	0.00127372348683194	0.702701868942158	0.509449152212642	0.000137614023832299	0.657514063052374	0.034608346494241	0.175245930948538	-0.00644760672757274	-0.000808543971370864	-0.0058789201331492	0.0113016585382407	0.0218686876189083	-0.00886982871148838	16	0	16	0	83	26	57	0.0873915919667131	.	.	SYT14	HAVANA	0.430615134106583	0.98418773888972	0.999989862604799	0.560205706872752	0.958715920305202
chr1.165941274	0.00437606423113436	0.664079342427505	0.823315440678045	0.000315127296988608	0.36034619855161	-0.0426857349441779	-0.0535038941345813	0.00337729426652638	0.00168220175505085	0.00148936549502654	0.000642805129606926	-0.0145156257923295	0.00436546268439647	2	1	3	0	96	27	69	0.999999999999975	.	AL606495.2	AL606495.2	HAVANA	0.583951460474388	0.980899321260082	0.999989862604799	0.626500027122414	0.895703211463958
chr1.1481879	0.000980137727666969	0.63549956729648	0.389211471882139	0.000144717582791971	0.717224432866982	-0.0118246441799963	-0.0561082319328444	-0.00352348401651071	0.000262094589592799	0.00216217072880363	-0.00461815575837686	0.000254345264022916	-0.00272174650674949	0	0	0	0	99	26	73	1	.	ATAD3B	ATAD3B	HAVANA	0.395788820731581	0.978196853839059	0.999989862604799	0.567199817029513	0.967398684051585
chr1.156655580	0.00440888195497864	0.778505332406954	0.779437008719144	0.000341381667094601	0.524477499006403	0.0276275650192998	0.152626835122508	-0.00922899427955588	-0.00196303611910781	-0.0054527041613023	-0.0238229962521738	0.0103161521693007	-0.0116378946683053	1	0	1	1	97	0	98	0.999999999999961	.	BCAN,AL590666.2	BCAN,AL590666.2	HAVANA,HAVANA	0.585344636570441	0.989712324587143	0.999989862604799	0.641792910983539	0.935597122686148
chr1.121010255	0.00141260513354648	0.396804824308513	0.359236816007242	0.000241240078260322	0.364240029280282	-0.159241354284217	-0.0970872077024554	-0.00809992672626997	0.00557170734958024	0.00290768088881426	-0.0165121307223352	-0.0203581758133046	-0.00566791078329544	0	5	5	10	84	0	94	0.522034350167833	.	AC241377.2	LINC00623,AC241377.2,RF00003	HAVANA,HAVANA,ENSEMBL	0.442319545552461	0.943626168819301	0.999989862604799	0.591763364651594	0.896856112705044
chr1.109508100	5.09763939988735e-05	0.166829555991096	0.0514431400123391	6.78352950586481e-05	0.77474692149857	0.148006267442135	0.166493990152121	-0.00109182996609265	-0.00594385335099846	-0.00671620930308838	-0.00527031341078382	-0.00899733170720622	-0.00511314209660813	1	0	1	0	98	36	62	0.636363636363626	.	AMIGO1	AMIGO1	HAVANA	0.134989431624165	0.855510412161282	0.960944864104659	0.489246359876061	0.974742320280344
chr1.167629695	0.00135663930280631	0.248839992422718	0.251773943508985	0.000358359438963832	0.27060981104397	0.351253947611427	0.263698465926304	-0.00461114810933769	-0.0118128294971726	-0.00897617084606896	0.0480629557602275	0.0272383633646199	-0.0109525708024715	11	0	11	4	84	0	88	0.920810185079247	.	AL031733.2	AL031733.2,RCSD1	HAVANA,HAVANA	0.438483565593354	0.899464551484647	0.999989862604799	0.64474626618557	0.864347307419346
chr1.156854013	0.00129937636306799	0.328125888896546	0.320947208502177	0.000253000690345587	0.310016287253578	-0.263668559943227	-0.286576485916384	-0.0177768337844457	0.0104488452646963	0.00930510992435165	0.0062410648820516	-0.0403205401915791	-0.0117663168468063	14	0	14	0	85	20	65	0.548087217051161	.	NTRK1,INSRR	NTRK1,INSRR	HAVANA,HAVANA	0.433591187266433	0.926293212555834	0.999989862604799	0.591763364651594	0.878843581500655
chr1.245541409	0.00413501728774786	0.752966389878133	0.90013050161909	0.000264184107578211	0.420714229052147	-0.0670293115502082	-0.0250358438265622	-0.00808980207046625	0.00200676753361497	-5.24576085703919e-05	-0.0158188977876307	-0.0263253639121129	-0.00751087499452643	0	2	2	0	97	5	92	0.999999999999994	.	KIF26B	KIF26B	HAVANA	0.577180110647914	0.98800999610324	0.999989862604799	0.602690485437331	0.912484188204279
chr1.112854588	0.00179771564477183	0.972697484765747	0.915672405739357	9.85666286975825e-05	0.84403646026342	0.0621978681773426	0.0365945458871951	0.0123217181409057	-0.00299203945942285	-0.00154466822628722	-0.0151195435738548	-0.00434712555032567	0.0109378409893885	1	1	2	3	94	0	97	0.532467532467543	.	LINC01357	LINC01356,LINC01357	HAVANA,HAVANA	0.47095451718291	0.999108815899784	0.999989862604799	0.513445870883834	0.983186320030902
chr1.214357879	0.000130781268605316	0.0272049701633559	0.256885297333435	2.6560939186311e-05	0.0170518270286118	0.143959083145372	0.161300543152459	0.00878278467693579	-0.00414269532762875	-0.00505028742861181	0.0371897632761586	0.0285230964608807	0.00589990332214895	17	1	18	0	81	42	39	0.999999999999985	.	PTPN14	AL929236.1,PTPN14	HAVANA,HAVANA	0.203424576054181	0.629651663626148	0.999989862604799	0.379826744962277	0.523252665213779
chr1.2307408	0.0016054346603592	0.563157015234154	0.347185706188883	0.000290768575708427	0.653353598712953	-0.145788898394278	-0.0405828687148049	-0.00845782580911821	0.00589910149970767	0.00211629193976089	0.00574262818228606	0.0153229820427653	-0.00606309429675736	4	0	4	0	95	43	52	0.679398657307362	.	SKI	SKI	HAVANA	0.458764704753862	0.970439529658377	0.999989862604799	0.618089265997059	0.958088638362841
chr1.1205242	0.00457890969727388	0.803601407683494	0.976883367249055	0.000260919937697918	0.443759684617712	0.0302139167351364	0.0277838771359933	-0.00873145985580103	-0.00114571638980826	7.33327830849964e-05	0.000649217964305729	0.0295600916827616	-0.0090367492755551	14	1	15	0	84	0	84	0.211780911474678	.	TNFRSF18	TNFRSF18	HAVANA	0.590485084310709	0.991172623567685	0.999989862604799	0.602619881893821	0.918066514921644
chr1.9316636	0.000989224703664264	0.447422090739357	0.235285799011669	0.000275032221695759	0.669943701246705	0.125278665819122	0.246133831269347	-0.00329000935672748	-0.00494654192408103	-0.00886930722545343	-0.00504564087928824	0.0135074101457025	-0.00777945037664562	16	0	16	0	83	23	60	0.454458018237698	.	SPSB1	SPSB1	HAVANA	0.39637274539979	0.953674987774149	0.999989862604799	0.609291290523108	0.960449834399528
chr1.155183801	0.000664607986920449	0.172455890992511	0.186359110708176	0.000232587694015205	0.226280055727484	0.173763218392161	0.190779926370963	0.0115956667476264	-0.00622293231049825	-0.00801329240455449	0.0126391567972903	-0.0203257762651412	0.00709549491842455	4	2	6	0	93	1	92	0.504695106327516	.	AL713999.1,TRIM46	AL713999.1,TRIM46,MUC1	HAVANA,HAVANA,HAVANA	0.353626598327194	0.859260661948728	0.999989862604799	0.591763364651594	0.84409224302769
chr1.223864206	0.00401779515467865	0.436253888183086	0.887151286163659	0.000256847557582792	0.163437429254603	-0.0334101478486306	-0.00647885192868483	-0.00770256158776088	0.0021033467181597	0.00151271279360071	0.0210970148587646	0.0334671056038728	-0.00658149578523098	9	0	9	0	90	27	63	0.461757248033837	.	ACTBP11	ACTBP11	HAVANA	0.573275048988605	0.951525242389299	0.999989862604799	0.595724400082572	0.806119046726816
chr1.191732006	0.00102391915285807	0.482545002132636	0.618609148826965	8.47566307584215e-05	0.280738505921339	-0.144703120893731	-0.128997704769138	0.00680033956069715	0.00595274339841511	0.0038378539781373	0.00805459454715319	-0.0280735128402098	0.00969674820514536	2	4	6	0	93	15	78	1	.	.	.	.	0.400496936088023	0.959207364914709	0.999989862604799	0.506947550464482	0.8681020633361
chr1.237043310	0.000792837784159625	0.0620409829984422	0.182036684452279	0.000293646311775245	0.0653559849717286	-0.0311070918718433	-0.0627705007370943	-0.00259402766691114	0.000852698807282739	0.00200607004185738	-0.00868219690158926	-0.0100937327674831	-0.00167000388797327	0	12	12	67	20	0	87	0.215542000846476	.	RYR2	RYR2	HAVANA	0.370599379169689	0.734385049128844	0.999989862604799	0.619873793853019	0.692493114945644
chr1.3287350	0.0022406691825624	0.233344298740549	0.528115262056803	0.000249301124181813	0.114056683930115	-0.17418297507801	-0.00628529607782944	0.00758711218683587	0.00507460588846956	-0.0012380462895961	-0.0452205978090951	-0.0387714285512914	0.00862806587237006	16	4	20	0	79	21	58	0.253160547074754	.	PRDM16	PRDM16	HAVANA	0.499412586644382	0.892839365443094	0.999989862604799	0.591763364651594	0.762809235867375
chr1.9715763	0.00352367547386081	0.821597848280037	0.808473941217948	0.000248059967697892	0.569684311459043	0.0822480485670668	-0.00380936373287316	0.00762960081279638	-0.00261562519162902	3.43704071945587e-05	0.0152737230045013	-0.00281233293648389	0.00686806706023914	9	0	9	0	90	25	65	0.225015894602096	.	PIK3CD	PIK3CD	HAVANA	0.55791264889868	0.992172473964456	0.999989862604799	0.591763364651594	0.943711847695777
chr1.69768	0.000493301771221593	0.251759385336943	0.692792894738844	3.24262883540558e-05	0.0954257620087078	0.152252925237565	0.0394147536335092	0.0105254001318599	-0.00436882903640064	-0.00120528135461271	0.0405102352714644	0.00765487176813723	0.00881850145054776	0	0	0	0	99	2	97	1	.	OR4F5	OR4F5	HAVANA	0.322913154497685	0.900611140400479	0.999989862604799	0.388543048182941	0.740821980898826
chr1.209675157	2.94262730487081e-07	0.0188718626861697	0.00443187160381164	7.55595400721475e-06	0.648418203497228	0.0389979598890897	-0.0994102168516122	0.00243910101449626	-0.00168167080544028	0.00396928814850564	-0.00252580642094444	0.00408041180651621	0.0033669617248448	3	9	12	61	26	0	87	0.68689411207705	.	HSD11B1-AS1	HSD11B1-AS1,G0S2	HAVANA,HAVANA	0.013423983308998	0.583457364729664	0.705250203992097	0.297575427913223	0.957297946422807
chr1.6555450	0.00030572376519419	0.809391155325726	0.611512996760428	2.18298928125719e-05	0.732956603719605	-0.0427720811105831	-0.121982936585161	-0.0117261408000597	0.00145396030609904	0.00515440514825898	-0.00420963683039872	0.0135182904724983	-0.00954716427459992	13	0	13	0	86	3	83	0.932874840267808	.	TAS1R1	NOL9,TAS1R1	HAVANA,HAVANA	0.277439830960624	0.991494795909548	0.999989862604799	0.366419762651573	0.969507640959722
chr1.16724701	6.53525931561672e-05	0.10365070196682	0.0227131533972488	0.000228991608861008	0.945293513646025	0.766467968288052	0.249092654674575	-0.00511798588838663	-0.0294416200274894	-0.00899299566129483	0.0132224408311758	0.0123767660480882	-0.0169121333552795	0	0	0	0	99	3	96	1	.	.	ESPNP	HAVANA	0.152436823860391	0.79891605479179	0.89025861724236	0.591763364651594	0.994591454180766
chr1.1623210	0.000153405857317357	0.673858985818962	0.567650160345737	1.10604156096325e-05	0.543179865424565	-0.0987862707041904	-0.0868235802548696	-0.0100535412640879	0.00392984402246332	0.00396305006212096	0.0048025461129041	0.0194437961051934	-0.00749896200719717	19	0	19	0	80	34	46	0.366973518794965	.	MIB2	MIB2	HAVANA	0.217512315994014	0.981685765552569	0.999989862604799	0.324787721824907	0.939004641630348
chr1.247106119	0.000191013367526124	0.0598882584166846	0.0437868234868646	0.000338427789039988	0.264820325703514	-0.200916352194104	-0.240710509573713	-0.0129576035929467	0.00881749570554328	0.010096976825329	0.0273099604751621	0.0241075556489897	-0.00683438783237813	5	0	5	0	94	20	74	0.62046458695944	.	AL627095.2	ZNF669,AL627095.2,C1orf229	HAVANA,HAVANA,HAVANA	0.235287404495196	0.729588576643328	0.951010393608921	0.641792910983539	0.861915617240071
chr1.179134472	0.000488397595709518	0.241081986926669	0.324804793062115	8.33398972897683e-05	0.199359582644068	-0.1552503847195	-0.136873933058732	-0.00993953453188486	0.00616229217855564	0.00429311129675287	0.00511187683164222	-0.02251648680744	-0.00659743227467316	10	1	11	0	88	33	55	0.669012892826834	.	ABL2	ABL2,AL512326.3	HAVANA,HAVANA	0.321831723472814	0.896137523158887	0.999989862604799	0.506947550464482	0.829185850454839
chr1.16631009	1.46660725001265e-05	0.793500643456367	0.439673782613098	1.21079356122979e-06	0.979515738410798	-0.0713297040291337	-0.0137672191018023	-0.00552766990265173	0.00283446985132373	0.000475813054405501	0.00072399687403303	-0.00110854834150159	-0.00456996993989374	1	1	2	0	97	28	69	0.999999999999994	.	CROCCP2	CROCCP2	HAVANA	0.0799419183873492	0.990517133931911	0.999989862604799	0.134331789948576	0.998048693478085
chr1.5875264	0.000192205227869922	0.444207567372929	0.219780447584638	4.89431781783881e-05	0.709080480083364	-0.0367353068830074	0.143141174412774	-0.00572290655453761	0.00121625321866318	-0.00599369743277691	-0.00927869980219014	-0.0152113676484773	-0.00764189997533454	11	1	12	0	87	24	63	0.929809027683851	.	NPHP4	NPHP4	HAVANA	0.235648858249459	0.953141442480425	0.999989862604799	0.470773220017338	0.966144487740775
chr1.116493538	0.000543830282376811	0.0634226682417993	0.111912799614818	0.000349828663749147	0.111106643283074	0.130751543914736	0.115616271000667	-0.00144161056532487	-0.00604154893076914	-0.00488156812277751	-0.0254123838994297	-0.0125781724111374	-0.00469092558740987	11	0	11	0	88	37	51	0.170084041476934	.	AL390066.1,AL390066.2	AL390066.1,AL390066.2	HAVANA,HAVANA	0.331957113117946	0.737506186027788	0.999989862604799	0.642933603110466	0.759468050519421
chr1.3083356	0.0007451135536123	0.784600623051572	0.518386875430958	7.35945486908456e-05	0.809215135225033	0.157862094755368	0.165146694576663	0.0126433529045123	-0.00557744818953681	-0.00568187102957175	0.0122902579244896	0.0146679223197041	0.00909746218135429	13	0	13	0	86	14	72	0.217368551069918	.	PRDM16	PRDM16	HAVANA	0.363138618828842	0.990136433064364	0.999989862604799	0.493196843772141	0.978964889550361
chr1.95669806	0.00085154942953886	0.450301488376462	0.276516570648787	0.000188583639494067	0.57503040846489	-0.0713608490455133	0.119988481694054	0.00817990376791968	0.00354173495523251	-0.00456349401964188	0.0180229010746134	0.00046473386494645	0.00776025903617301	4	0	4	0	95	28	67	0.45349826903585	.	LINC02607	LINC02607	HAVANA	0.378340008558252	0.954044043637834	0.999989862604799	0.587327403756898	0.944636694816161
chr1.226119426	0.000752883701133207	0.479417552912571	0.249365029890437	0.000188133349698966	0.702928865135143	-0.127334884667335	0.0168368961095415	-0.0072026843321137	0.00514488499104686	-0.00105647422806939	0.00354236319831335	-0.00887728411344079	-0.00590637531381809	13	0	13	0	86	42	44	0.610641801841851	.	.	.	.	0.364244425803349	0.958731051546567	0.999989862604799	0.587327403756898	0.965250155029269
chr1.201379104	1.81886157889684e-05	0.0113518022633352	0.00798625539151737	0.000209256037203929	0.217990800231004	-0.00840463610297643	0.174854633687526	-0.0018884274455005	-0.000194722758000757	-0.00750086421271126	-0.0148550959458017	-0.0206199921407125	-0.00444715438690293	4	1	5	0	94	34	60	0.100097081862063	.	AC119427.2	TNNT2,AC119427.2,LAD1	HAVANA,HAVANA,HAVANA	0.0852183354687032	0.520261257454597	0.772800557205475	0.590459584763448	0.839882485761558
chr1.3218520	0.000810855446933466	0.0427063518727214	0.463392941060998	9.38178017440562e-05	0.01516859436483	-0.0913279116577518	0.0140889457923724	0.00682677054896963	0.0029004620424848	-0.00256572519576338	-0.0174421430580743	-0.0522066009249016	0.00685184621748739	5	2	7	0	92	20	72	0.0440117464024662	.	PRDM16	PRDM16	HAVANA	0.373605339077372	0.687386293651042	0.999989862604799	0.507490424919025	0.509756702879355
chr1.244969488	0.00231889442912411	0.824795259045497	0.586459602670265	0.000230579301403957	0.799280822060743	-0.0738223315447903	-0.014513081714834	-0.00502635694937112	0.00261551724584161	0.000366717199815289	-0.00690096117536995	-0.00463116697156214	-0.00409192436200502	3	2	5	49	45	0	94	0.856697155259278	.	AL356512.1	AL356512.1,EFCAB2	HAVANA,HAVANA	0.504998257476539	0.992345980696744	0.999989862604799	0.591763364651594	0.977810189890625
chr1.14957416	0.000298145352130927	0.516474285642956	0.491189937089439	2.82889996156584e-05	0.397562985066902	-0.022520145803328	0.0693021992346174	-0.00450437114245837	0.00130710789945049	-0.00220431586129187	0.0109384810381191	0.0131092241623766	-0.00464726893770203	12	1	13	0	86	50	36	0.201128593070192	.	KAZN	KAZN	HAVANA	0.275446918760381	0.964207041147311	0.999989862604799	0.379826744962277	0.906424421873005
chr1.160098255	0.000110943246974844	0.104233640883008	0.0696360549532102	0.000114406543755536	0.325663717022343	0.0111430059319457	-0.104460178650547	0.0025992925469922	-0.0010145888487446	0.00378251435766775	-0.0135094462258299	-0.00534643133536243	0.00354331678356709	15	1	16	56	27	0	83	0.335885241937969	.	IGSF8	IGSF8	HAVANA	0.192516289494165	0.799605525508297	0.981459839338953	0.525647261335913	0.88418625602086
chr1.195054360	5.44895476875461e-05	1.03153798374833e-05	0.0129581925516425	0.000366540924696428	0.00010667779472752	0.332695958994038	0.131756185233878	0.00980849628610101	-0.0107480814129525	-0.00435323994189515	0.0590479023177475	0.0181135383907409	0.0054554917141257	1	2	3	0	96	46	50	0.39188646405141	.	.	.	.	0.138862940499014	0.0400876825115146	0.829138319970915	0.652230284975883	0.120815761719807
chr1.163875953	0.00145041347864059	0.722710479082564	0.41656018287138	0.000205987781041443	0.851869888986782	0.0575869228022411	0.260029441174376	-0.00764836392141146	-0.00264667016085905	-0.00981941548837001	-0.0142407313013807	0.0010934306555091	-0.0122823784419642	18	1	19	1	79	12	68	0.311635307563671	.	.	.	.	0.445917464003559	0.985812849086722	0.999989862604799	0.590037874650319	0.984180798882102
chr1.2057356	0.00509651821895248	0.689900100173268	0.965980575984785	0.000309265593631479	0.32797730572521	-0.00661302694641047	0.00190726231642062	-0.00379805882443538	0.000588923932353775	0.000463591740006262	0.00853145147256975	0.0140357288831142	-0.00346725466581588	1	0	1	0	98	38	60	0.636363636363626	.	PRKCZ	PRKCZ	HAVANA	0.605981133630124	0.983228153731329	0.999989862604799	0.626500027122414	0.884856270118125
chr1.3940491	0.0010276826371097	0.628914313349747	0.309140134415162	0.000202762642034666	0.887219909633398	0.233001721210207	0.320429686185757	0.0207735176697637	-0.00963921417306428	-0.0127376890708447	-0.0161017030260524	-0.0126771296617157	0.0136843619172667	2	0	2	0	97	0	97	0.532467532467543	.	LINC01346	LINC01346,LINC01345	HAVANA,HAVANA	0.400669299200198	0.977511087988512	0.999989862604799	0.590037874650319	0.98834070202609
chr1.217133457	0.00053793529216406	0.260298221891636	0.2107283040243	0.000157823550645664	0.344342301157244	-0.207799175088661	-0.203174083004439	-0.0121315396908765	0.00703394312463994	0.00758031962770966	-0.0264754029493995	-0.00549709472867356	-0.00756965400854739	2	1	3	7	89	0	96	0.39188646405141	.	ESRRG	ESRRG	HAVANA	0.330889077914956	0.904188264827615	0.999989862604799	0.573510684480662	0.890329597449851
chr1.1519905	2.83483363193777e-05	0.151578400023288	0.0393593613616797	5.17098277037603e-05	0.889128535546195	0.0927107352749812	0.154060957564182	-0.00101543722843699	-0.00345432117080579	-0.00597792875352948	0.00313078127677323	-0.00138141380756157	-0.00406137831026182	5	1	6	0	93	26	67	0.871942138742356	.	ATAD3A	ATAD3A	HAVANA	0.105816821116273	0.844443947651077	0.944652494470424	0.470773220017338	0.988549088089473
chr1.3510792	1.26626089784433e-05	0.00716550804804112	0.00349413548944973	0.000398080545820103	0.297257276598663	-0.290047751633158	-0.274851181080028	-0.0131437903225352	0.0112751657503574	0.0113880453786001	0.00278720910423924	0.0247101003211435	-0.00590933696397481	13	1	14	0	85	40	45	0.158056669359244	.	MEGF6	MEGF6	HAVANA	0.0775471346539714	0.463682958993057	0.678592822694625	0.65691386639098	0.87426209118718
chr1.43604104	0.000123303605707079	0.259827135250901	0.0824499949050594	0.000103217360063641	0.870637835235529	-0.202583021767836	-0.296754652578632	-0.0150751906111661	0.00809887101752804	0.0117811752292044	0.0073741516767323	0.012788303939267	-0.00865142562017936	13	1	14	0	85	21	64	0.0411781111861894	.	PTPRF	PTPRF	HAVANA	0.201715101691709	0.904031898128589	0.991527742002178	0.517481808114431	0.986435081072389
chr1.6244419	0.000980372735382624	0.969143956298492	0.871371733280248	5.17853433641129e-05	0.872046019868473	-0.0137892856489085	-0.00252463726002808	0.00174210508822453	0.000629550065211933	0.000136183901320179	0.00246571510446177	0.00118970535896411	0.00197047056436428	2	6	8	67	24	0	91	0.585067517964291	.	HES3	LINC00337,HES3,GPR153	HAVANA,HAVANA,HAVANA	0.395788820731581	0.998963395533394	0.999989862604799	0.470773220017338	0.986597628451239
